,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2,198.0,15.0,trulli,19.0,20.0,Spun off,87097.0,174645.0,331328.0,411272.0,495121.0,574990.0,655319.0,735950.0,816511.0,897239.0,978196.0,1059245.0,1140408.0,1221771.0,1302886.0,1384046.0,1465094.0,1545860.0,1626553.0,1707176.0,1787695.0,1868593.0,1949633.0,2031758.0,2118267.0,2219258.0,2299474.0,2380320.0,2461068.0,2542018.0,2622813.0,2704156.0,2787499.0,2868794.0,2950171.0,3031324.0,3112161.0,3193071.0,3273837.0,3355314.0,3437574.0,3519368.0,3601580.0,3682300.0,3762748.0,3847687.0,3951856.0,4036159.0,4116717.0,4197191.0,4277795.0,4358604.0,4439433.0,4520453.0,4605721.0,,,,,,,,,,,,,,,,
10,198.0,49.0,frentzen,15.0,22.0,Suspension,87646.0,168992.0,249443.0,329635.0,410311.0,491412.0,572137.0,652974.0,734164.0,814953.0,895747.0,976678.0,1057794.0,1138525.0,1219545.0,1300685.0,1381239.0,1461776.0,1542193.0,1626345.0,1726884.0,1807141.0,1888692.0,1968898.0,2048922.0,2129264.0,2209403.0,2289658.0,2370069.0,2451151.0,2531418.0,2611535.0,2692336.0,2773667.0,2855773.0,2935614.0,3015955.0,3096339.0,3177660.0,3259047.0,3340557.0,3421619.0,3502782.0,3583390.0,3663901.0,3743583.0,3823115.0,3902344.0,3981914.0,4062086.0,4144952.0,4245764.0,4325852.0,4406032.0,4486180.0,4565844.0,4645766.0,4725557.0,4805214.0,4884964.0,4965113.0,5045523.0,5127215.0,5208273.0,5288929.0,5370442.0,5456328.0,5546743.0,,,
4,198.0,22.0,barrichello,10.0,12.0,+2 Laps,88610.0,170600.0,251763.0,333760.0,415397.0,498317.0,580155.0,661805.0,743555.0,825151.0,906512.0,988082.0,1069496.0,1151158.0,1232748.0,1314277.0,1395857.0,1477166.0,1558342.0,1639650.0,1721229.0,1803499.0,1889031.0,1990152.0,2070892.0,2151561.0,2232371.0,2314834.0,2396445.0,2477443.0,2558705.0,2639616.0,2720828.0,2802149.0,2884575.0,2966084.0,3048913.0,3130257.0,3211301.0,3292436.0,3374813.0,3455901.0,3536552.0,3618750.0,3699770.0,3780590.0,3865637.0,3965226.0,4045901.0,4127061.0,4208333.0,4289667.0,4370981.0,4452491.0,4535584.0,4618922.0,4701644.0,4783628.0,4865895.0,4947909.0,5029636.0,5111786.0,5194073.0,5275954.0,5357694.0,5439413.0,5521049.0,5604450.0,5686885.0,,
9,198.0,44.0,panis,11.0,12.0,+2 Laps,89038.0,171046.0,252315.0,334394.0,416617.0,498820.0,580941.0,662966.0,744847.0,826631.0,908379.0,990107.0,1071697.0,1153514.0,1235247.0,1316623.0,1398274.0,1479841.0,1561500.0,1643125.0,1724725.0,1806455.0,1889208.0,1971451.0,2052830.0,2133984.0,2215344.0,2297101.0,2383080.0,2482541.0,2562699.0,2642652.0,2723456.0,2804371.0,2885787.0,2968169.0,3049738.0,3131015.0,3212486.0,3294652.0,3375932.0,3457314.0,3539761.0,3620464.0,3705181.0,3805794.0,3886475.0,3967939.0,4050013.0,4131194.0,4212687.0,4296086.0,4377930.0,4459809.0,4541571.0,4623865.0,4706351.0,4788636.0,4872291.0,4955031.0,5037306.0,5121669.0,5204170.0,5286334.0,5369486.0,5453525.0,5537573.0,5620618.0,5702914.0,,
17,198.0,65.0,herbert,8.0,11.0,+1 Lap,89360.0,171392.0,252682.0,334702.0,415815.0,496652.0,577327.0,658013.0,739149.0,819972.0,900954.0,981453.0,1062319.0,1143081.0,1224221.0,1305437.0,1386487.0,1467487.0,1548134.0,1628836.0,1709561.0,1790168.0,1870963.0,1958024.0,2076783.0,2157312.0,2237648.0,2318170.0,2398837.0,2479079.0,2559487.0,2640213.0,2721245.0,2802569.0,2883131.0,2963392.0,3043702.0,3123733.0,3203933.0,3283742.0,3365426.0,3445247.0,3525560.0,3605571.0,3685486.0,3765701.0,3852448.0,3952288.0,4032255.0,4112235.0,4192006.0,4272105.0,4352243.0,4432790.0,4513476.0,4602844.0,4682897.0,4764042.0,4844367.0,4924618.0,5005567.0,5090995.0,5172733.0,5253451.0,5333826.0,5414193.0,5494350.0,5575600.0,5656069.0,5737416.0,
11,198.0,50.0,verstappen,12.0,12.0,+2 Laps,89917.0,172199.0,253828.0,335832.0,417915.0,500045.0,582003.0,664181.0,746443.0,828277.0,910290.0,992253.0,1074751.0,1157376.0,1239484.0,1321735.0,1403811.0,1486862.0,1569016.0,1651210.0,1737045.0,1841600.0,1923116.0,2004487.0,2085932.0,2167470.0,2249474.0,2332768.0,2414500.0,2497845.0,2580287.0,2663677.0,2745544.0,2828170.0,2910914.0,2992853.0,3074397.0,3156320.0,3238252.0,3319645.0,3401157.0,3482989.0,3563858.0,3645182.0,3730618.0,3831541.0,3912390.0,3993676.0,4075208.0,4158179.0,4241185.0,4323846.0,4405527.0,4489491.0,4571405.0,4653686.0,4736166.0,4817700.0,4899423.0,4981483.0,5064786.0,5147663.0,5230090.0,5312052.0,5393751.0,5475431.0,5557836.0,5639717.0,5721801.0,,
20,198.0,73.0,rosset,22.0,9.0,Hydraulics,90708.0,173658.0,256093.0,338622.0,421216.0,503836.0,588337.0,671170.0,754226.0,837121.0,920302.0,1003424.0,1086611.0,1169767.0,1252937.0,1340163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,198.0,68.0,takagi,18.0,5.0,Engine,91082.0,174019.0,256472.0,339060.0,421564.0,504239.0,585588.0,666828.0,748729.0,830248.0,912527.0,994551.0,1076551.0,1158830.0,1245369.0,1346386.0,1426968.0,1508279.0,1589560.0,1671052.0,1754722.0,1837719.0,1919882.0,2002059.0,2084103.0,2166198.0,2247921.0,2329655.0,2412492.0,2494568.0,2578326.0,2660543.0,2744200.0,2826794.0,2913127.0,3015070.0,3095369.0,3177186.0,3258279.0,3339068.0,3420943.0,3502296.0,3586617.0,3667804.0,3749084.0,3830239.0,3911092.0,3992317.0,4073580.0,4154777.0,4241684.0,4343487.0,4425139.0,4507890.0,4590410.0,4671911.0,4753835.0,4835282.0,4916800.0,4998382.0,,,,,,,,,,,
16,198.0,64.0,diniz,14.0,12.0,+2 Laps,91639.0,175106.0,257689.0,341188.0,424358.0,507507.0,590748.0,673711.0,756420.0,839365.0,922073.0,1004989.0,1087910.0,1170848.0,1253960.0,1337207.0,1420895.0,1503228.0,1585565.0,1667695.0,1750027.0,1832431.0,1914882.0,1997912.0,2080334.0,2162642.0,2245201.0,2327560.0,2409723.0,2493469.0,2575629.0,2659333.0,2743271.0,2825815.0,2907815.0,2989663.0,3073310.0,3155075.0,3240636.0,3345451.0,3427404.0,3509396.0,3591314.0,3674304.0,3757098.0,3841131.0,3924346.0,4009162.0,4092753.0,4175866.0,4258210.0,4340673.0,4424327.0,4509509.0,4592648.0,4675100.0,4757877.0,4840353.0,4922595.0,5005147.0,5092281.0,5176863.0,5259696.0,5347296.0,5430892.0,5513700.0,5596787.0,5680143.0,5763195.0,,
22,198.0,75.0,nakano,17.0,5.0,Engine,92024.0,175654.0,258378.0,341942.0,425042.0,508264.0,591728.0,676363.0,759362.0,842313.0,924783.0,1007338.0,1089766.0,1173508.0,1256184.0,1339783.0,1422865.0,1505454.0,1587840.0,1670005.0,1755826.0,1861364.0,1943381.0,2026027.0,2108261.0,2190574.0,2273487.0,2357031.0,2439950.0,2522767.0,2605928.0,2690390.0,2773283.0,2857712.0,2940427.0,3023685.0,3106410.0,3189067.0,3271914.0,3354756.0,3436952.0,3518835.0,3605109.0,3710306.0,3792624.0,3874944.0,3956968.0,4039132.0,4121435.0,4203770.0,4286269.0,4368922.0,4451366.0,4534024.0,4617488.0,4700669.0,4783045.0,4864987.0,4947043.0,5030818.0,5116621.0,5200688.0,5284531.0,5367855.0,5451170.0,,,,,,
15,198.0,63.0,salo,13.0,12.0,+2 Laps,92365.0,175998.0,258856.0,342312.0,425406.0,508589.0,592065.0,675076.0,757252.0,839801.0,922627.0,1005415.0,1088366.0,1171397.0,1254440.0,1337663.0,1421354.0,1503784.0,1585978.0,1668206.0,1750531.0,1832904.0,1915305.0,1998386.0,2080754.0,2163066.0,2245659.0,2327962.0,2410325.0,2493889.0,2579719.0,2682858.0,2764453.0,2846124.0,2928098.0,3011644.0,3094608.0,3176643.0,3261040.0,3343729.0,3426033.0,3508293.0,3590426.0,3672817.0,3755037.0,3837936.0,3921304.0,4004027.0,4087594.0,4169749.0,4252895.0,4335146.0,4417524.0,4500452.0,4585137.0,4667898.0,4750734.0,4832746.0,4914289.0,4995973.0,5077475.0,5160204.0,5243815.0,5326387.0,5409358.0,5492094.0,5576403.0,5659295.0,5743316.0,,
21,198.0,74.0,tuero,20.0,6.0,Gearbox,93238.0,177317.0,260690.0,344695.0,428152.0,512267.0,596109.0,680097.0,763982.0,847289.0,930713.0,1013997.0,1097609.0,1182930.0,1267010.0,1353789.0,1437410.0,1526487.0,1610085.0,1693541.0,1778111.0,1863177.0,1948146.0,2033615.0,2117871.0,2201289.0,2285894.0,2369181.0,2453610.0,2536902.0,2620070.0,2703347.0,2788537.0,2871298.0,2958139.0,3066219.0,3149412.0,3233526.0,3317310.0,3400423.0,3484973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
