,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1
2,bottas,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,ricciardo,4,4,4,4,4,6,6,6,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
4,max_verstappen,5,5,5,5,5,5,4,4,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
5,raikkonen,6,13,12,12,12,11,11,11,10,10,9,9,9,9,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,3,2,2,2
6,sainz,7,6,6,6,6,4,5,5,4,4,4,4,4,4,9,13,12,12,12,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,6,6,6,6,6,7,5,5,5
7,stroll,8,7,7,7,8,9,10,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,8,8,8,8,8,9,8,7,8
8,perez,9,9,15,15,15,15,14,14,14,12,11,11,10,10,10,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,3,3,3
9,hulkenberg,10,8,8,8,7,8,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,gasly,11,10,9,9,9,7,8,10,12,13,13,14,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,11,11,11,11,11,11,11,11,11
11,leclerc,12,11,10,10,10,10,9,9,9,9,7,7,7,7,6,6,7,7,7,7,7,7,7,8,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,7,7,7,7,7,6,6,6,6
12,vandoorne,13,12,11,11,11,12,13,13,13,15,14,13,13,13,13,12,13,15,15,15,15,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,13,13,13,13,13,10,9,9,9
13,grosjean,14,15,14,14,14,13,12,12,11,11,10,10,11,11,11,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,0,0,0,0,0,0,0,0,0
14,brendon_hartley,15,14,13,13,13,14,15,16,16,16,15,15,14,14,14,14,14,13,13,13,13,15,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,12,12,12,12,12,12,10,10,10
15,alonso,16,17,17,17,17,17,16,15,15,14,12,12,12,12,12,11,11,11,11,11,11,11,12,11,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,9,9,9,9,9,8,7,8,7
16,kevin_magnussen,17,16,16,16,16,16,17,17,17,17,16,16,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,10,10,10,10,10,13,12,12,12
