,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
6,228,49,frentzen,15,18,23,Brakes,107183,201259,293878,386283,478172,570301,661883,753864,845304,936641,1028123,1119391,1210832,1302033,1393268,1484434,1575556,1666648,1757806,1865909,1960880,2052211,2143414,2235082.0,2326713.0,2418347.0,2509849.0,2601293.0,2692795.0,2784437.0,2876130.0,2969792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,228,65,herbert,15,20,10,Electrical,107410,201838,295016,387293,479060,570912,662764,754604,846033,937351,1028778,1120264,1211520,1302560,1394008,1485223,1576331,1667373,1758732,1849589,1940400,2050160,2180103,2281139.0,2518624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,228,57,hakkinen,1,8,5,Engine,108202,202435,295450,387826,480153,571753,663548,755210,846952,938149,1029575,1121282,1212666,1304073,1395112,1486273,1577174,1685895,1780828,1871790,1962467,2055550,2148245,2239655.0,2330802.0,2421735.0,2512423.0,2603283.0,2713398.0,2805532.0,2896884.0,2987905.0,3078754.0,3169369.0,3259872.0,3351066.0,3441419.0,3532166.0,3622358.0,3712797.0,3803376.0,3921216.0,4015533.0,4106622.0,4199177.0,4291321.0,4382704.0,4475392.0,4566560.0,4657539.0,4771147.0,4866072.0,4958416.0,5050768.0,5142191.0,5233259.0,5324209.0,5415399.0,5506686.0,5597776.0,5689164.0,,
12,228,64,diniz,27,7,11,+1 Lap,108619,203376,296161,388641,480636,572628,664494,756090,847703,939013,1030380,1122244,1213793,1305183,1396502,1487810,1579199,1670078,1761245,1852366,1964680,2061523,2152623,2244011.0,2335067.0,2426267.0,2517773.0,2609179.0,2700764.0,2792830.0,2884305.0,2977083.0,3067935.0,3160235.0,3251462.0,3342363.0,3433597.0,3525406.0,3616416.0,3708221.0,3802448.0,3918317.0,4014835.0,4105967.0,4199192.0,4294162.0,4387429.0,4479458.0,4571399.0,4662955.0,4754476.0,4868031.0,4964693.0,5056576.0,5148653.0,5242432.0,5334131.0,5425772.0,5517110.0,5608799.0,5700104.0,5793333.0,
5,228,44,panis,27,12,5,Engine,109047,204070,296737,389039,481209,573109,665070,757316,848675,939657,1031044,1122725,1214818,1325745,1421331,1513212,1604276,1695666,1789214,1881889,1973930,2065462,2157395,2250679.0,2343103.0,2435877.0,2528338.0,2620521.0,2712324.0,2803736.0,2895021.0,2986422.0,3077143.0,3167824.0,3258345.0,3349246.0,3439813.0,3530762.0,3621270.0,3711454.0,3822017.0,3917012.0,4007976.0,4099620.0,4191013.0,4282651.0,4375619.0,4468166.0,4560823.0,4656303.0,4752684.0,4847194.0,4940132.0,5033084.0,,,,,,,,,
18,228,79,katayama,25,13,20,Spun off,109458,204418,298024,390492,482887,575151,666981,758780,850500,941909,1033259,1124799,1216053,1307567,1398656,1489935,1581189,1689849,1784132,1876635,1968372,2061963,2154283,2245925.0,2337562.0,2428884.0,2520129.0,2611619.0,2703141.0,2794722.0,2886103.0,2978054.0,3069355.0,3160710.0,3252786.0,3344098.0,3435250.0,3526422.0,3634538.0,3728944.0,3820015.0,3910836.0,4001740.0,4092512.0,4183583.0,,,,,,,,,,,,,,,,,,
16,228,73,rosset,29,15,5,Engine,110264,205701,300104,393250,486440,579060,672136,764943,857408,950183,1042575,1135177,1227530,1320035,1412291,1504918,1597087,1689320,1782512,1897096,1995482,2088535,2183297,2279351.0,2372365.0,2464635.0,2556989.0,2650450.0,2743174.0,2837179.0,2931175.0,3027438.0,3121200.0,3214285.0,3310044.0,3404226.0,3498890.0,3592796.0,3687327.0,3783590.0,,,,,,,,,,,,,,,,,,,,,,,
19,228,83,lamy,18,9,12,+2 Laps,110614,206431,300814,394427,487860,581329,673936,766939,859488,952290,1044850,1138020,1231070,1324022,1416676,1509175,1601072,1693042,1785867,1893969,1988985,2082142,2197960,2296445.0,2392352.0,2485714.0,2579126.0,2673510.0,2769029.0,2862656.0,2958364.0,3052103.0,3145817.0,3239139.0,3332519.0,3425779.0,3520331.0,3613807.0,3707750.0,3801870.0,3916112.0,4017190.0,4111682.0,4205602.0,4299918.0,4394871.0,4489593.0,4583875.0,4678211.0,4773885.0,4869699.0,4966578.0,5061738.0,5158661.0,5253409.0,5347506.0,5441913.0,5536111.0,5630163.0,5723785.0,5819418.0,,
1,228,21,fisichella,18,19,5,Engine,110984,206681,301560,394929,488105,581683,674550,767370,860049,952455,1045190,1138428,1231300,1324333,1416948,1529925,1625509,1717142,1808861,1901450,1996588,2091584,2185833,2280237.0,2373170.0,2465615.0,2558621.0,2651261.0,2743852.0,2837729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,228,69,badoer,28,10,14,+4 Laps,111719,207697,302415,396387,490376,584186,678179,771991,865481,958635,1051643,1144999,1238095,1331140,1424598,1536563,1635000,1732073,1847485,1946742,2041106,2134773,2228430,2321708.0,2434982.0,2533688.0,2628044.0,2722625.0,2816874.0,2909632.0,3032550.0,3130950.0,3223505.0,3315931.0,3408770.0,3502215.0,3595802.0,3689160.0,3785394.0,3879857.0,3973542.0,4067018.0,4160438.0,4253826.0,4347952.0,4462663.0,4559890.0,4652601.0,4752425.0,4856314.0,4957755.0,5061222.0,5167011.0,5267848.0,5370116.0,5470027.0,5569470.0,5669817.0,5770706.0,,,,
