,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,337.0,20.0,vettel,4.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,6133.0,10224.0,13421.0,17370.0,20807.0,23474.0,26701.0,29538.0,31221.0,33339.0,36696.0,38216.0,38977.0,39564.0,38799.0
1,337.0,4.0,alonso,1.0,1.0,Finished,2028.0,2231.0,2308.0,2366.0,2148.0,2507.0,2873.0,2835.0,2999.0,3134.0,3532.0,3569.0,4118.0,5157.0,5572.0,8221.0,22525.0,3587.0,3468.0,3323.0,3173.0,2665.0,2748.0,2911.0,2868.0,2781.0,2236.0,2422.0,1505.0,1103.0,1271.0,2259.0,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,337.0,13.0,massa,2.0,1.0,Finished,3392.0,4071.0,3927.0,4350.0,4167.0,4714.0,4978.0,5142.0,4977.0,5292.0,5629.0,6398.0,6368.0,7586.0,8287.0,8561.0,8395.0,7545.0,5924.0,5119.0,4745.0,4624.0,4195.0,4653.0,4577.0,4388.0,3684.0,4124.0,3863.0,3813.0,3987.0,3873.0,2561.0,1022.0,3923.0,5449.0,5732.0,5842.0,6587.0,7952.0,8860.0,9121.0,8779.0,9178.0,11428.0,11897.0,12632.0,14326.0,16099.0
3,337.0,3.0,rosberg,5.0,1.0,Finished,4697.0,5687.0,6237.0,7196.0,7722.0,8550.0,9566.0,10584.0,11759.0,12844.0,14440.0,15789.0,17409.0,18925.0,20191.0,23639.0,40071.0,21176.0,21776.0,22028.0,22187.0,22650.0,22699.0,23650.0,24188.0,25509.0,25685.0,26612.0,27385.0,28305.0,29164.0,29571.0,28900.0,26452.0,27864.0,29751.0,30720.0,31697.0,32919.0,34026.0,35600.0,36313.0,36065.0,37126.0,39075.0,39564.0,40051.0,40900.0,40213.0
4,337.0,1.0,hamilton,3.0,1.0,Finished,5192.0,6253.0,7006.0,7841.0,8266.0,9253.0,10484.0,11382.0,12561.0,13511.0,15114.0,16399.0,18219.0,19710.0,23309.0,41680.0,37059.0,18612.0,17814.0,17519.0,17152.0,17029.0,16719.0,17046.0,16798.0,16586.0,15656.0,15713.0,15249.0,15183.0,15225.0,15375.0,13507.0,10105.0,10690.0,11715.0,13653.0,14746.0,15576.0,16554.0,16879.0,16863.0,15799.0,17072.0,19427.0,20578.0,21004.0,22361.0,23182.0
5,337.0,30.0,michael_schumacher,6.0,1.0,Finished,6161.0,8020.0,8869.0,10039.0,10887.0,12147.0,13492.0,14889.0,15881.0,16943.0,18561.0,19767.0,21338.0,22667.0,26251.0,44705.0,41610.0,23059.0,23403.0,23953.0,24455.0,24853.0,25487.0,26395.0,26854.0,27957.0,28120.0,29133.0,30157.0,31194.0,31983.0,33002.0,32462.0,30374.0,31890.0,33825.0,35287.0,36176.0,37270.0,38281.0,39396.0,40317.0,40238.0,41287.0,43204.0,43781.0,44090.0,44679.0,44163.0
6,337.0,17.0,webber,8.0,1.0,Finished,6590.0,8734.0,9457.0,11238.0,11716.0,13051.0,14227.0,15706.0,16767.0,17639.0,19297.0,20819.0,22354.0,24148.0,26230.0,29862.0,48810.0,29017.0,29863.0,29528.0,29514.0,30035.0,30465.0,31549.0,32433.0,32898.0,33185.0,34740.0,35876.0,36922.0,38344.0,38930.0,37250.0,33734.0,34873.0,36352.0,37515.0,38353.0,39050.0,40166.0,41242.0,43530.0,44702.0,45145.0,46345.0,46116.0,45772.0,46472.0,46360.0
7,337.0,18.0,button,7.0,1.0,Finished,7355.0,9691.0,11001.0,12432.0,13529.0,14891.0,16412.0,17673.0,18856.0,19881.0,21395.0,22771.0,23989.0,25433.0,26837.0,30442.0,47206.0,28129.0,28413.0,28621.0,28831.0,29380.0,29878.0,30755.0,31352.0,31977.0,32190.0,33112.0,34047.0,35217.0,35910.0,36315.0,35342.0,32545.0,33539.0,35209.0,36321.0,37183.0,38156.0,39303.0,40501.0,41625.0,41542.0,42700.0,44383.0,44881.0,44748.0,45757.0,45280.0
8,337.0,24.0,liuzzi,9.0,1.0,Finished,8107.0,11124.0,12744.0,14372.0,16302.0,18164.0,20048.0,21509.0,23028.0,24245.0,26085.0,27582.0,29706.0,31096.0,32553.0,33760.0,31786.0,14542.0,15541.0,19366.0,41076.0,41556.0,41978.0,42822.0,43566.0,43808.0,43671.0,44448.0,44979.0,45275.0,46303.0,46731.0,46143.0,43106.0,44002.0,45596.0,46591.0,47133.0,47413.0,47965.0,48815.0,49872.0,49657.0,50427.0,52309.0,53436.0,53000.0,53198.0,53008.0
9,337.0,22.0,barrichello,10.0,1.0,Finished,8995.0,11827.0,13714.0,15704.0,17452.0,19837.0,21806.0,23805.0,25697.0,27953.0,30351.0,32110.0,33338.0,34923.0,36247.0,37278.0,35703.0,18325.0,22925.0,42305.0,42190.0,45187.0,45313.0,46107.0,45986.0,46251.0,46340.0,47020.0,47414.0,47617.0,48773.0,49680.0,49201.0,46255.0,47570.0,49108.0,50078.0,50925.0,51735.0,52558.0,53170.0,53891.0,53351.0,54015.0,55847.0,56201.0,55601.0,57283.0,62489.0
