,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20,337,808,petrov,4,21,22,Suspension,132963,258834.0,383874.0,508736.0,633334.0,758231.0,882538.0,1007048.0,1131614.0,1256349.0,1382032.0,1508665.0,1635943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,337,155,kobayashi,15,22,9,Hydraulics,133768,259556.0,385614.0,510658.0,635928.0,761183.0,886349.0,1011776.0,1137431.0,1264625.0,1389944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,337,807,hulkenberg,3,14,11,+1 Lap,134245,260327.0,406424.0,551940.0,675769.0,800475.0,924940.0,1049805.0,1174340.0,1298614.0,1423084.0,1548100.0,1672867.0,1798865.0,1926524.0,2054518.0,2180225.0,2304334.0,2429224.0,2553602.0,2677534.0,2801735.0,2925862.0,3050873.0,3178435.0,3324738.0,3446397.0,3568260.0,3690021.0,3812310.0,3936836.0,4058820.0,4180622.0,4302023.0,4424096.0,4545810.0,4667563.0,4789199.0,4910993.0,5032746.0,5154333.0,5279092.0,5408962.0,5538746.0,5661978.0,5788236.0,5911334.0,6038777.0,
15,337,37,rosa,15,18,9,Hydraulics,134907,260381.0,386243.0,511536.0,636726.0,762405.0,887359.0,1012659.0,1138014.0,1262588.0,1387060.0,1512296.0,1636990.0,1763903.0,1905022.0,2026710.0,2149048.0,2270834.0,2393068.0,2515683.0,2638067.0,2760604.0,2883565.0,3007519.0,3132315.0,3254377.0,3376027.0,3503188.0,,,,,,,,,,,,,,,,,,,,,
17,337,153,alguersuari,5,13,1,Finished,135479,260896.0,387262.0,512406.0,637550.0,762937.0,888426.0,1013934.0,1139032.0,1265239.0,1390861.0,1516304.0,1643313.0,1785079.0,1907058.0,2029183.0,2151355.0,2273670.0,2395898.0,2518210.0,2640961.0,2763368.0,2885897.0,3008880.0,3132902.0,3258589.0,3398548.0,3518512.0,3639641.0,3759815.0,3880288.0,4001201.0,4121826.0,4242473.0,4362940.0,4483482.0,4603769.0,4724414.0,4845109.0,4965754.0,5086216.0,5207447.0,5328483.0,5448979.0,5569487.0,5690207.0,5810944.0,5932140.0,6053052.0
3,337,5,kovalainen,205,15,12,+2 Laps,137386,265541.0,393870.0,521857.0,649644.0,776786.0,904053.0,1031538.0,1159108.0,1286205.0,1413521.0,1541059.0,1669716.0,1798029.0,1925907.0,2054343.0,2182504.0,2309539.0,2436212.0,2562752.0,2689443.0,2815953.0,2942455.0,3068917.0,3195011.0,3328190.0,3456588.0,3583344.0,3713777.0,3845293.0,3996150.0,4120983.0,4248196.0,4371904.0,4495095.0,4617989.0,4741203.0,4864118.0,4987209.0,5110474.0,5235948.0,5359033.0,5484559.0,5607465.0,5730770.0,5856393.0,5979094.0,,
16,337,67,buemi,5,16,10,Electrical,138065,263793.0,388500.0,513393.0,638456.0,763826.0,889379.0,1014728.0,1139965.0,1265917.0,1391419.0,1517267.0,1642020.0,1765999.0,1889945.0,2013766.0,2139480.0,2263202.0,2386711.0,2509643.0,2633051.0,2758607.0,2882944.0,3006317.0,3134027.0,3279328.0,3399787.0,3520015.0,3640590.0,3761405.0,3881744.0,4002433.0,4123097.0,4243783.0,4364268.0,4484595.0,4605118.0,4725487.0,4846053.0,4967033.0,5087113.0,5207905.0,5329136.0,5449865.0,5570472.0,5691386.0,,,
5,337,10,glock,166,20,6,Gearbox,138573,266807.0,394857.0,523185.0,650587.0,777893.0,905001.0,1032521.0,1159854.0,1287423.0,1414485.0,1541578.0,1669270.0,1799791.0,1932269.0,2083727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,337,810,grassi,166,23,9,Hydraulics,139114,268475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,337,15,trulli,205,17,9,Hydraulics,139666,270177.0,400961.0,528436.0,655826.0,783352.0,910971.0,1038269.0,1165648.0,1292997.0,1420385.0,1547694.0,1676235.0,1803807.0,1932202.0,2059630.0,2186643.0,2313118.0,2440480.0,2567534.0,2694272.0,2820859.0,2947236.0,3076258.0,3226502.0,3353685.0,3476959.0,3600345.0,3725229.0,3850515.0,3974189.0,4098881.0,4222208.0,4345138.0,4468481.0,4591756.0,4715047.0,4845173.0,4977058.0,5107981.0,5245555.0,5382841.0,5517774.0,5666467.0,5807148.0,5951141.0,,,
4,337,9,kubica,4,11,1,Finished,140006,266285.0,390524.0,515334.0,639771.0,764630.0,890120.0,1015668.0,1140944.0,1266689.0,1392566.0,1521271.0,1662814.0,1784211.0,1906266.0,2028237.0,2150596.0,2272410.0,2394165.0,2516591.0,2638879.0,2761334.0,2883983.0,3006729.0,3128687.0,3249290.0,3370252.0,3490748.0,3611931.0,3732591.0,3853514.0,3974926.0,4095400.0,4216007.0,4336584.0,4457478.0,4577984.0,4698677.0,4819176.0,4939777.0,5060260.0,5181218.0,5302185.0,5423111.0,5543682.0,5664661.0,5786177.0,5907641.0,6029489.0
8,337,16,sutil,10,12,1,Finished,144476,269954.0,395209.0,522139.0,646132.0,770368.0,894714.0,1019123.0,1143890.0,1268398.0,1393305.0,1519155.0,1643498.0,1767402.0,1893493.0,2037100.0,2159528.0,2282586.0,2405176.0,2527842.0,2650234.0,2772717.0,2895384.0,3017382.0,3139279.0,3260981.0,3382825.0,3504404.0,3625950.0,3747497.0,3869780.0,3991430.0,4113264.0,4234715.0,4356362.0,4476997.0,4598004.0,4719366.0,4840602.0,4961476.0,5082194.0,5202596.0,5322197.0,5441815.0,5562069.0,5683032.0,5803749.0,5923961.0,6043354.0
22,337,811,bruno_senna,164,19,25,Overheating,147750,278854.0,410029.0,540666.0,671349.0,802516.0,932284.0,1062256.0,1192463.0,1322595.0,1455797.0,1625905.0,1758538.0,1887665.0,2019558.0,2150997.0,2287731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
