,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
14,206.0,57.0,hakkinen,1.0,1.0,Finished,104783.0,206995.0,308580.0,410692.0,512345.0,614100.0,716209.0,817952.0,919166.0,1020500.0,1121793.0,1223295.0,1324818.0,1426137.0,1527340.0,1628721.0,1730567.0,1833922.0,1953011.0,2055439.0,2156618.0,2257585.0,2359043.0,2460661.0,2561730.0,2662986.0,2764303.0,2866152.0,2968326.0,3070625.0,3172640.0,3277495.0,3396675.0,3497562.0,3597988.0,3698735.0,3799451.0,3900677.0,4001358.0,4102299.0,4203590.0,4305664.0,4408036.0,4512333.0,4616440.0,4719172.0,4821362.0,4924324.0,5028022.0,5132520.0,5242536.0
13,206.0,56.0,irvine,2.0,1.0,Finished,106360.0,208178.0,309879.0,411936.0,514103.0,616200.0,717859.0,819678.0,921440.0,1023460.0,1125242.0,1227064.0,1328932.0,1430817.0,1534179.0,1652347.0,1753442.0,1854530.0,1956006.0,2059587.0,2162431.0,2263886.0,2365117.0,2466445.0,2567699.0,2669289.0,2770844.0,2874298.0,2992632.0,3093566.0,3195349.0,3297393.0,3399201.0,3500204.0,3601329.0,3702199.0,3803267.0,3904975.0,4008701.0,4126507.0,4228204.0,4329404.0,4431461.0,4532885.0,4633882.0,4735968.0,4837365.0,4939289.0,5041546.0,5144157.0,5249027.0
10,206.0,49.0,frentzen,5.0,1.0,Finished,107942.0,211364.0,314754.0,418556.0,522218.0,625929.0,729772.0,833499.0,936666.0,1040563.0,1144134.0,1248019.0,1351438.0,1454867.0,1558816.0,1662557.0,1766300.0,1869581.0,1974038.0,2096413.0,2199278.0,2302821.0,2406385.0,2510306.0,2614406.0,2717999.0,2821369.0,2924483.0,3027736.0,3130808.0,3233979.0,3337200.0,3440429.0,3544585.0,3664090.0,3766421.0,3869489.0,3972897.0,4076078.0,4179123.0,4282132.0,4385261.0,4487906.0,4590614.0,4693660.0,4796740.0,4900344.0,5004208.0,5108213.0,5211654.0,5316393.0
1,206.0,14.0,coulthard,3.0,1.0,Finished,108373.0,211737.0,315293.0,418999.0,522519.0,626283.0,730255.0,833966.0,937179.0,1041002.0,1144731.0,1248313.0,1351813.0,1455371.0,1559097.0,1662858.0,1766756.0,1869972.0,1973119.0,2074523.0,2178039.0,2297187.0,2399391.0,2500946.0,2602548.0,2704398.0,2805979.0,2909364.0,3010804.0,3112195.0,3213974.0,3318070.0,3420601.0,3522550.0,3623686.0,3724643.0,3825680.0,3928506.0,4049232.0,4151888.0,4253375.0,4354280.0,4455901.0,4557136.0,4658765.0,4759933.0,4861347.0,4962783.0,5064863.0,5166368.0,5270198.0
8,206.0,35.0,villeneuve,6.0,1.0,Finished,109426.0,213077.0,316744.0,420375.0,524127.0,628023.0,732037.0,836044.0,939342.0,1042706.0,1146256.0,1250220.0,1353872.0,1457559.0,1562456.0,1666165.0,1769949.0,1875789.0,1995501.0,2098262.0,2201366.0,2304479.0,2407637.0,2511244.0,2615552.0,2719580.0,2822543.0,2926010.0,3029106.0,3132548.0,3235598.0,3339302.0,3444202.0,3565389.0,3668431.0,3771033.0,3873607.0,3975987.0,4078402.0,4180675.0,4283776.0,4386786.0,4489781.0,4593317.0,4695660.0,4798643.0,4902772.0,5006205.0,5110444.0,5213999.0,5318403.0
19,206.0,71.0,damon_hill,4.0,1.0,Finished,109747.0,213582.0,317246.0,420770.0,524661.0,628673.0,732521.0,836411.0,939766.0,1043127.0,1146702.0,1250615.0,1354222.0,1459549.0,1581975.0,1684280.0,1787103.0,1889851.0,1992756.0,2097517.0,2200812.0,2303810.0,2407080.0,2510844.0,2615042.0,2718802.0,2822113.0,2925460.0,3028663.0,3131843.0,3234820.0,3338186.0,3442243.0,3564206.0,3667074.0,3769771.0,3872415.0,3974690.0,4077286.0,4180093.0,4282954.0,4386274.0,4489008.0,4591845.0,4694369.0,4797903.0,4901110.0,5004764.0,5109112.0,5212429.0,5316027.0
5,206.0,23.0,ralf_schumacher,20.0,5.0,Engine,110605.0,214600.0,318910.0,421875.0,526212.0,629882.0,733538.0,837658.0,941086.0,1044495.0,1147907.0,1251716.0,1355462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,206.0,25.0,wurz,9.0,11.0,+1 Lap,111592.0,215849.0,320051.0,424768.0,529139.0,633281.0,737633.0,841905.0,946542.0,1050603.0,1154555.0,1258908.0,1362880.0,1469588.0,1591280.0,1694950.0,1798910.0,1902357.0,2007490.0,2111108.0,2215262.0,2318817.0,2422433.0,2525927.0,2630269.0,2734128.0,2837976.0,2941744.0,3045609.0,3151274.0,3278155.0,3382340.0,3486067.0,3590056.0,3693885.0,3797791.0,3903195.0,4008544.0,4112795.0,4216653.0,4320565.0,4424745.0,4528588.0,4632704.0,4738190.0,4842213.0,4946266.0,5050116.0,5153976.0,5257673.0,
3,206.0,21.0,fisichella,8.0,1.0,Finished,112245.0,216710.0,321515.0,425880.0,530377.0,634921.0,739044.0,843194.0,947285.0,1051446.0,1155415.0,1260059.0,1363940.0,1470139.0,1575240.0,1696027.0,1799578.0,1903025.0,2005938.0,2108273.0,2210962.0,2313634.0,2416026.0,2518707.0,2621267.0,2724618.0,2827076.0,2929678.0,3033744.0,3157389.0,3261459.0,3365276.0,3468405.0,3571727.0,3675255.0,3778495.0,3883243.0,3986693.0,4090147.0,4193260.0,4296270.0,4399337.0,4502333.0,4605198.0,4708180.0,4811520.0,4914533.0,5018350.0,5126131.0,5233777.0,5343837.0
12,206.0,55.0,alesi,7.0,1.0,Finished,112748.0,219141.0,323266.0,427143.0,531159.0,635533.0,739802.0,843993.0,948426.0,1052549.0,1156701.0,1260780.0,1364940.0,1471407.0,1575762.0,1678581.0,1783460.0,1886047.0,1991362.0,2112567.0,2215990.0,2319130.0,2423134.0,2526272.0,2630668.0,2735832.0,2838614.0,2942263.0,3046108.0,3149663.0,3252020.0,3354608.0,3458559.0,3561702.0,3666369.0,3788227.0,3891401.0,3994502.0,4097791.0,4201075.0,4304069.0,4407029.0,4509679.0,4612361.0,4715140.0,4819550.0,4922695.0,5025994.0,5129396.0,5233925.0,5338589.0
9,206.0,44.0,panis,11.0,11.0,+1 Lap,113822.0,220388.0,325825.0,430449.0,535666.0,640340.0,744967.0,849763.0,954384.0,1058786.0,1162973.0,1267617.0,1372049.0,1482295.0,1588874.0,1693285.0,1799560.0,1923407.0,2026760.0,2130914.0,2235607.0,2339764.0,2444379.0,2548488.0,2652931.0,2757432.0,2861638.0,2966479.0,3074290.0,3188790.0,3313562.0,3418615.0,3524965.0,3629438.0,3733795.0,3837887.0,3942498.0,4046958.0,4151542.0,4257561.0,4362229.0,4466742.0,4571306.0,4675623.0,4779809.0,4883825.0,4987232.0,5090391.0,5193464.0,5300327.0,
7,206.0,30.0,michael_schumacher,14.0,27.0,Tyre,114446.0,217546.0,320364.0,422797.0,524925.0,628900.0,732849.0,836632.0,940235.0,1043502.0,1147094.0,1251066.0,1354476.0,1458259.0,1560480.0,1664175.0,1781252.0,1881531.0,1981721.0,2082317.0,2184222.0,2285877.0,2387287.0,2488195.0,2590262.0,2691821.0,2792825.0,2894145.0,2995233.0,3096246.0,3197744.0,,,,,,,,,,,,,,,,,,,,
4,206.0,22.0,barrichello,17.0,9.0,Hydraulics,114833.0,220888.0,326446.0,431810.0,537856.0,643163.0,748282.0,853229.0,959103.0,1082948.0,1188775.0,1295464.0,1402245.0,1508426.0,1614583.0,1720536.0,1826877.0,1932637.0,2038116.0,2143416.0,2249140.0,2361618.0,2487109.0,2594042.0,2701384.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,206.0,63.0,salo,19.0,9.0,Hydraulics,115567.0,221689.0,327497.0,433187.0,538867.0,644781.0,750525.0,856637.0,962162.0,1067498.0,1173015.0,1278509.0,1384340.0,1489644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,206.0,64.0,diniz,21.0,20.0,Spun off,116899.0,222998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,206.0,68.0,takagi,15.0,4.0,Collision,117450.0,223565.0,331435.0,437839.0,543961.0,650319.0,756690.0,863591.0,969701.0,1076462.0,1183058.0,1290169.0,1396749.0,1503300.0,1610629.0,1717648.0,1826298.0,1951697.0,2060399.0,2166423.0,2272682.0,2378533.0,2484206.0,2589989.0,2696640.0,2805355.0,2915895.0,3026269.0,,,,,,,,,,,,,,,,,,,,,,,
11,206.0,50.0,verstappen,18.0,6.0,Gearbox,117937.0,224261.0,330699.0,436570.0,543001.0,649485.0,755866.0,862530.0,969123.0,1075543.0,1181771.0,1288118.0,1394958.0,1502832.0,1610167.0,1718301.0,1843491.0,1949540.0,2055380.0,2162020.0,2282010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,206.0,15.0,trulli,12.0,13.0,+3 Laps,119909.0,227545.0,334242.0,440582.0,546381.0,652439.0,758427.0,864944.0,972045.0,1081837.0,1187054.0,1292527.0,1398026.0,1504169.0,1611595.0,1718123.0,1824700.0,1931598.0,2056354.0,2163441.0,2270173.0,2374287.0,2478393.0,2582773.0,2687280.0,2791764.0,2899067.0,3003261.0,3107792.0,3212707.0,3322124.0,3426178.0,3530048.0,3633855.0,3740597.0,3862911.0,3966155.0,4069493.0,4173265.0,4276606.0,4379914.0,4483078.0,4586835.0,4690392.0,4794331.0,4898282.0,5002183.0,5112668.0,,,
21,206.0,75.0,nakano,13.0,37.0,Throttle,121930.0,232022.0,340228.0,447032.0,554583.0,660963.0,766646.0,872259.0,978113.0,1085128.0,1191508.0,1297521.0,1403590.0,1509817.0,1615853.0,1723837.0,1848797.0,1954282.0,2061033.0,2167167.0,2273577.0,2379774.0,2485160.0,2591627.0,2697459.0,2804226.0,2910678.0,3015995.0,3120301.0,3225349.0,3332604.0,3458044.0,3566865.0,3671792.0,3776594.0,3881069.0,3985227.0,4089585.0,4195527.0,4300268.0,,,,,,,,,,,
20,206.0,74.0,tuero,16.0,4.0,Collision,123071.0,232674.0,341369.0,450003.0,557230.0,664164.0,770768.0,877347.0,984491.0,1091621.0,1198754.0,1305586.0,1413025.0,1520173.0,1627231.0,1735668.0,1842669.0,1952639.0,2080012.0,2187134.0,2292926.0,2400526.0,2507138.0,2617022.0,2725808.0,2832892.0,2939006.0,3047171.0,,,,,,,,,,,,,,,,,,,,,,,
17,206.0,65.0,herbert,10.0,11.0,+1 Lap,132601.0,237567.0,342366.0,448368.0,553680.0,658416.0,763339.0,868003.0,972560.0,1079096.0,1183681.0,1289383.0,1395092.0,1499701.0,1604089.0,1708007.0,1812053.0,1915685.0,2018834.0,2123931.0,2245075.0,2348300.0,2451831.0,2554771.0,2658348.0,2761925.0,2865176.0,2969566.0,3073130.0,3176642.0,3280052.0,3383499.0,3486630.0,3590458.0,3694226.0,3798975.0,3919566.0,4022424.0,4125446.0,4229435.0,4332526.0,4435996.0,4539370.0,4642666.0,4745842.0,4849177.0,4952568.0,5055594.0,5158528.0,5263036.0,
