,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
7,110.0,18.0,button,12.0,3.0,Accident,164540.0,301694.0,438202.0,569292.0,705073.0,839989.0,975876.0,1121462.0,1220449.0,1312802.0,1404751.0,1494788.0,1584071.0,1672637.0,1759954.0,1846543.0,1932585.0,2018876.0,2113886.0,2243763.0,2378391.0,2507479.0,2596390.0,2685374.0,2773076.0,2861038.0,2951775.0,3068913.0,3202979.0,3290687.0,3377307.0,3464015.0,,,,,,,,,,,,,,,,,,,,,,
1,110.0,2.0,heidfeld,20.0,5.0,Engine,165163.0,302587.0,438755.0,570151.0,705639.0,840739.0,976586.0,1121572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,110.0,35.0,villeneuve,6.0,1.0,Finished,166867.0,303487.0,439727.0,571223.0,706912.0,841612.0,977322.0,1122357.0,1222290.0,1316852.0,1409550.0,1501418.0,1590897.0,1679482.0,1766488.0,1853820.0,1941000.0,2028727.0,2127586.0,2253918.0,2382624.0,2510317.0,2601138.0,2689788.0,2779455.0,2867356.0,2959381.0,3074671.0,3207379.0,3296191.0,3384116.0,3471144.0,3566633.0,3683661.0,3816756.0,3947702.0,4038882.0,4127748.0,4213727.0,4299477.0,4385211.0,4470609.0,4556638.0,4642310.0,4727352.0,4812153.0,4896830.0,4981293.0,5065927.0,5152652.0,5239693.0,5325124.0,5411089.0,5493802.0
15,110.0,43.0,matta,10.0,11.0,+1 Lap,168310.0,304677.0,442021.0,572355.0,708321.0,843557.0,978713.0,1124332.0,1225253.0,1319419.0,1412539.0,1504226.0,1594043.0,1683143.0,1771992.0,1860437.0,1948917.0,2038221.0,2127726.0,2232801.0,2371437.0,2504179.0,2593565.0,2682288.0,2770096.0,2858151.0,2953325.0,3077302.0,3210060.0,3300114.0,3391670.0,3483401.0,3574966.0,3684430.0,3821363.0,3948089.0,4038655.0,4129298.0,4219592.0,4309996.0,4400217.0,4491052.0,4581451.0,4672076.0,4769748.0,4882290.0,4969370.0,5059762.0,5149197.0,5241133.0,5333068.0,5422315.0,5516018.0,
19,110.0,51.0,wilson,19.0,20.0,Spun off,169078.0,305220.0,442583.0,572897.0,708653.0,844352.0,979338.0,1124822.0,1224356.0,1318315.0,1410899.0,1501876.0,1591772.0,1680546.0,1768569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,110.0,50.0,verstappen,13.0,20.0,Spun off,169926.0,306625.0,443007.0,573861.0,709934.0,845008.0,979871.0,1126285.0,1232008.0,1329787.0,1424298.0,1516814.0,1607020.0,1696191.0,1784925.0,1873484.0,1962166.0,2050639.0,2141241.0,2244496.0,2379192.0,2508435.0,2599404.0,2687717.0,2775727.0,2863884.0,2956633.0,3070941.0,3204806.0,3293909.0,,,,,,,,,,,,,,,,,,,,,,,,
16,110.0,44.0,panis,17.0,4.0,Collision,170462.0,311667.0,446070.0,577730.0,713362.0,848847.0,984546.0,1127289.0,1232651.0,1330259.0,1425424.0,1518175.0,1611579.0,1703906.0,1794588.0,1885640.0,1976134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,110.0,49.0,frentzen,5.0,1.0,Finished,171318.0,308211.0,443982.0,575296.0,711432.0,845824.0,982040.0,1126896.0,1231035.0,1326914.0,1421615.0,1513184.0,1602678.0,1691488.0,1781112.0,1871522.0,1959359.0,2047166.0,2137621.0,2242169.0,2375211.0,2507017.0,2606038.0,2694070.0,2782631.0,2870866.0,2966733.0,3076057.0,3209809.0,3300997.0,3388725.0,3475275.0,3563179.0,3682501.0,3815387.0,3947211.0,4035590.0,4123026.0,4208763.0,4294403.0,4380345.0,4465535.0,4551072.0,4636417.0,4721690.0,4806566.0,4892802.0,4979619.0,5065632.0,5152017.0,5235985.0,5319482.0,5402571.0,5486390.0
14,110.0,42.0,pizzonia,16.0,3.0,Accident,174961.0,311001.0,445069.0,577053.0,712570.0,847669.0,983707.0,1127034.0,1232062.0,1326940.0,1417782.0,1507242.0,1596663.0,1685285.0,1773867.0,1862372.0,1950809.0,2039766.0,2134363.0,2235841.0,2374547.0,2505792.0,2594834.0,2682824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,110.0,52.0,firman,18.0,22.0,Suspension,220057.0,317012.0,447944.0,579672.0,715146.0,850237.0,986259.0,1133858.0,1252541.0,1344811.0,1435592.0,1525439.0,1614598.0,1705292.0,1795469.0,1886779.0,1976957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
