,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,grosjean,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,hamilton,3,3,3,3,3,3,3,3,3,8,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,rosberg,4,4,4,4,4,4,4,4,4,3,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,12,12,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7
4,hulkenberg,5,5,5,5,5,5,5,5,5,6,9,7,6,6,6,6,6,5,5,5,5,5,5,5,5,7,10,9,7,7,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,alonso,6,6,6,6,6,6,6,6,8,11,10,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,9,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,ricciardo,7,7,7,8,8,8,8,9,9,7,4,5,4,4,4,4,4,9,13,13,13,12,10,10,10,9,9,10,8,9,8,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0
7,raikkonen,8,8,8,7,7,7,7,7,6,4,3,9,8,8,8,8,8,7,7,7,7,7,7,7,8,10,8,8,6,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,maldonado,9,9,9,9,9,10,11,17,14,13,12,12,11,11,12,12,12,12,11,11,11,11,11,16,16,16,15,15,14,13,13,9,9,9,9,9,9,9,9,9,10,10,10,10,14,14,14,14,14,14,14,14,13,13,13
9,button,10,10,10,15,20,20,19,16,13,12,11,10,10,10,10,10,10,10,9,9,9,10,17,14,14,14,14,13,11,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8
10,perez,11,11,12,11,11,11,10,10,10,9,13,13,12,12,11,11,11,11,10,10,10,9,9,9,9,8,7,7,5,4,12,15,15,15,15,15,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,10,10,10
11,webber,12,12,11,10,10,9,9,8,7,5,2,2,9,9,9,9,9,8,8,8,8,8,8,8,7,5,5,5,3,3,9,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,resta,13,13,13,12,12,12,13,18,17,14,14,14,13,13,13,13,13,13,12,12,12,13,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,gutierrez,14,14,14,13,13,13,15,19,18,16,15,15,14,14,14,14,14,14,14,14,14,14,13,12,12,12,12,12,10,11,11,13,13,13,13,13,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11
14,garde,15,16,17,18,17,17,16,13,12,15,20,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,17,16,16,16,17,18,18,18,17,17,17,17,17,17,17,17,15,15,15
15,vergne,16,15,15,14,14,14,12,11,11,10,8,11,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,17,16,16,16,16,16,16,16,14,18,18,18,18,17,16,16,15,15,15,15,15,15,15,15,17,0,0
16,bottas,17,17,16,16,15,15,14,12,21,20,18,18,17,17,17,17,17,17,17,17,17,17,16,15,15,15,16,16,18,18,17,17,17,17,17,17,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12
17,sutil,18,18,21,21,21,21,21,21,20,19,17,17,16,16,16,16,16,16,16,16,16,16,14,13,13,13,13,14,15,14,14,12,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0
18,pic,19,19,19,19,18,18,17,14,15,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,16,17,18,18,18,18,18,18,16,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,14,14,14
19,jules_bianchi,20,21,20,20,19,19,18,15,16,18,21,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,16,16,17,17,18,18,18,18,18,18,18,18,16,16,16
20,massa,21,20,18,17,16,16,20,20,19,17,16,16,15,15,15,15,15,15,15,15,15,15,12,11,11,11,11,11,13,15,15,14,14,14,14,14,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,9,9,9
