,0,1,2
0,20,9,1:37.202
1,1,131,1:37.420
2,17,9,1:37.464
3,154,208,1:37.531
4,3,131,1:37.679
5,4,6,1:37.978
6,13,6,1:38.223
7,807,15,1:37.913
8,821,15,1:38.327
9,8,208,1:38.181
10,815,1,1:38.362
11,18,1,1:38.365
12,817,5,1:38.417
13,16,10,1:38.431
14,814,10,1:38.718
15,818,5,1:38.781
16,822,3,1:39.470
17,813,3,1:39.987
18,819,207,1:40.864
19,823,207,1:40.871
20,824,206,1:41.169
21,820,206,1:41.322
