,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
13,894,815,perez,1,10,1,Finished,115921,224705,333944,443325,552439,661608,770089,878126,986002,1098312,1224923,1331006,1437021,1544845,1650823,1756870,1863335,1969942,2076197,2182143,2287848,2393837,2499527,2605108,2711363.0,2817418.0,2923282.0,3029209.0,3135105.0,3241179.0,3397419.0,3567355.0,3678229.0,3815933.0,3970123.0,4119412.0,4225486.0,4361706.0,4518411.0,4668533.0,4775525.0,4879896.0,4984116.0,5088117.0,5195496.0,5298577.0,5401550.0,5505027.0,5608637.0,5712355.0,5815718.0,5918870.0,6022663.0,6125674.0,6228856.0
6,894,17,webber,9,21,4,Collision,116328,224969,333308,442489,550092,657830,765627,871803,978423,1084686,1191245,1302608,1427427,1532067,1637121,1743521,1849807,1956315,2062550,2168998,2275933,2381799,2487187,2592643,2698315.0,2803130.0,2906993.0,3010973.0,3116128.0,3224725.0,3387272.0,3538181.0,3660403.0,3813142.0,3966223.0,4117261.0,,,,,,,,,,,,,,,,,,,
12,894,814,resta,10,22,20,Spun off,117017,225898,334986,444048,553218,662571,775577,903186,1011589,1118000,1226274,1332924,1439746,1546892,1654384,1761751,1868717,1975424,2082083,2188745,2296400,2404272,2517060,2644505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,894,821,gutierrez,15,11,1,Finished,117587,226748,335730,445076,554760,664796,778276,905736,1013809,1121993,1229309,1336682,1444186,1550924,1657840,1764781,1871080,1978106,2085295,2191990,2297981,2404834,2513301,2619869,2725899.0,2832254.0,2939099.0,3045847.0,3152796.0,3260098.0,3394712.0,3548745.0,3663609.0,3814586.0,3969171.0,4118513.0,4224589.0,4360044.0,4516491.0,4667749.0,4774535.0,4879010.0,4983166.0,5087266.0,5195128.0,5300144.0,5404278.0,5507848.0,5611003.0,5714249.0,5817921.0,5920831.0,6024011.0,6126947.0,6229691.0
20,894,823,garde,207,15,1,Finished,118750,229559,341433,452615,563336,674506,785460,895669,1004762,1119299,1249203,1378378,1486381,1594865,1703109,1811121,1918909,2027005,2135000,2243290,2351568,2460144,2569586,2678036,2785835.0,2893396.0,3001113.0,3109053.0,3216530.0,3336803.0,3490088.0,3642103.0,3758320.0,3871489.0,3984332.0,4123435.0,4230870.0,4364796.0,4521069.0,4670804.0,4779713.0,4887306.0,4993471.0,5100033.0,5205078.0,5310211.0,5415391.0,5520903.0,5626833.0,5732959.0,5838629.0,5943926.0,6049122.0,6153827.0,6258202.0
15,894,818,vergne,5,18,12,+2 Laps,119105,227563,336322,445858,555584,665750,775347,883971,992350,1101178,1211934,1328984,1457424,1563831,1670179,1776660,1883502,1990618,2097789,2204772,2312218,2419506,2527157,2639232,2766320.0,2872056.0,2977460.0,3082743.0,3189326.0,3301339.0,3438434.0,3568240.0,3681164.0,3817393.0,3971523.0,4120115.0,4226975.0,4366507.0,4525342.0,4672144.0,4780097.0,4885990.0,4990399.0,5095290.0,5199528.0,5304323.0,5408810.0,5513144.0,5617714.0,5722039.0,5826291.0,5930381.0,6053686.0,,
19,894,822,bottas,3,12,1,Finished,119605,229874,338446,448479,558339,669092,777994,891459,1019912,1127799,1235654,1343700,1451412,1559162,1666711,1774446,1882006,1989494,2096579,2203541,2310158,2416649,2523347,2630771,2738048.0,2846594.0,2955509.0,3068945.0,3196907.0,3308492.0,3441948.0,3568913.0,3682865.0,3817955.0,3972106.0,4120493.0,4227934.0,4362550.0,4519170.0,4669077.0,4776264.0,4880917.0,4985076.0,5088945.0,5196292.0,5301003.0,5405757.0,5510427.0,5614485.0,5718581.0,5823043.0,5927619.0,6031967.0,6136336.0,6240750.0
5,894,16,sutil,10,20,4,Collision,120158,230592,345778,480284,587550,695267,802902,910433,1018260,1126198,1234553,1342247,1450172,1557525,1664005,1770407,1876990,1983542,2089975,2196002,2301896,2407917,2514309,2620834,2727048.0,2833703.0,2940314.0,3051715.0,3176686.0,3281426.0,3414281.0,3548211.0,3661728.0,3813789.0,3967072.0,4118030.0,4241380.0,4381663.0,4561900.0,4672398.0,4787250.0,4908542.0,5012637.0,5118229.0,5224288.0,5331595.0,5438127.0,5544958.0,5651258.0,5772893.0,,,,,
16,894,819,pic,207,14,1,Finished,120786,231343,342637,453617,564790,675875,786533,896576,1011201,1139793,1247757,1355958,1463978,1571918,1679709,1787664,1895515,2003510,2111340,2218936,2326400,2434058,2541944,2650048,2757552.0,2865435.0,2973150.0,3080869.0,3188902.0,3304999.0,3478276.0,3640091.0,3754684.0,3867829.0,3980534.0,4122322.0,4229045.0,4363968.0,4520105.0,4670364.0,4778031.0,4883922.0,4989558.0,5094887.0,5201217.0,5306621.0,5412820.0,5519649.0,5625802.0,5731324.0,5836990.0,5942082.0,6047854.0,6152331.0,6257279.0
21,894,824,jules_bianchi,206,16,1,Finished,121436,233101,343806,454680,566274,677781,789114,900447,1011505,1126104,1255121,1364250,1473618,1582899,1692006,1801000,1909791,2018315,2126983,2235326,2343767,2451984,2560221,2669642,2779198.0,2887154.0,2994838.0,3102774.0,3210495.0,3330309.0,3484770.0,3641458.0,3757674.0,3870412.0,3982911.0,4123001.0,4231819.0,4365945.0,4522453.0,4671266.0,4779056.0,4885520.0,4992840.0,5099287.0,5206589.0,5312206.0,5417524.0,5522993.0,5628758.0,5734336.0,5839921.0,5945539.0,6051266.0,6156257.0,6261671.0
4,894,13,massa,6,9,1,Finished,122290,231577,341701,449697,558954,672453,798344,906493,1014272,1122649,1229793,1337269,1444967,1551818,1658784,1765760,1872617,1979750,2086556,2192915,2299043,2405456,2512651,2618647,2724615.0,2831154.0,2937736.0,3044666.0,3155749.0,3281843.0,3416006.0,3550653.0,3664196.0,3815178.0,3969715.0,4119027.0,4225023.0,4360681.0,4517220.0,4668345.0,4775065.0,4879485.0,4983674.0,5087704.0,5194159.0,5297251.0,5400205.0,5504200.0,5607932.0,5711436.0,5814984.0,5918048.0,6021879.0,6124934.0,6228091.0
