,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
4,62.0,13.0,massa,2.0,1.0,Finished,94011.0,218886.0,340524.0,459715.0,578102.0,688124.0,762549.0,835874.0,909266.0,983516.0,1057393.0,1131311.0,1205111.0,1279037.0,1352770.0,1426398.0,1499995.0,1573386.0,1646903.0,1720403.0,1793797.0,1867054.0,1940702.0,2014038.0,2087363.0,2160324.0,2233468.0,2306721.0,2379675.0,2473417.0,2552769.0,2626283.0,2699363.0,2772665.0,2846407.0,2920204.0,2993827.0,3067476.0,3140887.0,3214411.0,3288235.0,3361764.0,3435265.0,3508870.0,3582408.0,3656001.0,3729494.0,3803203.0,3876615.0,3949949.0,4024232.0,4118140.0,4196095.0,4269974.0,4343313.0,4417508.0,4491570.0,4565875.0,4640475.0,4714604.0,4788860.0,4863163.0,4937329.0,5011642.0,5085974.0,5160157.0,5234753.0,5309174.0,5383414.0,5457497.0,5531724.0,5606678.0,5683183.0
13,62.0,30.0,michael_schumacher,1.0,1.0,Finished,94701.0,219783.0,342138.0,460278.0,578757.0,689677.0,762890.0,836585.0,910182.0,984220.0,1058186.0,1132032.0,1206068.0,1280208.0,1354135.0,1427844.0,1501403.0,1575062.0,1648478.0,1721763.0,1795098.0,1868370.0,1941741.0,2015173.0,2088382.0,2161389.0,2234464.0,2307459.0,2400816.0,2476936.0,2550068.0,2623846.0,2697123.0,2770119.0,2843472.0,2916813.0,2989949.0,3063516.0,3136925.0,3210312.0,3283742.0,3357228.0,3430637.0,3503969.0,3577103.0,3650375.0,3723621.0,3796636.0,3869852.0,3942814.0,4015709.0,4088727.0,4161900.0,4254429.0,4332358.0,4405077.0,4479007.0,4553058.0,4627551.0,4701683.0,4776276.0,4850170.0,4924004.0,4997854.0,5072140.0,5146323.0,5220743.0,5294990.0,5368823.0,5442860.0,5517627.0,5594467.0,5675199.0
2,62.0,4.0,alonso,5.0,1.0,Finished,97706.0,222471.0,344842.0,461839.0,580733.0,690301.0,764741.0,839065.0,913486.0,988149.0,1062573.0,1136854.0,1211688.0,1286337.0,1362081.0,1436690.0,1510990.0,1584926.0,1659281.0,1733532.0,1807539.0,1881570.0,1956042.0,2029982.0,2103826.0,2177383.0,2250851.0,2324184.0,2397663.0,2471107.0,2562713.0,2641804.0,2715629.0,2789461.0,2863548.0,2937609.0,3011453.0,3085372.0,3159395.0,3233408.0,3307931.0,3382034.0,3455994.0,3530111.0,3604160.0,3678303.0,3752082.0,3826161.0,3900236.0,3974921.0,4048998.0,4123078.0,4197928.0,4272586.0,4368075.0,4447045.0,4520998.0,4595191.0,4669290.0,4743265.0,4817482.0,4891213.0,4965110.0,5039129.0,5112584.0,5186734.0,5260866.0,5334752.0,5408339.0,5482379.0,5556129.0,5629445.0,5703609.0
8,62.0,21.0,fisichella,3.0,1.0,Finished,99929.0,223364.0,346512.0,463464.0,581610.0,690457.0,764960.0,839321.0,913714.0,988420.0,1062991.0,1137161.0,1212153.0,1286633.0,1361409.0,1435428.0,1509235.0,1582679.0,1656468.0,1729852.0,1803007.0,1876582.0,1950611.0,2023910.0,2097357.0,2170663.0,2243996.0,2317127.0,2408600.0,2487350.0,2561062.0,2634663.0,2708379.0,2782166.0,2856326.0,2930042.0,3003512.0,3077181.0,3150923.0,3225943.0,3299741.0,3373276.0,3446838.0,3520563.0,3593901.0,3667832.0,3741211.0,3815055.0,3890438.0,3964592.0,4038421.0,4111866.0,4203307.0,4282362.0,4356252.0,4430165.0,4504377.0,4578383.0,4652502.0,4726783.0,4800928.0,4875083.0,4949203.0,5023470.0,5097406.0,5171554.0,5245874.0,5320188.0,5394623.0,5468709.0,5542749.0,5617056.0,5691794.0
9,62.0,22.0,barrichello,6.0,1.0,Finished,100529.0,223835.0,347761.0,464440.0,583452.0,691084.0,766140.0,840358.0,914882.0,989513.0,1064430.0,1138975.0,1213376.0,1287958.0,1362666.0,1437344.0,1511779.0,1586089.0,1660169.0,1734252.0,1808319.0,1882417.0,1956540.0,2050616.0,2129171.0,2203304.0,2277380.0,2351216.0,2425103.0,2499482.0,2574578.0,2649166.0,2723391.0,2797522.0,2871721.0,2945848.0,3019523.0,3093621.0,3167552.0,3241988.0,3316160.0,3389830.0,3463630.0,3537552.0,3611516.0,3685324.0,3758935.0,3832934.0,3926079.0,4004896.0,4078510.0,4152387.0,4226343.0,4300812.0,4375172.0,4449615.0,4523929.0,4598678.0,4673324.0,4747483.0,4821548.0,4895693.0,4969989.0,5044324.0,5118261.0,5192504.0,5266795.0,5341074.0,5415173.0,5489492.0,5563698.0,5637520.0,5711715.0
15,62.0,35.0,villeneuve,12.0,5.0,Engine,102421.0,225185.0,348634.0,466052.0,584936.0,691885.0,767879.0,842718.0,916929.0,991238.0,1065453.0,1140195.0,1214662.0,1289135.0,1363708.0,1438626.0,1512973.0,1587377.0,1661311.0,1735833.0,1809771.0,1884140.0,1958561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,62.0,23.0,ralf_schumacher,10.0,45.0,+11 Laps,103353.0,226197.0,349818.0,467119.0,585557.0,692044.0,766465.0,840923.0,915457.0,990100.0,1064770.0,1139352.0,1213927.0,1288696.0,1363374.0,1438020.0,1512569.0,1586876.0,1660928.0,1735210.0,1809216.0,1883404.0,1957569.0,2031798.0,2105656.0,2179306.0,2252889.0,2326527.0,2399752.0,2492435.0,2570600.0,2644278.0,2717924.0,2791582.0,2865682.0,2939923.0,3013675.0,3087569.0,3161533.0,3235522.0,3309804.0,3383480.0,3457629.0,3531916.0,3605854.0,3680042.0,3753620.0,3827763.0,3901714.0,3975984.0,4050361.0,4124642.0,4217415.0,4295286.0,4368837.0,4442570.0,4516578.0,4590220.0,4663938.0,4737757.0,4813875.0,4888119.0,,,,,,,,,,,
1,62.0,3.0,rosberg,9.0,11.0,+1 Lap,104228.0,226971.0,350729.0,467875.0,586165.0,692663.0,768643.0,844499.0,920149.0,995859.0,1071917.0,1147490.0,1223426.0,1299710.0,1375714.0,1451799.0,1527577.0,1603073.0,1678263.0,1753861.0,1829351.0,1905430.0,1980913.0,2056680.0,2131959.0,2207451.0,2282735.0,2358149.0,2433362.0,2508509.0,2584184.0,2659697.0,2734963.0,2810359.0,2885458.0,2960709.0,3035768.0,3110686.0,3185866.0,3260974.0,3335863.0,3410570.0,3508263.0,3587157.0,3661959.0,3737620.0,3812864.0,3890416.0,3966897.0,4043030.0,4119096.0,4194825.0,4271515.0,4349181.0,4425055.0,4502453.0,4577927.0,4654482.0,4729844.0,4806650.0,4882225.0,4957392.0,5032587.0,5107628.0,5182792.0,5257822.0,5332664.0,5407510.0,5484161.0,5559386.0,5634252.0,5709147.0,
14,62.0,33.0,monteiro,13.0,3.0,Accident,106314.0,229121.0,353396.0,469554.0,587895.0,693367.0,781344.0,890711.0,972747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,62.0,14.0,coulthard,7.0,11.0,+1 Lap,107805.0,229824.0,354200.0,470435.0,588982.0,693375.0,770151.0,846126.0,922481.0,998309.0,1074838.0,1150546.0,1226497.0,1302400.0,1378101.0,1453944.0,1529554.0,1605123.0,1680660.0,1756307.0,1831772.0,1907887.0,1983890.0,2059473.0,2134672.0,2210056.0,2285389.0,2360907.0,2436136.0,2511409.0,2586705.0,2661820.0,2736550.0,2811586.0,2887081.0,2961978.0,3036899.0,3111766.0,3186842.0,3261857.0,3337121.0,3411930.0,3486935.0,3562577.0,3637882.0,3713114.0,3808948.0,3889172.0,3964007.0,4040435.0,4115655.0,4190997.0,4266358.0,4341822.0,4417316.0,4493386.0,4568310.0,4643300.0,4718161.0,4793137.0,4868338.0,4943597.0,5018818.0,5093640.0,5168717.0,5243931.0,5320631.0,5395961.0,5471204.0,5546151.0,5621995.0,5699009.0,
