,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1051,1,hamilton,131,1,1,Finished,93760,183958,274533,363340,452155,540456,628663,717022,805149,893055,981135,1069078,1157060,1245003,1332782,1420407,1507921,1615312,1709470,1796965,1884738,1971883,2059306,2147168,2234164,2321182,2408711,2496188,2583028,2670186,2757928,2845002,2931472,3018454,3105008,3191677,3278178,3365097,3451817,3538693,3625341,3732192,3824240,3910601,3995896,4081939,4167862,4253825,4340324.0,4425408.0,4511386.0,4597054.0,4683010.0,4769404.0,4866308.0,4976024.0,5068471.0
1,1051,4,alonso,214,3,1,Finished,95613,186186,276592,367604,458818,549619,640691,731665,822398,913017,1003539,1093822,1184134,1274058,1363586,1452927,1542225,1632049,1720950,1809825,1898071,1986233,2095394,2190411,2278950,2367486,2456919,2545402,2635248,2723976,2812373,2900486,2992479,3080881,3168902,3257078,3345052,3432930,3520414,3607799,3694863,3781624,3869285,3956464,4043431,4130663,4217937,4304619,4391478.0,4478832.0,4566524.0,4654023.0,4741003.0,4833477.0,4942950.0,5039590.0,5127928.0
12,1051,842,gasly,213,11,11,+1 Lap,96603,187060,277946,369206,460285,551269,642492,733869,824830,915884,1006599,1099049,1211749,1307050,1396868,1485995,1576402,1666678,1755340,1844121,1932864,2021488,2110258,2199345,2288262,2377274,2466007,2554482,2642888,2731573,2820109,2908849,2998298,3087533,3197934,3291425,3378470,3465759,3553384,3641231,3728784,3816420,3903927,3991036,4078184,4165203,4252324,4340302,4428546.0,4516041.0,4604783.0,4692526.0,4781226.0,4882344.0,4991750.0,5079660.0,
7,1051,830,max_verstappen,9,2,1,Finished,97292,187864,277944,367780,455946,544343,633412,721751,810209,898591,986906,1075300,1163632,1251968,1340249,1428665,1537231,1629835,1717824,1805574,1893105,1980497,2067649,2154728,2241965,2329063,2416152,2503168,2590393,2676980,2764407,2851331,2938665,3025629,3112660,3199962,3286583,3373621,3460529,3547703,3654871,3746193,3832687,3919300,4005228,4090258,4176665,4262885,4348845.0,4434836.0,4520840.0,4606775.0,4692863.0,4776894.0,4894142.0,5011018.0,5094214.0
14,1051,846,norris,1,9,11,+1 Lap,98135,189107,279723,370371,461209,552248,643488,734698,825263,916483,1006902,1097181,1186886,1276826,1367175,1458561,1548694,1638430,1728039,1817502,1907225,1996922,2087999,2177758,2286429,2381670,2471118,2560460,2649083,2737325,2825246,2913280,3001738,3089766,3177867,3265549,3353469,3440727,3527716,3614824,3701804,3788800,3875647,3963219,4050709,4138207,4225605,4313075,4423910.0,4516386.0,4602132.0,4687917.0,4774232.0,4872224.0,4981310.0,5069186.0,
9,1051,839,ocon,214,5,1,Finished,98931,190058,280727,371409,462562,553242,644928,736274,828312,919489,1010460,1101052,1191915,1281802,1371463,1461503,1552312,1642145,1732189,1822014,1911796,2001848,2091509,2201901,2295113,2384018,2472534,2561345,2650047,2738845,2827153,2915453,3003959,3092226,3180713,3268845,3357242,3445776,3533667,3621358,3708967,3796461,3884030,3971575,4059596,4146657,4235686,4323095,4410747.0,4498673.0,4586568.0,4674432.0,4761735.0,4859166.0,4968898.0,5061106.0,5149041.0
8,1051,832,sainz,6,7,1,Finished,99804,191196,282255,373282,464025,554762,645943,738391,829671,920665,1011270,1101660,1192679,1283029,1373882,1464015,1554062,1643971,1733858,1823653,1913384,2003217,2093050,2182868,2272277,2361509,2471350,2566111,2655280,2744264,2833177,2921841,3010902,3099231,3187552,3276254,3366526,3454916,3542671,3629970,3717395,3804889,3891797,3978658,4065457,4152027,4238891,4325809,4413157.0,4500695.0,4588153.0,4676155.0,4763556.0,4863799.0,4972021.0,5062634.0,5150382.0
17,1051,852,tsunoda,213,13,11,+1 Lap,100382,192199,283410,374912,467380,558859,650941,743228,857333,953514,1043910,1133644,1223748,1313993,1403914,1493659,1583809,1673615,1763791,1854115,1944015,2033723,2122842,2212413,2301842,2390908,2479943,2569236,2658467,2747483,2836491,2925492,3014721,3124880,3219510,3307832,3397152,3486010,3574049,3662217,3750808,3839446,3927917,4015762,4103538,4190961,4278548,4366508,4453698.0,4540741.0,4627980.0,4715153.0,4803078.0,4909541.0,5014256.0,5102397.0,
4,1051,815,perez,9,4,1,Finished,101182,193078,284192,375291,465083,555000,646122,736440,826273,917380,1008009,1099149,1188200,1277468,1367443,1456110,1545218,1634181,1743277,1836743,1924926,2014117,2101852,2192035,2279631,2368004,2457632,2545814,2633717,2721697,2809169,2896826,2986893,3075370,3162917,3250610,3338794,3426454,3514502,3601905,3709895,3801112,3886859,3973965,4060847,4147033,4233422,4319815,4405428.0,4491737.0,4577690.0,4663412.0,4749251.0,4842527.0,4949643.0,5044310.0,5130777.0
10,1051,840,stroll,117,6,1,Finished,101296,193568,284735,376021,467747,559209,651282,743491,833623,924384,1013939,1103646,1194016,1284455,1374591,1464756,1554729,1644879,1734528,1824369,1914470,2004339,2115222,2208715,2297317,2385914,2474714,2563458,2652057,2740743,2829312,2917760,3006548,3094425,3182337,3270381,3358368,3446954,3534859,3622670,3710376,3798061,3885692,3973048,4060652,4149335,4237246,4324918,4412472.0,4499909.0,4587549.0,4675223.0,4762676.0,4859930.0,4969935.0,5061962.0,5149745.0
6,1051,822,bottas,131,20,137,Damage,101898,194418,285400,376674,468145,559652,651392,743565,833880,921975,1011498,1102025,1193131,1283103,1372293,1461727,1550088,1639556,1728684,1818034,1908203,1997442,2085864,2174079,2262168,2350075,2437926,2525835,2613826,2701712,2789657,2877647,3029579,3125079,3214297,3302687,3390310,3477661,3564907,3653015,3740928,3828711,3916486,4004570,4094108,4183006,4271498,4360238,,,,,,,,,
2,1051,8,raikkonen,51,14,11,+1 Lap,102464,195117,286580,377639,469473,562494,653758,745886,837795,949800,1044328,1134561,1225016,1315349,1405481,1495372,1585375,1675472,1765455,1855626,1946802,2036312,2126192,2216153,2305594,2394992,2484204,2574329,2664024,2774624,2870134,2959087,3048142,3136518,3225647,3314440,3402231,3490590,3579178,3667618,3756403,3844451,3933236,4021424,4109536,4197209,4284896,4373375,4460273.0,4547788.0,4634972.0,4722277.0,4808635.0,4916310.0,5018612.0,5105206.0,
