,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
14,887.0,815.0,perez,20.0,36.0,Wheel,108859.0,209956.0,309862.0,409681.0,508784.0,608384.0,708141.0,808737.0,909157.0,1008671.0,1108105.0,1207561.0,1304806.0,1420373.0,1518849.0,1644482.0,1772621.0,1929906.0,2093686.0,2251703.0,2400789.0,2500588.0,2598921.0,2696743.0,2794767.0,2892736.0,2990577.0,3089249.0,3188226.0,3286821.0,3384575.0,3481628.0,3576774.0,3690860.0,3788082.0,3884367.0,3980498.0,4077123.0,4173272.0,4270020.0,4366440.0,4488131.0,4624061.0,4775442.0,4919985.0,5031096.0,,,,,,
11,887.0,807.0,hulkenberg,10.0,1.0,Finished,109352.0,210566.0,311190.0,411086.0,510754.0,611180.0,711907.0,813420.0,914045.0,1014183.0,1114296.0,1211451.0,1332221.0,1431030.0,1536226.0,1659380.0,1776216.0,1933232.0,2097431.0,2254693.0,2402243.0,2502639.0,2601967.0,2700507.0,2796690.0,2912272.0,3010091.0,3107708.0,3204709.0,3302229.0,3400431.0,3498602.0,3598049.0,3696834.0,3796072.0,3894610.0,3990478.0,4105847.0,4202291.0,4298884.0,4400653.0,4524114.0,4638895.0,4780838.0,4923395.0,5020684.0,5117700.0,5213713.0,5309764.0,5406073.0,5502837.0,5599165.0
19,887.0,821.0,gutierrez,14.0,1.0,Finished,109862.0,211850.0,312019.0,411925.0,512247.0,613044.0,714158.0,815432.0,917449.0,1015910.0,1132106.0,1231223.0,1331332.0,1430506.0,1536974.0,1661260.0,1777272.0,1934196.0,2097976.0,2256061.0,2402818.0,2503281.0,2602740.0,2702392.0,2801378.0,2900157.0,2999823.0,3118258.0,3216659.0,3338950.0,3435647.0,3532086.0,3629509.0,3727381.0,3825880.0,3922774.0,4020363.0,4117746.0,4215817.0,4311622.0,4441332.0,4566438.0,4665325.0,4786046.0,4925950.0,5024628.0,5121345.0,5218189.0,5315057.0,5411891.0,5508666.0,5605741.0
7,887.0,17.0,webber,2.0,1.0,Finished,110350.0,211097.0,310426.0,410170.0,510037.0,610495.0,710599.0,810692.0,910623.0,1007386.0,1128411.0,1225787.0,1322952.0,1420867.0,1520523.0,1645106.0,1773357.0,1930891.0,2094741.0,2251925.0,2401006.0,2500042.0,2598211.0,2695929.0,2793810.0,2891620.0,2989904.0,3088647.0,3186592.0,3283756.0,3378841.0,3490819.0,3586237.0,3681806.0,3777358.0,3872971.0,3968689.0,4065063.0,4161800.0,4258797.0,4355305.0,4471049.0,4623005.0,4774761.0,4919345.0,5015508.0,5110672.0,5205756.0,5299553.0,5392979.0,5486820.0,5580221.0
12,887.0,813.0,maldonado,11.0,1.0,Finished,111328.0,213805.0,315210.0,417312.0,518632.0,619428.0,720107.0,821077.0,921990.0,1022956.0,1123770.0,1225248.0,1327900.0,1429881.0,1533819.0,1676463.0,1781896.0,1936561.0,2100855.0,2259277.0,2403738.0,2504462.0,2604336.0,2703806.0,2803250.0,2902175.0,3001917.0,3100942.0,3200574.0,3299498.0,3398347.0,3498171.0,3597585.0,3696341.0,3794811.0,3894025.0,3989843.0,4105273.0,4201666.0,4297808.0,4399992.0,4523437.0,4637637.0,4780314.0,4923904.0,5021408.0,5119215.0,5216471.0,5312603.0,5408583.0,5504684.0,5600591.0
16,887.0,818.0,vergne,22.0,27.0,Tyre,111814.0,213969.0,315594.0,415973.0,515839.0,615618.0,715300.0,816019.0,916822.0,1016648.0,1116265.0,1215662.0,1316221.0,1425023.0,1555388.0,1680824.0,1784067.0,1937693.0,2102075.0,2259978.0,2404460.0,2505282.0,2605486.0,2705290.0,2805376.0,2922353.0,3021536.0,3122398.0,3220827.0,3319197.0,3417914.0,3516672.0,3615547.0,3714526.0,3813077.0,,,,,,,,,,,,,,,,,
20,887.0,822.0,bottas,12.0,1.0,Finished,112278.0,215818.0,317671.0,419271.0,520467.0,621398.0,722128.0,823643.0,924943.0,1026956.0,1128273.0,1230944.0,1334870.0,1436495.0,1542660.0,1681098.0,1787601.0,1939008.0,2102779.0,2261013.0,2404783.0,2505887.0,2606156.0,2705989.0,2806235.0,2905166.0,3004436.0,3103871.0,3203010.0,3301830.0,3402170.0,3501728.0,3601086.0,3700644.0,3800060.0,3899405.0,3998843.0,4096750.0,4220800.0,4317371.0,4425638.0,4549471.0,4655961.0,4784030.0,4924884.0,5023454.0,5120724.0,5217704.0,5314621.0,5411302.0,5508238.0,5604550.0
13,887.0,814.0,resta,9.0,1.0,Finished,112609.0,214675.0,316047.0,417039.0,516844.0,616620.0,716245.0,816961.0,915259.0,1031296.0,1129917.0,1229075.0,1328218.0,1427867.0,1528007.0,1653533.0,1775511.0,1933000.0,2096957.0,2254312.0,2401901.0,2502225.0,2601253.0,2699557.0,2798104.0,2896491.0,2995047.0,3093409.0,3191658.0,3289572.0,3388011.0,3486308.0,3582155.0,3697260.0,3795134.0,3892717.0,3990416.0,4087732.0,4184943.0,4282561.0,4379888.0,4502792.0,4642214.0,4782423.0,4923132.0,5019977.0,5117042.0,5212581.0,5308115.0,5403955.0,5502069.0,5597399.0
17,887.0,819.0,pic,15.0,1.0,Finished,113289.0,216941.0,319846.0,422974.0,525171.0,627276.0,728872.0,830845.0,932625.0,1034285.0,1135915.0,1237490.0,1338760.0,1440201.0,1546890.0,1690320.0,1794433.0,1939913.0,2104293.0,2262865.0,2405398.0,2507454.0,2607906.0,2707795.0,2808238.0,2907978.0,3008009.0,3108672.0,3208182.0,3307618.0,3406924.0,3506261.0,3605570.0,3702806.0,3820264.0,3918428.0,4016659.0,4115400.0,4214116.0,4312675.0,4421375.0,4549037.0,4654912.0,4782949.0,4924310.0,5024299.0,5123069.0,5221357.0,5318885.0,5416684.0,5513978.0,5611069.0
18,887.0,820.0,chilton,17.0,1.0,Finished,113987.0,219369.0,322019.0,424892.0,527736.0,631008.0,733924.0,837209.0,940089.0,1043563.0,1146722.0,1248939.0,1368586.0,1471563.0,1587803.0,1713464.0,1820919.0,1942832.0,2106994.0,2265531.0,2406334.0,2510110.0,2612277.0,2714621.0,2816791.0,2918632.0,3021387.0,3124114.0,3224981.0,3325704.0,3426231.0,3525524.0,3645437.0,3745382.0,3845699.0,3946188.0,4046870.0,4148365.0,4249788.0,4350826.0,4473259.0,4619105.0,4743928.0,4845876.0,4946404.0,5046673.0,5146279.0,5246352.0,5348269.0,5447425.0,5546878.0,5647116.0
22,887.0,824.0,jules_bianchi,16.0,1.0,Finished,114433.0,219050.0,321336.0,423666.0,525667.0,627853.0,729638.0,832310.0,934517.0,1036373.0,1136421.0,1253467.0,1353518.0,1453676.0,1566777.0,1693402.0,1798150.0,1942085.0,2105270.0,2264277.0,2405905.0,2508594.0,2609248.0,2709553.0,2810141.0,2910601.0,3011561.0,3112213.0,3212095.0,3312197.0,3412155.0,3512331.0,3610321.0,3726926.0,3826416.0,3924809.0,4023420.0,4121784.0,4220337.0,4319127.0,4428340.0,4552953.0,4656896.0,4785268.0,4925678.0,5025755.0,5124257.0,5222252.0,5320761.0,5419218.0,5517196.0,5615553.0
21,887.0,823.0,garde,18.0,1.0,Finished,114978.0,220205.0,323757.0,427177.0,530795.0,634459.0,737775.0,841348.0,944451.0,1045630.0,1166970.0,1269397.0,1372214.0,1475208.0,1590469.0,1715752.0,1822331.0,1944272.0,2107973.0,2266891.0,2407431.0,2510755.0,2612851.0,2714152.0,2816302.0,2918032.0,3021001.0,3121120.0,3240779.0,3341718.0,3442525.0,3543466.0,3644483.0,3744651.0,3845042.0,3945531.0,4046371.0,4148022.0,4249487.0,4349919.0,4489363.0,4625257.0,4749336.0,4848946.0,4948470.0,5047653.0,5146810.0,5246588.0,5347709.0,5446431.0,5547522.0,5647215.0
