,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2,955.0,3.0,rosberg,1.0,1.0,Finished,112772.0,222779.0,333320.0,444196.0,554447.0,664856.0,775093.0,885536.0,995643.0,1105573.0,1215480.0,1325251.0,1434940.0,1544329.0,1654011.0,1763318.0,1872478.0,1981960.0,2091207.0,2200810.0,2315010.0,2440811.0,2548765.0,2657360.0,2766383.0,2875755.0,2984383.0,3092534.0,3200489.0,3308945.0,3420076.0,3527497.0,3636036.0,3743156.0,3850592.0,3957877.0,4065034.0,4172476.0,4279761.0,4387104.0,4494354.0,4602556.0,4710111.0,4817187.0,4924730.0,5033736.0,5141205.0,5247690.0,5354713.0,5463424.0,5572366.0
11,955.0,817.0,ricciardo,7.0,1.0,Finished,113840.0,224192.0,335290.0,448058.0,561728.0,680635.0,807578.0,917718.0,1028308.0,1138670.0,1248929.0,1359293.0,1469040.0,1579570.0,1690000.0,1800969.0,1911867.0,2023198.0,2135979.0,2247546.0,2359178.0,2476839.0,2603751.0,2713261.0,2822616.0,2931882.0,3041282.0,3150298.0,3259330.0,3367928.0,3476472.0,3585041.0,3693516.0,3801736.0,3909900.0,4018125.0,4126224.0,4234157.0,4342240.0,4450273.0,4558699.0,4667090.0,4775406.0,4883643.0,4992349.0,5100843.0,5209079.0,5317325.0,5425673.0,5533859.0,5641595.0
7,955.0,20.0,vettel,2.0,1.0,Finished,115352.0,225809.0,336710.0,448708.0,561816.0,673429.0,784619.0,895885.0,1007043.0,1118178.0,1229195.0,1340209.0,1450641.0,1561040.0,1671315.0,1781701.0,1892072.0,2002240.0,2112468.0,2227664.0,2353793.0,2462447.0,2570599.0,2678807.0,2786896.0,2894889.0,3003158.0,3111178.0,3218760.0,3326407.0,3434259.0,3542234.0,3650857.0,3758335.0,3866333.0,3974864.0,4082944.0,4190405.0,4298097.0,4406157.0,4513659.0,4621029.0,4728835.0,4837035.0,4944337.0,5051744.0,5158806.0,5265928.0,5372956.0,5480131.0,5589062.0
4,955.0,8.0,raikkonen,4.0,1.0,Finished,116048.0,227268.0,338785.0,450829.0,562713.0,676150.0,788886.0,905900.0,1032565.0,1143286.0,1253748.0,1363483.0,1473201.0,1582294.0,1692628.0,1802801.0,1912322.0,2023098.0,2132557.0,2241709.0,2350542.0,2459425.0,2568146.0,2676618.0,2785504.0,2893975.0,3002147.0,3112503.0,3221144.0,3329820.0,3438149.0,3546365.0,3654807.0,3763194.0,3871770.0,3980286.0,4088420.0,4197129.0,4304949.0,4413227.0,4520408.0,4627956.0,4735253.0,4842520.0,4949947.0,5057492.0,5166021.0,5273808.0,5381207.0,5489127.0,5600468.0
10,955.0,815.0,perez,3.0,1.0,Finished,116369.0,227790.0,339785.0,451081.0,563034.0,676741.0,790143.0,903284.0,1015768.0,1127743.0,1239478.0,1350454.0,1461038.0,1571177.0,1681132.0,1795519.0,1921199.0,2029480.0,2139708.0,2249703.0,2359058.0,2467038.0,2575627.0,2684077.0,2792401.0,2900594.0,3008908.0,3117278.0,3225646.0,3333635.0,3441555.0,3549436.0,3657806.0,3765857.0,3875031.0,3983017.0,4091946.0,4199936.0,4307676.0,4414932.0,4522521.0,4630158.0,4737809.0,4845172.0,4952162.0,5059231.0,5167082.0,5274230.0,5382187.0,5489338.0,5597607.0
5,955.0,13.0,massa,10.0,1.0,Finished,118109.0,229373.0,341744.0,454385.0,567401.0,680619.0,798075.0,923161.0,1033809.0,1144981.0,1257552.0,1367659.0,1477540.0,1587318.0,1697294.0,1807631.0,1918049.0,2028815.0,2139824.0,2253003.0,2363980.0,2474434.0,2584617.0,2694533.0,2804415.0,2914175.0,3023848.0,3138046.0,3262820.0,3371572.0,3480384.0,3588848.0,3697225.0,3805180.0,3912941.0,4020753.0,4128710.0,4236909.0,4345656.0,4454495.0,4563854.0,4673317.0,4783119.0,4892298.0,5002840.0,5111446.0,5220183.0,5329486.0,5438393.0,5547867.0,5657741.0
17,955.0,830.0,max_verstappen,8.0,1.0,Finished,118905.0,230504.0,343753.0,458763.0,580131.0,706522.0,816944.0,928768.0,1039171.0,1150943.0,1261406.0,1371952.0,1483162.0,1594828.0,1705556.0,1816448.0,1927949.0,2039658.0,2151449.0,2269323.0,2398311.0,2508291.0,2617728.0,2726715.0,2835811.0,2945145.0,3054590.0,3163395.0,3272212.0,3380874.0,3489323.0,3597810.0,3706077.0,3814668.0,3922801.0,4030673.0,4138762.0,4246616.0,4354318.0,4461906.0,4569408.0,4677182.0,4784898.0,4892509.0,4999956.0,5107154.0,5214254.0,5321890.0,5429003.0,5535976.0,5643062.0
15,955.0,826.0,kvyat,22.0,22.0,Suspension,118934.0,232101.0,346625.0,461382.0,593743.0,736941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,955.0,822.0,bottas,6.0,1.0,Finished,120130.0,232228.0,344108.0,458827.0,570609.0,681220.0,793807.0,905125.0,1016576.0,1128673.0,1241931.0,1354423.0,1466216.0,1577506.0,1688219.0,1798947.0,1909502.0,2020492.0,2136356.0,2262240.0,2371919.0,2481460.0,2590803.0,2700077.0,2809672.0,2918809.0,3028018.0,3136832.0,3246025.0,3355339.0,3464726.0,3574080.0,3683078.0,3792035.0,3900984.0,4009732.0,4118390.0,4226723.0,4334913.0,4442927.0,4552109.0,4660224.0,4768409.0,4876732.0,4985077.0,5093331.0,5201310.0,5309282.0,5417086.0,5524690.0,5633252.0
1,955.0,1.0,hamilton,5.0,1.0,Finished,120321.0,233173.0,346459.0,458810.0,571016.0,682845.0,793961.0,905796.0,1017528.0,1128751.0,1240311.0,1352057.0,1462791.0,1573743.0,1688562.0,1813783.0,1921970.0,2030973.0,2140265.0,2249959.0,2359394.0,2468958.0,2577689.0,2686925.0,2796029.0,2905076.0,3013649.0,3122235.0,3230900.0,3339992.0,3448894.0,3557740.0,3666887.0,3776243.0,3884771.0,3993502.0,4103160.0,4212173.0,4320948.0,4429884.0,4537321.0,4644143.0,4752335.0,4861746.0,4971084.0,5080332.0,5189329.0,5298568.0,5407809.0,5517567.0,5628701.0
