,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,massa,1,1,2,2,2,2,2,2,2,2,2,2,2,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,michael_schumacher,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ralf_schumacher,3,3,3,3,3,3,3,3,3,3,3,3,5,9,8,8,7,7,6,6,6,6,5,5,5,5,5,5,4,5,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
3,alonso,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,trulli,5,5,5,5,5,5,5,5,5,5,5,6,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,5,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,button,6,6,6,6,7,7,7,7,7,7,7,7,6,4,3,2,10,10,9,9,8,8,7,7,7,7,7,7,7,6,5,5,5,4,4,3,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
6,fisichella,7,7,7,7,6,6,6,6,6,6,6,5,4,3,9,9,8,8,7,7,7,7,6,6,6,6,6,6,6,4,4,4,4,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
7,heidfeld,8,8,8,8,8,8,8,8,8,8,8,8,7,5,4,4,3,5,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,raikkonen,9,9,9,9,9,9,9,9,9,9,9,9,8,7,6,6,5,4,4,4,4,5,8,8,8,8,8,8,8,7,6,6,6,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
9,barrichello,10,18,21,21,21,21,21,21,21,20,20,20,20,20,20,19,19,19,18,16,15,15,20,19,19,18,18,18,16,16,16,16,16,16,14,14,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,0
10,kubica,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,rosberg,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,0
12,webber,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,rosa,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,0
14,liuzzi,15,14,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,20,20,18,18,18,17,17,17,17,17,17,17,17,17,17,17,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,0
15,coulthard,16,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,20,19,18,17,16,15,14,14,14,14,14,14,14,14,14,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,speed,17,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,16,16,16,16,18,18,18,18,18,19,18,19,18,18,18,16,16,16,16,16,16,16,16,17,0,0,0,0,0
17,albers,18,17,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,16,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,sato,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,20,19,18,19,20,20,19,19,19,19,19,19,19,19,18,16,16,15,16,17,15,15,15,15,15,15,15,15,15,15,15,15,15,0
19,doornbos,20,19,18,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,15,15,16,19,17,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,0
20,monteiro,21,21,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,19,18,17,16,15,14,17,20,20,20,20,20,20,20,20,20,20,18,17,17,16,17,17,17,17,17,17,17,17,16,16,16,16,0,0
