,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,villeneuve,1,1,1,1,2,9,18,17,14,13,11,15,13,11,10,10,10,10,9,8,8,8,8,8,6,6,6,6,6,5,5,9,8,7,7,6,6,6,6,6,6,6,6,6
1,alesi,2,2,2,2,3,3,4,15,13,11,10,5,2,2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,4,3,3,3,6,6,6,7,7,7,10,10,10,10,10,9
2,michael_schumacher,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,fisichella,4,4,4,4,4,2,2,2,2,3,9,6,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,frentzen,5,6,6,6,6,5,5,12,16,16,15,12,10,7,7,7,6,6,6,6,5,5,5,4,7,7,7,7,7,7,7,5,4,4,4,4,4,4,4,4,4,4,4,4
5,hakkinen,6,5,5,5,5,4,3,3,3,2,2,2,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,6,6,4,3,3,3,3,3,3,3,3,3,3,3,3
6,diniz,7,7,7,7,7,6,7,5,5,5,3,3,12,12,12,11,11,11,12,11,11,11,11,11,10,9,9,9,9,8,8,7,9,10,10,10,10,10,9,9,9,9,9,8
7,damon_hill,8,8,8,8,8,8,8,7,7,7,13,8,8,9,11,16,19,19,18,17,17,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
8,coulthard,9,9,9,9,9,7,6,4,4,4,6,10,7,6,6,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,herbert,10,10,10,10,10,10,9,6,6,6,4,7,6,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5
10,barrichello,11,11,11,11,11,11,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,morbidelli,12,12,12,12,12,12,12,10,9,9,7,9,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,12,12,11,11,11,11,11,12,12,12,11,11,11,11,11,11,10
12,berger,13,13,13,13,14,14,13,9,10,15,14,11,9,8,8,8,8,8,8,7,7,7,7,7,11,10,10,10,10,10,9,8,7,8,9,9,9,8,7,7,7,7,7,7
13,nakano,14,14,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,irvine,15,15,15,15,15,15,15,19,19,17,17,16,14,13,14,12,12,12,11,10,10,10,10,10,9,8,8,8,8,9,10,10,10,9,8,8,8,9,8,8,8,8,8,0
15,magnussen,16,16,16,14,13,13,11,8,8,8,5,4,4,16,16,15,15,15,15,13,13,13,13,13,13,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
16,salo,17,17,17,17,17,18,19,18,17,19,18,17,16,14,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,11,11,11,12,12,12,12,12,12,0
17,katayama,18,18,18,18,19,17,16,16,15,14,16,18,18,18,18,18,18,18,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
18,marques,19,19,20,19,18,16,14,14,12,12,12,14,17,17,17,17,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,verstappen,20,20,19,20,20,19,17,13,11,10,8,13,11,10,9,9,9,9,10,9,9,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ralf_schumacher,21,21,21,21,21,20,20,20,18,18,19,19,19,19,19,19,17,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
