,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
7,218.0,35.0,villeneuve,5.0,1.0,Finished,215511.0,416730.0,614129.0,753824.0,893771.0,1038984.0,1196782.0,1334193.0,1465806.0,1597470.0,1729913.0,1874633.0,2002599.0,2125117.0,2249542.0,2369228.0,2487496.0,2611391.0,2735850.0,2862146.0,2982660.0,3102484.0,3222580.0,3340925.0,3459138.0,3576200.0,3692675.0,3807787.0,3924214.0,4039560.0,4160113.0,4294418.0,4411082.0,4527652.0,4644431.0,4760254.0,4874375.0,4987689.0,5101918.0,5215432.0,5328392.0,5441106.0,5553798.0,5668820.0
10,218.0,55.0,alesi,8.0,1.0,Finished,216242.0,417171.0,614596.0,755369.0,894326.0,1034140.0,1174620.0,1331131.0,1465129.0,1595802.0,1722790.0,1848944.0,1972440.0,2093901.0,2213014.0,2331160.0,2448507.0,2570994.0,2696129.0,2819227.0,2941812.0,3062407.0,3188941.0,3329364.0,3448779.0,3566613.0,3684076.0,3800742.0,3916338.0,4031686.0,4149806.0,4272803.0,4408917.0,4526681.0,4644270.0,4763478.0,4880866.0,5003910.0,5135447.0,5251393.0,5367704.0,5486542.0,5607203.0,5728725.0
6,218.0,30.0,michael_schumacher,1.0,1.0,Finished,217511.0,418106.0,615110.0,755645.0,887898.0,1016641.0,1144539.0,1271883.0,1398461.0,1524242.0,1650446.0,1775672.0,1904793.0,2033214.0,2172130.0,2289966.0,2408218.0,2530943.0,2658825.0,2782213.0,2903315.0,3022905.0,3145011.0,3263858.0,3382857.0,3501004.0,3617947.0,3734551.0,3854498.0,3990872.0,4108689.0,4226436.0,4343716.0,4462477.0,4580808.0,4697528.0,4813160.0,4928680.0,5044683.0,5160231.0,5275571.0,5391673.0,5507933.0,5626717.0
3,218.0,21.0,fisichella,2.0,1.0,Finished,219044.0,418689.0,615874.0,756343.0,894797.0,1033588.0,1167379.0,1300306.0,1433090.0,1569487.0,1722610.0,1853849.0,1979902.0,2103186.0,2224655.0,2344102.0,2463367.0,2589424.0,2715603.0,2839109.0,2960630.0,3080966.0,3200788.0,3320494.0,3438399.0,3554965.0,3671373.0,3787263.0,3902432.0,4018689.0,4138677.0,4271271.0,4387311.0,4502936.0,4618126.0,4733277.0,4848479.0,4963199.0,5077887.0,5192657.0,5307449.0,5422158.0,5537420.0,5653470.0
8,218.0,49.0,frentzen,3.0,1.0,Finished,221701.0,420192.0,617473.0,759285.0,898230.0,1037211.0,1176133.0,1327101.0,1475516.0,1606856.0,1736753.0,1866221.0,1992107.0,2114623.0,2233331.0,2351931.0,2470330.0,2593494.0,2719680.0,2843681.0,2963896.0,3082881.0,3202048.0,3327625.0,3466066.0,3583567.0,3700454.0,3817157.0,3932913.0,4049563.0,4165853.0,4282412.0,4398584.0,4513865.0,4629250.0,4743847.0,4858326.0,4972449.0,5086964.0,5202104.0,5316207.0,5430105.0,5543979.0,5658864.0
12,218.0,57.0,hakkinen,16.0,2.0,Disqualified,223316.0,419676.0,617171.0,758472.0,896743.0,1035084.0,1171258.0,1303910.0,1435614.0,1567104.0,1698080.0,1840741.0,1987667.0,2110898.0,2230792.0,2349029.0,2466749.0,2591560.0,2718690.0,2841482.0,2962390.0,3082083.0,3201703.0,3321248.0,3440206.0,3556885.0,3672775.0,3788511.0,3909074.0,4043603.0,4161459.0,4278624.0,4394173.0,4509234.0,4624657.0,4739353.0,4855250.0,4970369.0,5085400.0,5200262.0,5314480.0,5428673.0,5542848.0,5657573.0
15,218.0,64.0,diniz,7.0,1.0,Finished,223617.0,421085.0,618075.0,760704.0,899327.0,1037695.0,1177180.0,1311270.0,1442664.0,1574952.0,1707602.0,1844687.0,2002313.0,2126657.0,2254262.0,2374590.0,2493483.0,2619171.0,2747184.0,2872335.0,2995212.0,3117094.0,3237608.0,3357428.0,3476761.0,3594335.0,3710908.0,3826376.0,3942171.0,4057945.0,4173693.0,4291428.0,4415029.0,4550634.0,4666715.0,4783527.0,4898557.0,5013658.0,5128903.0,5244633.0,5359163.0,5472815.0,5588119.0,5712648.0
17,218.0,71.0,damon_hill,13.0,12.0,+2 Laps,224678.0,421645.0,618591.0,761590.0,899638.0,1038513.0,1177547.0,1314396.0,1445650.0,1581587.0,1732221.0,1861742.0,1991149.0,2122474.0,2254105.0,2390734.0,2542258.0,2675795.0,2803630.0,2928739.0,3052308.0,3174987.0,3299053.0,3421368.0,3542627.0,3661998.0,3779722.0,3896297.0,4012675.0,4129215.0,4245825.0,4362173.0,4477793.0,4598251.0,4732240.0,4847093.0,4961697.0,5075967.0,5190296.0,5304544.0,5418618.0,5542015.0,,
1,218.0,14.0,coulthard,19.0,20.0,Spun off,225973.0,422571.0,619262.0,762358.0,900162.0,1038082.0,1176392.0,1308808.0,1440153.0,1574086.0,1717906.0,1864036.0,1989563.0,2111990.0,2232588.0,2351757.0,2471306.0,2595195.0,2720375.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,218.0,65.0,herbert,4.0,1.0,Finished,227132.0,423300.0,619984.0,764007.0,900869.0,1039066.0,1177935.0,1311636.0,1443295.0,1575321.0,1712125.0,1861167.0,1987889.0,2111559.0,2231809.0,2350447.0,2468705.0,2593361.0,2719525.0,2843636.0,2966192.0,3086952.0,3207298.0,3330163.0,3449800.0,3567825.0,3685538.0,3804214.0,3919499.0,4035007.0,4155911.0,4286978.0,4402010.0,4518613.0,4634862.0,4750318.0,4865873.0,4980780.0,5095360.0,5209873.0,5324136.0,5438436.0,5552127.0,5665742.0
