,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
1,trulli,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,button,3,3,3,4,5,4,3,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,8,8,6,6,5,5,4,4,4,4,5,5,5,5,5,5,5,5
3,michael_schumacher,4,4,4,3,2,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
4,coulthard,5,5,5,5,3,3,2,3,9,9,9,9,9,9,9,9,9,9,8,7,7,7,7,6,6,6,5,5,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4
5,ralf_schumacher,6,6,6,6,4,5,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,villeneuve,7,7,7,7,6,7,9,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,10,10,10,10,9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7
7,frentzen,8,8,8,8,7,8,10,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,6,5,5,5,4,4,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6
8,herbert,9,10,10,10,9,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,10,10,9,9,9,9,10,13,12,12,9,8,8,8,8,8,8,8,8,8,8,8
9,barrichello,10,9,9,9,8,9,11,9,7,7,7,7,7,7,7,7,7,7,6,8,11,10,9,9,8,8,7,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
10,fisichella,11,11,11,11,10,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,irvine,12,12,12,12,11,6,5,12,12,12,12,12,12,12,12,12,12,12,13,13,13,11,11,11,11,11,11,11,11,12,13,13,10,10,10,10,10,10,10,10,10,10,10,10
12,zonta,13,13,13,13,12,13,14,13,13,13,13,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,0
13,heidfeld,14,14,14,14,14,20,19,19,18,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,rosa,15,15,17,17,15,15,18,18,17,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,16,15,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,0,0
15,diniz,16,21,21,21,18,16,12,10,10,10,10,10,10,10,10,10,10,10,9,9,9,14,12,12,12,12,12,12,12,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11
16,alesi,17,16,15,16,17,14,8,5,4,4,4,4,4,4,4,4,4,4,10,10,8,8,8,8,7,7,6,7,5,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0
17,salo,18,17,16,15,13,10,7,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,13,13,11,11,10,8,9,9,9,9,9,9,9,9,9,9,9
18,wurz,19,19,19,19,16,17,20,20,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,15,15,17,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,0
19,verstappen,20,18,18,18,19,19,17,17,16,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,0
20,gene,21,20,20,20,20,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,17,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,0
