,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,raikkonen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,barrichello,2,2,2,2,4,10,10,10,10,10,10,9,9,9,9,9,9,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4
2,rosa,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
3,michael_schumacher,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,6,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,6,6,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,5,0,0,0
4,fisichella,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,alonso,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,massa,7,7,7,8,8,7,8,8,9,9,9,10,13,13,13,13,13,12,11,11,11,11,11,11,11,9,9,9,9,9,8,8,8,8,8,9,9,9,9,10,11,11,11,11,11,11,11,11,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,10,10,9,9,8,8,0
7,kubica,8,16,16,14,14,14,14,14,14,14,14,13,12,12,12,11,11,14,15,14,14,14,14,14,12,11,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,7,7,0
8,coulthard,9,8,9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,0
9,heidfeld,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
10,button,11,9,8,7,7,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,ralf_schumacher,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,9,9,9,10,10,10,10,10,10,9,9,9,9,9,8,8,8,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,0
12,liuzzi,13,12,12,15,15,15,15,15,15,15,15,15,15,14,14,14,14,13,12,12,12,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,trulli,14,13,13,12,12,12,12,12,12,12,12,14,14,15,15,15,15,15,13,13,13,13,13,13,14,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,0,0,0,0,0
14,speed,15,14,14,13,13,13,13,13,13,13,13,12,11,11,11,12,12,11,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,0,0,0,0
15,sato,16,15,15,16,17,17,16,16,17,17,17,17,17,17,17,17,17,17,16,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,13,13,13,0,0,0,0,0
16,webber,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,monteiro,18,18,18,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0,0,0
18,rosberg,19,19,19,18,18,18,17,17,16,16,16,16,16,16,16,16,16,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,klien,20,17,17,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
