,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,ralf_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,button,2,2,2,2,2,2,2,2,2,2,2,2,6,6,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,alonso,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,montoya,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,5,5,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,michael_schumacher,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,raikkonen,6,6,6,6,6,6,7,7,7,7,7,9,9,9,9,9,8,8,10,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,0
6,barrichello,7,7,7,7,7,7,6,6,6,6,6,6,4,4,3,3,2,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,matta,8,8,8,8,8,8,8,8,8,8,8,7,5,5,6,6,11,11,11,10,9,11,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
8,panis,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
9,heidfeld,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,0,0
10,glock,11,11,12,12,13,13,13,13,13,13,12,12,12,12,12,12,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
11,fisichella,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,8,7,7,7,7,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,0
12,klien,13,15,15,15,15,15,16,16,16,16,15,15,15,15,15,15,16,17,17,18,18,18,18,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,0,0,0
13,baumgartner,14,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,17,17,16,16,17,17,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,0,0,0,0
14,sato,15,14,14,14,14,14,14,15,15,15,14,14,14,14,14,14,13,13,13,12,11,10,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,12,12,12,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,coulthard,16,13,13,13,12,12,12,12,12,12,16,16,16,16,16,16,14,14,14,13,13,13,12,12,12,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
16,bruni,17,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,16,16,15,15,17,17,16,16,16,16,16,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,massa,18,16,16,16,16,16,15,14,14,14,13,13,13,13,13,13,12,12,12,11,10,9,9,9,8,14,14,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
