,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,coulthard,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,ralf_schumacher,3,3,3,3,3,3,3,3,3,3,3,3,3,4,9,9,9,9,9,9,9,7,7,6,5,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,villeneuve,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,damon_hill,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,irvine,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,michael_schumacher,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,3,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,fisichella,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,8,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,frentzen,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,alesi,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,herbert,11,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,14,12,12,12,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
11,barrichello,12,11,11,11,11,11,11,11,11,11,11,11,11,11,12,15,14,14,14,14,14,14,13,11,11,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,trulli,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,12,12,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,0
13,panis,14,14,14,14,14,14,16,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,18,18,18,17,17,17,17,17,17,17,17,17,16,15,15,15,15,15,15,15,0
14,verstappen,15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,salo,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,16,16,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,14,0
16,wurz,17,17,17,16,16,15,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,10,8,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11
17,takagi,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,18,18,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,14,13,0
18,diniz,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,nakano,20,20,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,16,17,17,17,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
