,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
13,201,57,hakkinen,1,1,1,Finished,111612,218866,325580.0,432030.0,538485.0,644912.0,751420.0,858158.0,964700.0,1071479.0,1178363.0,1285361.0,1392397.0,1498726.0,1605974.0,1712500.0,1818752.0,1925259.0,2032064.0,2139170.0,2246217.0,2353296.0,2459773.0,2566199.0,2673151.0,2784957.0,2911004.0,3017699.0,3124960.0,3232252.0,3339518.0,3446717.0,3554009.0,3661563.0,3768798.0,3876247.0,3983029.0,4089950.0,4198891.0,4307140.0,4415276.0,4523103.0,4631097.0,4739355.0,4847984.0
0,201,14,coulthard,1,2,1,Finished,113089,220134,326858.0,433553.0,540107.0,646348.0,752737.0,859568.0,966372.0,1073093.0,1179860.0,1286890.0,1394033.0,1500878.0,1607871.0,1714323.0,1820439.0,1926753.0,2033467.0,2140673.0,2247436.0,2354509.0,2461052.0,2567548.0,2674206.0,2781178.0,2893575.0,3018760.0,3126087.0,3233185.0,3340381.0,3447768.0,3555003.0,3662711.0,3769846.0,3877241.0,3984090.0,4090914.0,4200127.0,4308361.0,4416372.0,4524073.0,4631726.0,4740263.0,4848411.0
4,201,23,ralf_schumacher,17,6,1,Finished,113909,221238,327745.0,434299.0,540906.0,647426.0,753776.0,860444.0,967105.0,1073942.0,1181344.0,1287743.0,1394450.0,1505749.0,1630981.0,1738125.0,1845355.0,1952567.0,2060066.0,2167354.0,2274493.0,2381975.0,2490672.0,2598031.0,2704955.0,2811995.0,2919158.0,3025846.0,3136930.0,3261692.0,3369272.0,3476339.0,3583161.0,3690394.0,3797696.0,3904842.0,4012772.0,4121597.0,4229983.0,4338065.0,4445616.0,4552795.0,4660814.0,4768916.0,4877723.0
7,201,35,villeneuve,3,3,1,Finished,114607,222179,329548.0,436744.0,543463.0,649936.0,756535.0,863475.0,970642.0,1077259.0,1184627.0,1291337.0,1398414.0,1504908.0,1611778.0,1718310.0,1824723.0,1931301.0,2038435.0,2145452.0,2252305.0,2358816.0,2470424.0,2596881.0,2703595.0,2810513.0,2917259.0,3024020.0,3131044.0,3237682.0,3344719.0,3452848.0,3560150.0,3666724.0,3772998.0,3879367.0,3986254.0,4092975.0,4203625.0,4313119.0,4421425.0,4528696.0,4635823.0,4743256.0,4850562.0
18,201,71,damon_hill,17,4,1,Finished,115207,223371,331035.0,438470.0,545724.0,652625.0,759544.0,866991.0,974272.0,1081060.0,1187886.0,1294957.0,1402084.0,1509126.0,1616248.0,1723071.0,1829500.0,1937282.0,2044583.0,2151429.0,2259254.0,2366169.0,2477636.0,2604747.0,2712381.0,2819965.0,2927383.0,3034782.0,3141571.0,3248493.0,3355151.0,3462064.0,3569056.0,3676278.0,3783039.0,3890294.0,3996611.0,4103100.0,4210547.0,4317896.0,4425334.0,4533528.0,4640203.0,4747172.0,4855170.0
12,201,56,irvine,6,8,1,Finished,115865,224103,332131.0,441769.0,549328.0,656788.0,764414.0,872280.0,980000.0,1087441.0,1194870.0,1302621.0,1410248.0,1517602.0,1624728.0,1732172.0,1839559.0,1946572.0,2054047.0,2161426.0,2269070.0,2376062.0,2485116.0,2592657.0,2704691.0,2833047.0,2940465.0,3048119.0,3155837.0,3263303.0,3370720.0,3478235.0,3586245.0,3694525.0,3801880.0,3908339.0,4016485.0,4126635.0,4234230.0,4341651.0,4449666.0,4557834.0,4665129.0,4772188.0,4879634.0
6,201,30,michael_schumacher,6,5,1,Finished,116691,225017,332860.0,440985.0,548388.0,655756.0,763395.0,871083.0,978465.0,1086124.0,1193838.0,1301097.0,1408392.0,1516341.0,1623148.0,1729992.0,1837097.0,1944002.0,2051741.0,2159065.0,2266093.0,2373184.0,2480435.0,2591102.0,2718132.0,2825257.0,2932193.0,3038988.0,3145783.0,3252340.0,3359218.0,3465994.0,3572671.0,3679429.0,3786016.0,3893409.0,3999790.0,4106206.0,4213930.0,4321032.0,4428011.0,4535475.0,4644575.0,4752375.0,4860598.0
2,201,21,fisichella,22,7,1,Finished,117285,225880,334005.0,442490.0,550315.0,657998.0,765564.0,873722.0,981771.0,1089370.0,1197368.0,1305125.0,1412357.0,1519412.0,1626243.0,1733514.0,1840825.0,1948291.0,2055979.0,2163777.0,2271138.0,2382745.0,2509503.0,2617744.0,2725193.0,2832539.0,2939972.0,3047579.0,3155116.0,3262852.0,3370213.0,3477793.0,3585057.0,3692435.0,3800064.0,3907898.0,4016227.0,4124769.0,4232965.0,4341200.0,4449378.0,4556659.0,4664094.0,4771492.0,4879011.0
9,201,49,frentzen,3,9,1,Finished,117942,226628,335033.0,443401.0,551503.0,659494.0,767138.0,876016.0,984175.0,1092132.0,1199853.0,1307688.0,1415053.0,1522516.0,1630175.0,1737310.0,1844329.0,1951964.0,2059081.0,2166531.0,2273933.0,2385319.0,2513124.0,2621601.0,2730368.0,2838445.0,2946431.0,3054276.0,3162226.0,3270120.0,3377606.0,3484496.0,3592249.0,3699533.0,3806817.0,3913945.0,4020858.0,4129686.0,4237309.0,4345007.0,4452134.0,4559365.0,4666600.0,4773582.0,4880769.0
11,201,55,alesi,15,10,1,Finished,118394,227508,336128.0,444610.0,552559.0,660933.0,768702.0,877123.0,985651.0,1093599.0,1201487.0,1309367.0,1416911.0,1524503.0,1632482.0,1739920.0,1847325.0,1955442.0,2062909.0,2170526.0,2282110.0,2411155.0,2519551.0,2627484.0,2736391.0,2844517.0,2953035.0,3061076.0,3168738.0,3276490.0,3384156.0,3491690.0,3599060.0,3706365.0,3813873.0,3921320.0,4028653.0,4139167.0,4248433.0,4356999.0,4465758.0,4573839.0,4680803.0,4788157.0,4896356.0
