,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
15,208,65,herbert,15,7,1,Finished,92080,173174,254403,335335,416484,497548,578269,659245,740163,820775,901544,982232,1062963,1143865,1224528,1305171.0,1393898.0,1491227.0,1570235.0,1649735.0,1728978.0,1808475.0,1888032.0,1968609.0,2049256.0,2129038.0,2208470.0,2287917.0,2367220.0,2446315.0,2525654.0,2604841.0,2684101.0,2763264.0,2842399.0,2921759.0,3001078.0,3080438.0,3160080.0,3240050.0,3327564.0,3427367.0,3506378.0,3585721.0,3665126.0,3744775.0,3824264.0,3903817.0,3984147.0,4064765.0,4145296.0,4225075.0,4304365.0,4383837.0,4463320.0,4542782.0,4622395.0,4702555.0,4782016.0,4861372.0,4940901.0,5020350.0,5099965.0,5179449.0,5258997.0,5338639.0,5418443.0,5498296.0,5578380.0,5658217.0,5737870.0,5817902.0
3,208,22,barrichello,24,20,22,Suspension,92089,174331,255488,336448,417640,498828,579990,661084,742358,823469,904639,985722,1067035,1147823,1228747,1320575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,208,49,frentzen,3,9,1,Finished,92263,173188,253905,334639,415991,497069,577970,658692,739538,820312,901018,981671,1062411,1143153,1223920,1304286.0,1385234.0,1465504.0,1546079.0,1628128.0,1708928.0,1789835.0,1869748.0,1949790.0,2030577.0,2110451.0,2190190.0,2277690.0,2376703.0,2455410.0,2534158.0,2613188.0,2692422.0,2771893.0,2851039.0,2930402.0,3009282.0,3088606.0,3168025.0,3247523.0,3327017.0,3406614.0,3485846.0,3564663.0,3643686.0,3722872.0,3802569.0,3891690.0,3992206.0,4071069.0,4150456.0,4230010.0,4310117.0,4391744.0,4471455.0,4551272.0,4631348.0,4710817.0,4790482.0,4870369.0,4950213.0,5029969.0,5109882.0,5192831.0,5274812.0,5354747.0,5435574.0,5518800.0,5599935.0,5680969.0,5761100.0,5842392.0
1,208,15,trulli,18,12,11,+1 Lap,93559,176867,260547,342448,424051,505577,587023,668505,749922,831174,912434,993546,1074921,1156107,1237413,1318856.0,1399835.0,1481065.0,1562325.0,1643231.0,1724604.0,1806078.0,1887354.0,1968646.0,2050591.0,2132663.0,2213991.0,2298176.0,2380600.0,2461706.0,2543032.0,2623956.0,2704478.0,2784979.0,2876263.0,2978846.0,3059708.0,3140240.0,3220935.0,3301380.0,3382088.0,3462595.0,3543200.0,3623677.0,3704302.0,3784698.0,3865062.0,3945944.0,4027490.0,4107980.0,4188718.0,4269224.0,4351163.0,4431668.0,4511773.0,4592229.0,4673134.0,4754327.0,4835774.0,4917067.0,4998097.0,5080190.0,5162589.0,5245190.0,5326870.0,5408480.0,5489117.0,5570599.0,5651973.0,5733049.0,5814101.0,
11,208,56,irvine,6,16,12,+2 Laps,93628,175312,256673,337727,418742,500089,581505,663910,744895,826024,906771,988701,1069881,1151047,1232850,1314130.0,1394918.0,1475555.0,1556672.0,1637465.0,1717962.0,1798633.0,1879457.0,1967998.0,2065547.0,2144844.0,2224452.0,2304551.0,2384442.0,2464454.0,2544524.0,2625062.0,2705517.0,2786659.0,2881681.0,3020491.0,3100525.0,3181089.0,3260394.0,3340099.0,3419374.0,3498982.0,3579480.0,3660378.0,3741120.0,3822121.0,3902932.0,3983615.0,4064206.0,4143937.0,4223324.0,4310796.0,4410014.0,4490212.0,4571839.0,4652055.0,4731999.0,4812218.0,4892248.0,4972300.0,5052110.0,5133640.0,5213934.0,5294248.0,5374627.0,5455344.0,5537816.0,5618798.0,5699741.0,5780559.0,,
14,208,64,diniz,21,21,22,Suspension,93950,176213,257344,338153,419283,500292,581618,662800,743498,823904,905110,986153,1067664,1148754,1232682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,208,78,larini,15,11,11,+1 Lap,94942,176868,258263,338643,419673,500614,582029,663981,745217,826274,906848,987120,1068139,1148752,1229996,1311264.0,1391244.0,1471093.0,1550823.0,1630994.0,1710603.0,1799579.0,1899495.0,1978513.0,2057955.0,2137451.0,2217264.0,2298214.0,2379543.0,2460959.0,2542387.0,2622736.0,2703243.0,2783790.0,2863764.0,2943233.0,3023088.0,3102716.0,3182548.0,3262452.0,3341962.0,3421660.0,3501435.0,3581424.0,3670420.0,3775088.0,3854195.0,3932925.0,4012116.0,4091901.0,4171856.0,4252492.0,4333490.0,4414304.0,4494384.0,4574194.0,4653832.0,4733554.0,4813555.0,4893576.0,4974724.0,5054902.0,5135224.0,5214950.0,5294753.0,5374794.0,5455376.0,5537064.0,5617285.0,5697579.0,5777642.0,
17,208,75,nakano,20,14,11,+1 Lap,95625,177560,259566,340655,421735,502710,583819,665532,747374,829224,910977,992418,1074073,1155185,1236519,1318098.0,1399156.0,1480381.0,1561495.0,1642367.0,1723932.0,1805282.0,1886785.0,1968061.0,2049241.0,2131984.0,2213931.0,2297239.0,2378955.0,2460029.0,2541596.0,2622425.0,2703091.0,2783762.0,2865296.0,2945971.0,3053407.0,3177501.0,3257158.0,3336862.0,3417453.0,3498590.0,3579176.0,3660058.0,3740827.0,3821659.0,3902396.0,3983203.0,4064141.0,4147428.0,4229148.0,4309901.0,4392969.0,4474247.0,4556090.0,4636839.0,4717090.0,4797564.0,4877882.0,4958321.0,5039628.0,5121154.0,5202027.0,5283373.0,5363311.0,5443100.0,5523552.0,5604119.0,5684566.0,5764627.0,5845224.0,
13,208,63,salo,25,13,11,+1 Lap,96046,178173,260705,342675,424406,505936,587257,668760,750245,832021,913099,993931,1075293,1156781,1238528,1320170.0,1401008.0,1490831.0,1591752.0,1672326.0,1753084.0,1834359.0,1915980.0,1997213.0,2078540.0,2159847.0,2241060.0,2322408.0,2404245.0,2486801.0,2567793.0,2650461.0,2731511.0,2814450.0,2895208.0,2975943.0,3056945.0,3137338.0,3218095.0,3298751.0,3379327.0,3460192.0,3549275.0,3649326.0,3729754.0,3810343.0,3891477.0,3972293.0,4053055.0,4134978.0,4216218.0,4297121.0,4378604.0,4459702.0,4540360.0,4621167.0,4702541.0,4784446.0,4865547.0,4946404.0,5026780.0,5108349.0,5189285.0,5270054.0,5351994.0,5432829.0,5513925.0,5594941.0,5676240.0,5757453.0,5840538.0,
9,208,50,verstappen,25,15,12,+2 Laps,96402,178866,261268,343226,424943,506635,588385,670359,752348,834028,915352,997228,1078759,1160425,1242579,1324431.0,1405997.0,1487553.0,1569344.0,1659767.0,1762963.0,1844667.0,1928931.0,2010502.0,2092945.0,2174908.0,2256615.0,2339125.0,2420703.0,2501760.0,2583031.0,2664150.0,2744951.0,2825751.0,2907105.0,2988055.0,3069154.0,3149831.0,3230633.0,3313619.0,3396606.0,3477521.0,3557795.0,3638557.0,3719158.0,3807491.0,3907680.0,3989051.0,4069696.0,4150294.0,4232406.0,4313299.0,4394649.0,4476617.0,4557527.0,4638535.0,4719637.0,4800891.0,4883050.0,4964001.0,5044582.0,5125815.0,5206582.0,5288785.0,5369686.0,5450684.0,5533219.0,5613956.0,5695017.0,5775893.0,,
