,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,vettel,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,bottas,3,3,3,3,3,3,3,3,3,3,3,3,2,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5
3,raikkonen,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,5,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
4,max_verstappen,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ricciardo,6,6,6,6,6,6,6,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
6,hulkenberg,7,8,7,7,7,7,7,6,6,6,6,8,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,alonso,8,7,8,9,10,11,11,10,10,12,15,14,14,14,15,15,15,14,13,12,12,12,12,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ocon,9,9,9,8,8,8,8,7,7,8,12,10,8,8,8,7,7,6,7,7,7,7,7,7,7,7,7,11,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9
9,kevin_magnussen,10,10,11,12,12,12,12,11,13,15,14,13,13,13,13,12,12,11,11,10,10,10,10,10,10,9,9,8,8,7,9,9,9,17,17,17,17,17,17,17,17,16,16,15
10,perez,11,11,10,10,9,9,9,8,8,7,7,6,11,9,9,9,8,8,8,8,8,8,8,8,8,11,11,10,16,16,14,14,13,12,12,12,12,12,13,13,14,17,0,0
11,grosjean,12,12,12,11,11,10,10,9,9,9,13,12,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
12,jolyon_palmer,13,13,13,13,14,14,15,17,17,16,16,16,16,16,16,16,16,15,14,13,13,13,13,14,14,15,15,15,13,13,15,15,15,14,13,14,14,14,14,14,13,13,13,13
13,massa,14,14,14,14,13,13,13,12,11,10,9,15,15,15,14,14,13,12,12,11,11,11,11,11,11,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8
14,stroll,15,16,16,16,16,16,16,14,16,17,17,17,17,17,17,17,17,16,15,14,14,14,14,15,13,13,13,13,14,14,12,12,12,11,11,11,11,11,11,11,11,11,11,11
15,sainz,16,15,15,15,15,15,14,13,12,11,8,7,7,7,7,8,9,9,10,15,15,15,15,13,12,12,12,12,11,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10
16,kvyat,17,17,17,17,17,17,17,15,14,13,10,9,9,11,11,11,11,13,16,16,16,16,16,16,15,14,14,14,12,11,13,13,14,13,14,13,13,13,12,12,12,12,12,12
17,vandoorne,18,18,18,18,18,18,18,16,15,14,11,11,12,12,12,13,14,17,17,17,17,17,17,17,16,16,16,16,15,15,16,16,16,15,15,15,15,15,15,15,15,14,14,14
18,ericsson,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,15,16
