,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,980,1,hamilton,131,1,1,Finished,112331,222949,333277.0,443203.0,553164.0,663154.0,773318.0,883363.0,993974.0,1103932.0,1214081.0,1328666.0,1451012.0,1560426.0,1670806.0,1781109.0,1890029.0,1998706.0,2108039.0,2217329.0,2326303.0,2435357.0,2544558.0,2653844.0,2762854.0,2871946.0,2981100.0,3090244.0,3199375.0,3341815.0,3515678.0,3715027.0,3906427.0,4014125.0,4120728.0,4227761.0,4334490.0,4441964.0,4549064.0,4655871.0,4762549.0,4869264.0,4976203.0,5082820.0
4,980,20,vettel,6,2,1,Finished,113283,223896,334346.0,444785.0,554789.0,664876.0,775009.0,885025.0,995626.0,1105537.0,1215854.0,1326118.0,1436140.0,1550228.0,1672901.0,1782058.0,1890975.0,2000213.0,2109348.0,2218598.0,2327681.0,2437098.0,2546297.0,2655235.0,2764464.0,2873684.0,2982982.0,3092152.0,3201328.0,3342257.0,3517005.0,3716162.0,3906791.0,4014948.0,4121991.0,4229224.0,4335878.0,4443030.0,4550363.0,4657178.0,4763755.0,4870778.0,4977926.0,5085178.0
9,980,822,bottas,131,5,1,Finished,114421,225592,336338.0,447336.0,557735.0,668148.0,778517.0,888993.0,1000333.0,1111294.0,1222024.0,1332813.0,1447660.0,1570388.0,1679064.0,1787894.0,1896728.0,2006248.0,2115293.0,2224469.0,2333710.0,2442776.0,2551392.0,2660594.0,2770101.0,2879351.0,2988677.0,3098036.0,3207963.0,3354499.0,3518312.0,3717438.0,3907588.0,4017930.0,4125925.0,4233766.0,4341487.0,4449799.0,4557992.0,4665793.0,4774152.0,4882333.0,4990539.0,5099276.0
2,980,8,raikkonen,6,4,1,Finished,114895,226268,337433.0,448504.0,559381.0,670341.0,781302.0,892393.0,1003426.0,1114594.0,1225627.0,1336695.0,1448056.0,1559821.0,1676456.0,1798988.0,1912449.0,2043368.0,2154378.0,2264203.0,2373954.0,2483544.0,2593852.0,2704255.0,2813205.0,2922922.0,3032270.0,3141593.0,3255822.0,3420846.0,3543741.0,3719565.0,3908151.0,4016888.0,4124949.0,4232679.0,4340409.0,4448310.0,4556447.0,4664219.0,4772584.0,4880439.0,4988727.0,5097291.0
13,980,830,max_verstappen,9,19,5,Engine,115640,227314,338646.0,450010.0,561032.0,672137.0,783332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,980,817,ricciardo,9,3,1,Finished,116278,228502,340043.0,451539.0,562806.0,674094.0,785490.0,897072.0,1009593.0,1120926.0,1232005.0,1342998.0,1454021.0,1569140.0,1692123.0,1801120.0,1910425.0,2020097.0,2129573.0,2238868.0,2348016.0,2457314.0,2566660.0,2675708.0,2785013.0,2893909.0,3003561.0,3112959.0,3221698.0,3370282.0,3533709.0,3718123.0,3907807.0,4016163.0,4123883.0,4231583.0,4339158.0,4446949.0,4554906.0,4662725.0,4770347.0,4878016.0,4986062.0,5093611.0
6,980,807,hulkenberg,4,6,1,Finished,117591,232095,343712.0,455798.0,567658.0,679468.0,791423.0,903754.0,1016053.0,1128521.0,1244969.0,1371055.0,1482082.0,1593446.0,1704626.0,1815597.0,1926336.0,2037343.0,2148482.0,2259544.0,2370406.0,2481765.0,2592710.0,2703632.0,2815281.0,2926141.0,3036941.0,3147865.0,3269774.0,3430746.0,3546724.0,3720646.0,3908806.0,4019035.0,4128203.0,4237223.0,4346340.0,4455508.0,4564430.0,4673632.0,4782872.0,4892013.0,5001238.0,5110907.0
1,980,4,alonso,1,18,5,Engine,117694,231578,345511.0,460189.0,574505.0,688500.0,801631.0,915131.0,1028538.0,1146373.0,1272878.0,1384598.0,1496337.0,1608686.0,1722233.0,1834821.0,1947521.0,2060250.0,2172775.0,2284989.0,2397325.0,2509615.0,2621855.0,2736074.0,2870744.0,,,,,,,,,,,,,,,,,,,
18,980,839,ocon,10,9,1,Finished,118397,232855,346415.0,458911.0,571250.0,683356.0,795726.0,908381.0,1021639.0,1138849.0,1264277.0,1375641.0,1486694.0,1597904.0,1709608.0,1820658.0,1931778.0,2042952.0,2155051.0,2266828.0,2378040.0,2489377.0,2600428.0,2711642.0,2822583.0,2933839.0,3049535.0,3174003.0,3307358.0,3476205.0,3589066.0,3725167.0,3910601.0,4021400.0,4131355.0,4241340.0,4351061.0,4460911.0,4570871.0,4680734.0,4790705.0,4900902.0,5010905.0,5120974.0
10,980,825,kevin_magnussen,210,15,1,Finished,118970,233777,348361.0,463439.0,576675.0,690109.0,803259.0,917030.0,1034901.0,1159541.0,1270890.0,1382503.0,1494581.0,1606706.0,1719237.0,1831088.0,1943434.0,2055866.0,2167578.0,2279276.0,2391243.0,2502587.0,2613580.0,2724844.0,2835881.0,2947059.0,3058418.0,3169738.0,3294865.0,3452638.0,3586938.0,3724179.0,3910589.0,4034181.0,4158667.0,4267793.0,4377046.0,4487147.0,4597530.0,4707857.0,4818059.0,4928500.0,5039517.0,5150082.0
