,0,1,2
0,1,131,1:42.553
1,20,6,1:42.795
2,822,131,1:43.094
3,8,6,1:43.270
4,830,9,1:43.380
5,817,9,1:43.863
6,807,4,1:44.982
7,815,10,1:44.894
8,839,10,1:45.006
9,835,4,1:44.685
10,4,1,1:45.090
11,154,210,1:45.133
12,825,210,1:45.400
13,832,5,1:45.374
14,838,1,1:45.441
15,13,3,1:45.823
16,826,5,1:46.028
17,840,3,1:46.915
18,828,15,1:47.214
19,836,15,1:47.679
