,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
15,168,57,hakkinen,1,2,1,Finished,112046,218547,324953,431073,536664,642301,747809,853289,958969,1064178,1169553,1275071,1380405.0,1485653.0,1590594.0,1695398.0,1800320.0,1905303.0,2010458.0,2115676.0,2220506.0,2325331.0,2430029.0,2535258.0,2640105.0,2748064.0,2925951.0,3114865.0,3220952.0,3326590.0,3501560.0,3608001.0,3713908.0,3822366.0,3940325.0,4075522.0,4191186.0,4309840.0,4430430.0,4549000.0,4667310.0,4785299.0,4905388.0,5022855.0,5141870.0
1,168,14,coulthard,1,3,1,Finished,112608,219314,325664,431755,537707,643353,748916,854668,960411,1065816,1171236,1276463,1381607.0,1486918.0,1592193.0,1697338.0,1802293.0,1906953.0,2012063.0,2117150.0,2222245.0,2327034.0,2431764.0,2536343.0,2642031.0,2747358.0,2922847.0,3117956.0,3225586.0,3332274.0,3504368.0,3611552.0,3718700.0,3828042.0,3946189.0,4065396.0,4184393.0,4308283.0,4446340.0,4564370.0,4682337.0,4800570.0,4918622.0,5037231.0,5155586.0
2,168,15,trulli,17,9,1,Finished,113754,220715,327036,433504,540182,646443,752732,858968,965402,1071821,1178243,1284983,1391807.0,1499172.0,1606903.0,1713254.0,1819939.0,1926292.0,2032657.0,2139036.0,2245215.0,2351734.0,2457676.0,2563531.0,2672493.0,2800753.0,2927404.0,3116209.0,3223712.0,3329466.0,3502640.0,3609414.0,3716013.0,3825516.0,3944975.0,4082106.0,4204036.0,4348016.0,4468533.0,4588470.0,4710613.0,4830007.0,4948540.0,5066781.0,5185319.0
8,168,37,rosa,21,6,1,Finished,114580,221611,328151,434829,541477,648122,754569,860970,967456,1074367,1181107,1288506,1394937.0,1501444.0,1608371.0,1715039.0,1821771.0,1928137.0,2034896.0,2141145.0,2247388.0,2354045.0,2460719.0,2567387.0,2677312.0,2806004.0,2928143.0,3116928.0,3224643.0,3331155.0,3503551.0,3610708.0,3717622.0,3827384.0,3947259.0,4084282.0,4203907.0,4332692.0,4452696.0,4572275.0,4691982.0,4809699.0,4927252.0,5045020.0,5163498.0
14,168,56,irvine,19,10,1,Finished,115531,225403,333879,441669,549804,657647,765491,873638,982390,1090647,1198890,1307171,1414964.0,1522670.0,1630927.0,1738924.0,1846997.0,1954567.0,2062589.0,2170810.0,2279108.0,2388250.0,2496599.0,2608566.0,2737547.0,2849697.0,2961094.0,3122019.0,3231520.0,3340673.0,3508018.0,3617639.0,3725542.0,3857557.0,3994544.0,4134827.0,4255388.0,4376954.0,4496735.0,4616849.0,4736249.0,4856126.0,4973949.0,5093388.0,5214082.0
19,168,65,herbert,19,20,6,Gearbox,115955,224035,331665,439290,546974,656030,764167,871955,979287,1086939,1195850,1306365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,168,50,verstappen,21,14,20,Spun off,116666,224882,332463,439955,548148,656644,764699,872783,980758,1089782,1197657,1305172,1412688.0,1520491.0,1628506.0,1736679.0,1844880.0,1952398.0,2061359.0,2169628.0,2277408.0,2385441.0,2496708.0,2629616.0,2736772.0,2844532.0,2953675.0,3119798.0,3228687.0,3343440.0,3508519.0,3617120.0,3724914.0,3835935.0,3958131.0,4096753.0,4215484.0,4334596.0,4454696.0,,,,,,
7,168,35,villeneuve,16,8,1,Finished,116975,226471,334719,442533,550526,658111,766096,875004,983360,1091305,1199268,1307583,1415876.0,1523664.0,1631391.0,1739259.0,1847518.0,1955267.0,2063245.0,2171273.0,2279518.0,2387349.0,2494768.0,2601142.0,2710742.0,2839863.0,2948177.0,3118984.0,3226718.0,3333355.0,3504758.0,3612376.0,3719658.0,3829844.0,3966533.0,4103426.0,4221272.0,4340666.0,4462306.0,4582409.0,4701581.0,4822554.0,4942615.0,5061301.0,5181955.0
9,168,41,zonta,16,15,20,Spun off,117442,227058,335453,443758,551882,659952,768416,876625,984996,1093118,1203865,1311705,1419531.0,1527328.0,1635152.0,1742893.0,1850476.0,1958001.0,2066017.0,2175274.0,2282811.0,2390156.0,2497429.0,2604978.0,2712356.0,2822258.0,2951660.0,3119448.0,3227804.0,3337251.0,3505266.0,3613094.0,3720342.0,3829947.0,3949494.0,4068331.0,4187645.0,,,,,,,,
4,168,22,barrichello,6,1,1,Finished,117693,225706,332780,440115,547296,653590,758921,863927,969218,1074780,1181417,1286893,1392514.0,1499571.0,1604638.0,1709276.0,1816811.0,1940236.0,2045060.0,2149360.0,2253765.0,2358193.0,2463081.0,2568084.0,2674259.0,2782099.0,2927830.0,3116524.0,3224089.0,3330411.0,3503000.0,3609967.0,3716641.0,3826438.0,3942564.0,4061267.0,4179149.0,4299020.0,4420334.0,4539129.0,4657728.0,4775673.0,4893170.0,5011340.0,5134418.0
