,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,hakkinen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,4,2,2,2,2,2,2,2
1,coulthard,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,6,6,6,6,5,4,2,2,2,5,3,3,3,3,3,3
2,trulli,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,5,3,2,2,2,2,2,2,2,3,7,7,11,11,9,9,9,9,9,9
3,rosa,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,5,6,5,4,4,4,4,4,4,4,6,8,6,7,7,6,6,6,6,6,6
4,irvine,5,7,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,9,8,11,16,15,15,15,15,13,13,13,13,13,14,14,14,13,13,11,10,10,10,10,10
5,herbert,6,5,5,5,5,6,6,6,6,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,verstappen,7,6,6,6,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,9,17,15,12,11,10,10,14,14,12,12,11,10,11,11,8,8,0,0,0,0,0,0
7,villeneuve,8,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,7,7,7,11,9,8,7,7,7,7,7,7,12,12,12,10,10,8,8,8,8,8,8
8,zonta,9,10,10,10,10,10,11,11,11,11,12,12,11,11,11,11,11,11,11,11,11,10,10,8,8,7,10,9,9,8,8,8,8,8,7,4,4,0,0,0,0,0,0,0,0
9,barrichello,10,8,7,7,6,5,5,5,5,5,5,4,4,4,3,3,3,6,5,5,5,5,5,5,4,3,4,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
10,ralf_schumacher,11,11,11,11,11,12,12,12,12,12,11,11,10,10,10,10,10,10,10,10,10,17,17,16,14,10,8,7,8,16,16,15,14,12,9,6,10,9,9,7,7,7,7,7,7
11,wurz,12,12,12,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,9,9,14,13,12,12,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,heidfeld,13,13,13,14,14,14,14,14,14,14,14,16,15,15,15,15,15,15,15,15,14,13,13,13,18,17,17,17,18,15,15,14,15,14,13,13,13,12,12,10,0,0,0,0,0
13,salo,14,14,15,15,15,15,15,15,15,15,16,15,14,14,14,13,13,13,13,13,13,12,12,10,10,13,12,11,11,10,9,9,9,9,8,10,9,5,4,4,4,4,5,5,5
14,diniz,15,16,16,16,16,16,16,16,16,16,15,14,13,13,13,14,14,14,14,14,15,18,18,18,17,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,frentzen,16,15,14,13,13,11,10,9,8,7,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,4,6,5,5,5,5,5,5,6,5,3,3,3,3,0,0,0,0,0,0
16,gene,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,14,14,12,11,9,14,14,14,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0
17,alesi,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,15,15,14,13,18,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,button,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,16,16,15,12,8,7,13,13,11,11,10,10,10,11,9,8,6,6,5,5,5,4,4,4
