,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
2,991.0,4.0,alonso,7.0,1.0,Finished,108139.0,210753.0,311634.0,413082.0,514494.0,615320.0,716004.0,816990.0,918214.0,1018587.0,1119410.0,1220766.0,1321416.0,1422079.0,1522552.0,1623721.0,1724118.0,1824398.0,1924369.0,2024471.0,2124618.0,2224867.0,2324848.0,2424879.0,2524817.0,2624539.0,2724478.0,2824737.0,2930088.0,3048293.0,3174602.0,3309664.0,3423924.0,3560912.0,3704422.0,3804624.0,3903807.0,4002443.0,4100404.0,4198811.0,4297354.0,4396544.0,4494759.0,4593407.0,4691767.0,4789874.0,4888573.0,4986230.0,5084070.0,5181456.0,5278904.0,5376318.0,5474144.0,5572334.0,5669785.0,5767019.0
16,991.0,840.0,stroll,14.0,1.0,Finished,108995.0,211466.0,312682.0,414363.0,515987.0,618135.0,719694.0,820934.0,922459.0,1023311.0,1124806.0,1225988.0,1326737.0,1427541.0,1528829.0,1629997.0,1731314.0,1832241.0,1932788.0,2033460.0,2134093.0,2235173.0,2340742.0,2458783.0,2559303.0,2659228.0,2759510.0,2858916.0,2958401.0,3058472.0,3189124.0,3323128.0,3432299.0,3565730.0,3706042.0,3808881.0,3909964.0,4010097.0,4109290.0,4208648.0,4307573.0,4407164.0,4506115.0,4605286.0,4704608.0,4803895.0,4902925.0,5001471.0,5100439.0,5199104.0,5297916.0,5396492.0,5495349.0,5593849.0,5692594.0,5791870.0
15,991.0,839.0,ocon,11.0,1.0,Finished,109720.0,212005.0,313558.0,414886.0,516419.0,616986.0,717472.0,818313.0,919238.0,1019776.0,1124653.0,1241885.0,1341596.0,1441671.0,1541919.0,1642644.0,1743310.0,1843640.0,1944671.0,2044333.0,2143978.0,2243616.0,2343407.0,2444046.0,2544456.0,2643831.0,2743165.0,2842689.0,2942283.0,3041990.0,3170016.0,3319633.0,3430586.0,3564758.0,3705438.0,3806704.0,3906975.0,4006354.0,4105781.0,4204529.0,4303312.0,4402052.0,4500710.0,4599308.0,4698129.0,4796164.0,4894149.0,4992164.0,5090404.0,5188482.0,5286741.0,5386181.0,5485115.0,5583285.0,5681667.0,5780430.0
7,991.0,815.0,perez,12.0,1.0,Finished,110081.0,212584.0,314544.0,415847.0,517198.0,618837.0,720308.0,821744.0,923429.0,1024348.0,1126082.0,1231637.0,1348349.0,1447353.0,1546613.0,1646839.0,1746852.0,1846741.0,1947039.0,2047434.0,2147640.0,2246977.0,2346342.0,2445859.0,2546514.0,2646114.0,2745611.0,2845649.0,2945231.0,3045168.0,3170591.0,3310270.0,3434013.0,3566591.0,3706325.0,3807535.0,3907597.0,4006884.0,4106181.0,4205131.0,4303713.0,4402548.0,4501266.0,4599931.0,4698945.0,4796827.0,4894716.0,4993051.0,5091093.0,5189032.0,5287392.0,5385515.0,5483745.0,5581418.0,5679512.0,5781105.0
20,991.0,845.0,sirotkin,15.0,1.0,Finished,110776.0,213552.0,315679.0,418625.0,521112.0,622555.0,723809.0,825222.0,926599.0,1027554.0,1128935.0,1230164.0,1331110.0,1432249.0,1533577.0,1634877.0,1737142.0,1838023.0,1938868.0,2040260.0,2141269.0,2241926.0,2342662.0,2443623.0,2546258.0,2647991.0,2748921.0,2854408.0,2975011.0,3074268.0,3209921.0,3344639.0,3453477.0,3575309.0,3707672.0,3810090.0,3911486.0,4011968.0,4111705.0,4211333.0,4310626.0,4409631.0,4508956.0,4608165.0,4707282.0,4806322.0,4904946.0,5003619.0,5102727.0,5201368.0,5300146.0,5398778.0,5497774.0,5596490.0,5695652.0,5794621.0
14,991.0,838.0,vandoorne,13.0,1.0,Finished,111030.0,214000.0,316165.0,418943.0,519620.0,621017.0,721950.0,822736.0,924215.0,1025558.0,1126792.0,1228055.0,1328912.0,1430045.0,1531146.0,1632065.0,1732901.0,1833303.0,1933567.0,2034210.0,2135616.0,2241011.0,2359358.0,2458231.0,2557800.0,2657495.0,2757136.0,2856620.0,2956017.0,3055780.0,3184730.0,3318389.0,3429322.0,3563759.0,3705368.0,3808433.0,3908845.0,4008417.0,4107781.0,4207174.0,4306190.0,4405066.0,4503861.0,4602471.0,4701373.0,4800717.0,4899551.0,4998421.0,5097004.0,5195283.0,5293776.0,5392166.0,5490556.0,5588693.0,5687072.0,5785753.0
18,991.0,843.0,brendon_hartley,20.0,130.0,Collision damage,111539.0,215515.0,318124.0,421441.0,523657.0,625933.0,728119.0,829881.0,931507.0,1038270.0,1156897.0,1256792.0,1357382.0,1457936.0,1558473.0,1659166.0,1759847.0,1860676.0,1961532.0,2061757.0,2162201.0,2262377.0,2362771.0,2462658.0,2562717.0,2662837.0,2762873.0,2863585.0,2978304.0,3094130.0,3251715.0,3409868.0,3517564.0,3618177.0,3718707.0,3818843.0,3919251.0,4019521.0,4119686.0,4219856.0,4319737.0,4419695.0,4519501.0,4619546.0,4719716.0,4819570.0,4919541.0,5019429.0,5120215.0,5219591.0,5325258.0,,,,,
19,991.0,844.0,leclerc,19.0,1.0,Finished,111646.0,214818.0,317361.0,419573.0,521674.0,623690.0,725377.0,827153.0,928766.0,1030316.0,1132174.0,1233457.0,1334774.0,1436777.0,1538360.0,1640390.0,1741888.0,1843168.0,1944578.0,2047009.0,2154289.0,2273008.0,2371816.0,2471141.0,2570822.0,2670573.0,2770386.0,2879270.0,2980173.0,3087353.0,3247303.0,3404804.0,3515629.0,3616401.0,3716830.0,3817214.0,3917630.0,4018285.0,4118294.0,4219181.0,4319227.0,4419070.0,4518936.0,4619047.0,4718796.0,4818722.0,4918748.0,5018376.0,5119175.0,5219157.0,5319009.0,5419037.0,5518896.0,5618781.0,5718705.0,5818955.0
17,991.0,842.0,gasly,18.0,1.0,Finished,112141.0,216132.0,318687.0,420945.0,522478.0,624209.0,726116.0,827696.0,929600.0,1031213.0,1132719.0,1234260.0,1335438.0,1437594.0,1540014.0,1642060.0,1743926.0,1845621.0,1947785.0,2054651.0,2172946.0,2271467.0,2370171.0,2468870.0,2567785.0,2666742.0,2765756.0,2865216.0,2968795.0,3069544.0,3206930.0,3369769.0,3470861.0,3570339.0,3706731.0,3809192.0,3910823.0,4011048.0,4110146.0,4209431.0,4308533.0,4407761.0,4506918.0,4606278.0,4705267.0,4804466.0,4903681.0,5002219.0,5101037.0,5199778.0,5299201.0,5397648.0,5496663.0,5595030.0,5693794.0,5792710.0
11,991.0,828.0,ericsson,16.0,1.0,Finished,112842.0,216805.0,320389.0,422599.0,524614.0,626828.0,729022.0,831040.0,932803.0,1034475.0,1135946.0,1237496.0,1339671.0,1442334.0,1544377.0,1646444.0,1749170.0,1850477.0,1951727.0,2052799.0,2154010.0,2254694.0,2355180.0,2455824.0,2556749.0,2658424.0,2760402.0,2861977.0,2968190.0,3094178.0,3249023.0,3406374.0,3516417.0,3617352.0,3717691.0,3817844.0,3918090.0,4018986.0,4118874.0,4218556.0,4317247.0,4416118.0,4515102.0,4614443.0,4713467.0,4812172.0,4910895.0,5009469.0,5108243.0,5206678.0,5305374.0,5403760.0,5502295.0,5600846.0,5699772.0,5798984.0
