,0,1,2
0,20,6,1:31.095
1,8,6,1:31.182
2,822,131,1:31.625
3,1,131,1:31.675
4,830,9,1:31.796
5,817,9,1:31.948
6,807,4,1:32.494
7,815,10,1:32.758
8,832,4,1:32.819
9,154,210,1:32.524
10,825,210,1:32.986
11,839,10,1:33.057
12,4,1,1:33.232
13,838,1,1:33.505
14,843,5,1:33.795
15,845,3,1:34.062
16,842,5,1:34.101
17,840,3,1:34.285
18,844,15,1:34.454
19,828,15,1:34.914
