,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
16,7.0,18.0,button,1.0,1.0,Finished,92395.0,181759.0,270914.0,359608.0,448140.0,536682.0,625172.0,713300.0,801696.0,890014.0,978237.0,1066036.0,1153926.0,1242103.0,1329881.0,1417719.0,1505986.0,1617411.0,1706422.0,1795038.0,1883938.0,1972643.0,2061362.0,2150033.0,2238777.0,2327309.0,2415788.0,2503972.0,2592094.0,2680227.0,2768194.0,2856046.0,2944093.0,3032177.0,3120338.0,3208319.0,3297054.0,3385116.0,3473056.0,3560635.0,3648454.0,3736305.0,3824562.0,3933258.0,4021806.0,4110407.0,4198963.0,4287061.0,4375290.0,4463486.0,4552621.0,4641582.0,4730828.0,4820200.0,4910538.0,5000988.0,5091625.0,5184848.0
17,7.0,20.0,vettel,3.0,1.0,Finished,92916.0,183160.0,272652.0,361877.0,450699.0,539651.0,628291.0,716684.0,805438.0,894236.0,982905.0,1071274.0,1159625.0,1247772.0,1336150.0,1444991.0,1533498.0,1621859.0,1710145.0,1798324.0,1886380.0,1974292.0,2062465.0,2150667.0,2239051.0,2327847.0,2416223.0,2504610.0,2593004.0,2703529.0,2791906.0,2880725.0,2969195.0,3058825.0,3147208.0,3235618.0,3324003.0,3412435.0,3500884.0,3589184.0,3677460.0,3765335.0,3853218.0,3941297.0,4029133.0,4117130.0,4204998.0,4293059.0,4399655.0,4487824.0,4575446.0,4663843.0,4751636.0,4839807.0,4927743.0,5015442.0,5103766.0,5192309.0
15,7.0,17.0,webber,2.0,1.0,Finished,95454.0,185488.0,275210.0,364565.0,453961.0,543645.0,632767.0,721697.0,810493.0,899277.0,987890.0,1076210.0,1164743.0,1253368.0,1341427.0,1429420.0,1517491.0,1605564.0,1717593.0,1806815.0,1895872.0,1985062.0,2074251.0,2163065.0,2252312.0,2341086.0,2430104.0,2518559.0,2607259.0,2696050.0,2784505.0,2872961.0,2961510.0,3050172.0,3138705.0,3227209.0,3315613.0,3403936.0,3492216.0,3580049.0,3667942.0,3755751.0,3843567.0,3952396.0,4040997.0,4129751.0,4218491.0,4306974.0,4395882.0,4484401.0,4572888.0,4661371.0,4749879.0,4838010.0,4926095.0,5014183.0,5102513.0,5191562.0
13,7.0,15.0,trulli,4.0,1.0,Finished,96474.0,187172.0,277357.0,366990.0,456602.0,545973.0,635292.0,724402.0,813668.0,902586.0,991571.0,1080510.0,1169272.0,1258031.0,1346840.0,1435718.0,1548555.0,1638642.0,1728780.0,1818690.0,1908575.0,1998183.0,2087888.0,2177394.0,2267727.0,2357374.0,2446415.0,2535421.0,2624126.0,2713063.0,2801838.0,2890657.0,2979613.0,3068293.0,3156654.0,3245008.0,3333315.0,3421572.0,3509883.0,3597751.0,3685696.0,3773964.0,3862687.0,3970986.0,4059657.0,4148411.0,4236851.0,4325229.0,4413838.0,4502513.0,4590989.0,4679327.0,4767472.0,4855671.0,4943958.0,5032690.0,5121922.0,5212691.0
3,7.0,3.0,rosberg,5.0,1.0,Finished,96847.0,188558.0,279245.0,369309.0,458732.0,548331.0,637646.0,726799.0,816195.0,905155.0,994017.0,1082992.0,1172077.0,1260987.0,1349437.0,1438100.0,1526601.0,1615272.0,1727328.0,1817053.0,1906796.0,1996194.0,2086023.0,2175387.0,2264522.0,2353794.0,2442599.0,2531609.0,2620622.0,2709512.0,2798307.0,2887037.0,2975676.0,3064451.0,3153117.0,3241339.0,3329595.0,3417907.0,3506414.0,3594977.0,3705189.0,3794204.0,3882794.0,3972018.0,4061233.0,4150356.0,4239408.0,4328104.0,4416823.0,4505791.0,4594486.0,4683294.0,4771749.0,4860547.0,4949282.0,5038096.0,5126940.0,5216387.0
12,7.0,13.0,massa,6.0,1.0,Finished,97388.0,189138.0,279942.0,370591.0,460257.0,549866.0,639337.0,728478.0,817754.0,907001.0,996292.0,1085284.0,1174207.0,1263105.0,1351585.0,1440303.0,1529352.0,1642551.0,1733078.0,1823540.0,1913887.0,2003705.0,2093558.0,2183408.0,2273030.0,2362585.0,2451854.0,2541306.0,2630208.0,2719269.0,2808053.0,2897361.0,2986219.0,3075090.0,3163564.0,3251893.0,3340566.0,3429193.0,3517549.0,3605936.0,3694112.0,3782530.0,3892286.0,3981527.0,4070346.0,4159424.0,4248296.0,4337184.0,4426176.0,4515003.0,4603725.0,4692587.0,4781127.0,4869894.0,4958899.0,5047308.0,5136041.0,5224844.0
4,7.0,4.0,alonso,10.0,1.0,Finished,98107.0,190378.0,281115.0,371532.0,461493.0,551734.0,641397.0,730860.0,820374.0,909710.0,998632.0,1087522.0,1176440.0,1265713.0,1378048.0,1468483.0,1558713.0,1648728.0,1738550.0,1828561.0,1918652.0,2008723.0,2098856.0,2189110.0,2278961.0,2368854.0,2458660.0,2548258.0,2638487.0,2727981.0,2817606.0,2907262.0,2996446.0,3085951.0,3174976.0,3263919.0,3352763.0,3441601.0,3530241.0,3639880.0,3728652.0,3818360.0,3907042.0,3996048.0,4085104.0,4174597.0,4264536.0,4354215.0,4444266.0,4533691.0,4623079.0,4712387.0,4801561.0,4890865.0,4980027.0,5068622.0,5157011.0,5247268.0
9,7.0,9.0,kubica,7.0,1.0,Finished,98415.0,190790.0,282057.0,372710.0,462705.0,552921.0,643061.0,732970.0,823130.0,912750.0,1002276.0,1091532.0,1180980.0,1270355.0,1359471.0,1448851.0,1538116.0,1627143.0,1716087.0,1805263.0,1917837.0,2008030.0,2098228.0,2188188.0,2277903.0,2367789.0,2457780.0,2547614.0,2637157.0,2726735.0,2816267.0,2905719.0,2995156.0,3084492.0,3173568.0,3262408.0,3351292.0,3440034.0,3528752.0,3617320.0,3706269.0,3795242.0,3884106.0,3973360.0,4081455.0,4169865.0,4258355.0,4347186.0,4435975.0,4524522.0,4613051.0,4701499.0,4789833.0,4878141.0,4966545.0,5054765.0,5143087.0,5231095.0
8,7.0,8.0,raikkonen,9.0,1.0,Finished,99045.0,191299.0,282732.0,373479.0,463509.0,553889.0,644039.0,733737.0,823657.0,913332.0,1003646.0,1093280.0,1182956.0,1272014.0,1360972.0,1449803.0,1538952.0,1628588.0,1743226.0,1833566.0,1924699.0,2015939.0,2106467.0,2196445.0,2286284.0,2376096.0,2465797.0,2555534.0,2644885.0,2734128.0,2823280.0,2912256.0,3001349.0,3090230.0,3179019.0,3267623.0,3356304.0,3445147.0,3533440.0,3621979.0,3710692.0,3798890.0,3887101.0,3975798.0,4084075.0,4172965.0,4261736.0,4350234.0,4439317.0,4528855.0,4617082.0,4705804.0,4794236.0,4882320.0,4970688.0,5058957.0,5147033.0,5235094.0
6,7.0,6.0,nakajima,12.0,1.0,Finished,99575.0,192094.0,283701.0,374919.0,465458.0,556020.0,646401.0,736460.0,826536.0,916556.0,1006349.0,1096377.0,1186319.0,1276266.0,1365915.0,1455898.0,1545403.0,1634693.0,1723852.0,1813003.0,1902047.0,1991133.0,2080183.0,2168860.0,2257380.0,2346208.0,2456272.0,2545980.0,2635246.0,2724582.0,2813834.0,2903015.0,2992056.0,3081201.0,3170315.0,3259043.0,3347820.0,3436534.0,3525215.0,3614077.0,3702811.0,3791379.0,3880117.0,4009036.0,4098363.0,4187723.0,4277030.0,4366266.0,4455227.0,4544050.0,4633056.0,4721834.0,4810206.0,4898740.0,4987012.0,5075167.0,5163236.0,5251224.0
