,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,perez,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
3,ocon,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
4,max_verstappen,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,grosjean,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,10,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,kevin_magnussen,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,gasly,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,ericsson,9,9,9,9,10,10,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,9,8,9,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
9,sirotkin,10,10,10,10,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,0
10,stroll,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,0
11,ricciardo,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,brendon_hartley,13,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,12,11,11,10,10,11,11,13,14,14,14,14,14,14,14,14,14,14,14,14,0
13,sainz,14,13,13,13,13,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,14,14,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,0
14,bottas,15,14,15,15,14,14,13,13,12,12,11,10,10,10,10,10,9,8,8,8,8,7,6,6,5,4,4,4,4,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4
15,vandoorne,16,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
