,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
14,1041.0,841.0,giovinazzi,10.0,1.0,Finished,102829.0,199029.0,294111.0,388571.0,483190.0,577766.0,672430.0,767113.0,861779.0,956304.0,1051360.0,1146481.0,1241785.0,1338223.0,1437246.0,1565048.0,1659928.0,1753178.0,1846059.0,1938897.0,2031840.0,2124700.0,2217562.0,2310456.0,2403205.0,2496211.0,2588930.0,2681978.0,2775399.0,2868952.0,2962089.0,3057194.0,3150739.0,3246387.0,3339664.0,3435957.0,3548477.0,3639386.0,3730627.0,3821691.0,3912974.0,4004342.0,4095858.0,4212111.0,4333354.0,4470113.0,4569450.0,4662007.0,4775809.0,4870295.0,4963099.0,5055487.0,5147504.0,5239305.0,5331006.0,5422784.0,5514563.0,5606107.0,5697796.0,5789676.0
3,1041.0,20.0,vettel,11.0,1.0,Finished,103478.0,199997.0,295147.0,389622.0,483752.0,578426.0,672982.0,767867.0,862395.0,956792.0,1061869.0,1177538.0,1270282.0,1362888.0,1459695.0,1566923.0,1661106.0,1754521.0,1847574.0,1940415.0,2033420.0,2126343.0,2219289.0,2312022.0,2404846.0,2497729.0,2590548.0,2683667.0,2776881.0,2870282.0,2965062.0,3058169.0,3153188.0,3247201.0,3340547.0,3433770.0,3526168.0,3618992.0,3713377.0,3807986.0,3905652.0,4018179.0,4108587.0,4228261.0,4349659.0,4476098.0,4574011.0,4670362.0,4777307.0,4872550.0,4965815.0,5058693.0,5149666.0,5240799.0,5332892.0,5424248.0,5515691.0,5606861.0,5698568.0,5790451.0
15,1041.0,842.0,gasly,6.0,1.0,Finished,103776.0,201687.0,297177.0,391672.0,485839.0,580232.0,674565.0,769282.0,864001.0,958818.0,1054370.0,1148067.0,1242227.0,1335459.0,1429103.0,1542795.0,1637811.0,1732135.0,1826264.0,1919770.0,2013181.0,2107233.0,2200870.0,2294121.0,2387462.0,2480945.0,2574594.0,2670029.0,2765445.0,2862843.0,2976949.0,3068681.0,3159934.0,3251772.0,3343228.0,3437314.0,3529505.0,3622166.0,3713884.0,3805718.0,3896896.0,3988184.0,4079700.0,4191911.0,4328461.0,4467651.0,4563547.0,4657522.0,4775005.0,4867547.0,4958358.0,5048880.0,5138990.0,5229245.0,5319752.0,5410472.0,5501189.0,5591717.0,5681993.0,5772407.0
9,1041.0,825.0,kevin_magnussen,13.0,1.0,Finished,104391.0,200900.0,296029.0,390743.0,485156.0,579814.0,674247.0,768848.0,863593.0,958418.0,1055335.0,1150325.0,1247238.0,1345093.0,1463923.0,1572640.0,1666910.0,1760608.0,1854270.0,1947354.0,2040327.0,2133303.0,2226220.0,2319094.0,2411852.0,2504603.0,2597651.0,2692291.0,2785483.0,2880838.0,2973788.0,3066652.0,3159818.0,3257972.0,3371157.0,3461804.0,3552260.0,3643010.0,3733863.0,3824875.0,3916261.0,4007624.0,4099320.0,4217320.0,4338657.0,4472435.0,4570868.0,4667221.0,4776532.0,4871207.0,4964048.0,5056264.0,5148421.0,5240474.0,5335271.0,5428460.0,5520859.0,5614472.0,5706731.0,5799226.0
10,1041.0,826.0,kvyat,15.0,1.0,Finished,104911.0,202305.0,297738.0,392532.0,486778.0,581590.0,675782.0,770285.0,864789.0,959682.0,1055787.0,1150703.0,1244889.0,1339122.0,1434433.0,1550119.0,1672697.0,1800191.0,1893525.0,1986488.0,2079540.0,2172301.0,2265018.0,2357916.0,2450444.0,2543012.0,2635318.0,2727918.0,2820391.0,2913038.0,3005469.0,3097889.0,3190398.0,3283999.0,3377102.0,3469645.0,3562283.0,3654619.0,3747394.0,3839760.0,3931974.0,4024659.0,4118286.0,4243174.0,4376874.0,4479882.0,4577494.0,4674392.0,4778394.0,4873502.0,4966847.0,5059788.0,5153374.0,5245741.0,5339514.0,5432244.0,5526417.0,5618991.0,5711641.0,5805229.0
18,1041.0,847.0,russell,20.0,4.0,Collision,105296.0,202993.0,298477.0,393823.0,488533.0,583059.0,677759.0,772688.0,867618.0,962826.0,1062369.0,1177453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1041.0,807.0,hulkenberg,8.0,1.0,Finished,106054.0,203788.0,299244.0,394616.0,489466.0,583902.0,678720.0,773424.0,868729.0,964204.0,1059457.0,1153119.0,1248615.0,1343130.0,1437069.0,1549047.0,1643100.0,1737426.0,1831214.0,1925808.0,2019516.0,2113369.0,2206973.0,2300119.0,2393642.0,2487377.0,2581088.0,2674706.0,2771631.0,2884280.0,2978342.0,3069535.0,3161812.0,3253641.0,3345771.0,3438337.0,3530733.0,3623319.0,3715541.0,3808312.0,3900029.0,3991958.0,4083557.0,4196305.0,4331049.0,4468461.0,4564483.0,4658298.0,4775231.0,4868294.0,4960507.0,5051736.0,5142915.0,5234256.0,5325683.0,5416861.0,5508057.0,5598790.0,5689842.0,5782237.0
20,1041.0,849.0,latifi,14.0,1.0,Finished,106420.0,204285.0,299800.0,395225.0,490371.0,585326.0,680169.0,774716.0,870893.0,965785.0,1060599.0,1155808.0,1250740.0,1348483.0,1469159.0,1575309.0,1669092.0,1762115.0,1855508.0,1948619.0,2041936.0,2135058.0,2227939.0,2320838.0,2413748.0,2506764.0,2601507.0,2696361.0,2789747.0,2883263.0,2978010.0,3072059.0,3169439.0,3281626.0,3373120.0,3464611.0,3556131.0,3647675.0,3739052.0,3830587.0,3921969.0,4013982.0,4105960.0,4226321.0,4347131.0,4473276.0,4572663.0,4669464.0,4776879.0,4872025.0,4965203.0,5058202.0,5152731.0,5245126.0,5338963.0,5431748.0,5525847.0,5618366.0,5711165.0,5804090.0
2,1041.0,8.0,raikkonen,12.0,1.0,Finished,106800.0,204737.0,300678.0,395983.0,490816.0,586010.0,681038.0,775810.0,871571.0,969948.0,1082883.0,1177879.0,1271520.0,1363681.0,1460851.0,1567522.0,1663737.0,1756647.0,1849295.0,1942063.0,2034926.0,2127577.0,2220223.0,2312810.0,2405536.0,2498397.0,2591369.0,2684486.0,2777611.0,2871037.0,2965815.0,3058934.0,3153631.0,3247579.0,3341465.0,3434626.0,3527620.0,3623080.0,3717596.0,3810410.0,3903289.0,3996072.0,4088950.0,4204820.0,4352016.0,4477740.0,4576247.0,4673060.0,4777698.0,4873013.0,4966387.0,5059067.0,5151618.0,5242130.0,5333950.0,5424925.0,5516371.0,5607598.0,5698997.0,5791117.0
4,1041.0,154.0,grosjean,9.0,1.0,Finished,107376.0,205351.0,301364.0,396889.0,491523.0,586465.0,681703.0,776853.0,871877.0,967716.0,1062801.0,1156905.0,1252037.0,1347406.0,1441540.0,1553436.0,1648559.0,1742785.0,1836388.0,1929916.0,2023371.0,2116995.0,2210639.0,2303955.0,2397407.0,2491278.0,2584970.0,2682203.0,2796355.0,2887924.0,2979761.0,3072455.0,3164483.0,3256481.0,3348696.0,3441510.0,3533592.0,3626234.0,3718828.0,3811201.0,3904043.0,3997320.0,4089867.0,4205340.0,4326756.0,4466491.0,4562144.0,4655872.0,4774886.0,4869636.0,4962430.0,5054262.0,5146396.0,5237958.0,5329638.0,5421353.0,5513344.0,5604962.0,5696626.0,5788722.0
