,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
10,130,21,fisichella,17,5,11,+1 Lap,8481,11151,13273,15305,16090,15786,14702,12591,10768,10457,11579,12740,13397,14420,14901,16475.0,16755.0,17636.0,24941.0,28938.0,32282.0,33115.0,37423.0,37752.0,38993.0,39418.0,39543.0,39738.0,39422.0,40340.0,40185.0,40546.0,41016.0,41420.0,42015.0,42332.0,42202.0,42172.0,42378.0,43468.0,42029.0,41942.0,42807.0,44000.0,43998.0,45604.0,47310.0,47239.0,48784.0,50146.0,30882.0,54860.0,61798.0,62184.0,62460.0,63968.0,63528.0,64188.0,64855.0,65655.0,66192.0,66581.0,67205.0,68102.0,68670.0,69849.0,72742.0,72956.0,73009.0,71420.0,72511.0,72232.0,73538.0,76870.0,79628.0,84056.0,86718.0,
11,130,11,sato,17,21,20,Spun off,9144,11872,14658,16628,17418,17676,17638,16069,15139,14716,15012,15712,17178,18176,19216,20438.0,20753.0,21696.0,24458.0,28493.0,30697.0,32745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,130,13,massa,15,14,3,Accident,10118,12509,15657,17718,18830,19391,18688,17135,16343,16069,16498,17220,18366,19456,20126,21628.0,22360.0,24235.0,26232.0,30162.0,36177.0,38743.0,42024.0,45106.0,47481.0,50851.0,55188.0,113127.0,118519.0,119397.0,120683.0,149067.0,153982.0,155009.0,157767.0,160000.0,164219.0,170389.0,172468.0,173937.0,174439.0,179545.0,185197.0,188935.0,193738.0,198022.0,203161.0,204976.0,211970.0,218322.0,198570.0,196368.0,197839.0,199063.0,200093.0,201694.0,202440.0,203636.0,205596.0,208290.0,211555.0,218118.0,222605.0,,,,,,,,,,,,,,,
13,130,59,bernoldi,21,12,12,+2 Laps,10693,13415,16681,18902,20219,20637,20026,18257,17287,16682,17322,18936,19806,20743,21235,22720.0,23396.0,25228.0,27138.0,30361.0,36273.0,39182.0,42676.0,45254.0,47908.0,50911.0,55125.0,71744.0,72780.0,73474.0,73955.0,74900.0,76077.0,77970.0,84694.0,87121.0,88529.0,90922.0,94172.0,96713.0,139309.0,147078.0,148932.0,150749.0,151868.0,156068.0,159211.0,160694.0,165647.0,167571.0,148188.0,151270.0,155171.0,156571.0,159968.0,165510.0,167225.0,170031.0,170437.0,173994.0,176262.0,193427.0,202947.0,204716.0,209273.0,210395.0,210982.0,211509.0,216968.0,219977.0,224054.0,226176.0,226885.0,227733.0,230349.0,237893.0,,
14,130,2,heidfeld,15,8,12,+2 Laps,11892,14427,17533,20199,21578,22257,21454,19923,18938,19548,20131,21231,22646,23800,24490,26891.0,27480.0,28793.0,30335.0,32171.0,37407.0,40467.0,44106.0,46478.0,49200.0,52060.0,56166.0,58031.0,58968.0,60479.0,62724.0,64053.0,65329.0,67047.0,69634.0,72269.0,74050.0,75889.0,78459.0,80641.0,84146.0,91570.0,96975.0,123548.0,129583.0,131696.0,134391.0,134671.0,136910.0,138115.0,118560.0,117820.0,121553.0,122731.0,123975.0,125634.0,125939.0,127399.0,128792.0,130146.0,131785.0,133423.0,135767.0,137098.0,138985.0,141680.0,143241.0,144494.0,146284.0,149765.0,154312.0,155934.0,160149.0,163803.0,166471.0,170386.0,,
15,130,44,panis,16,15,4,Collision,12763,15423,18170,20944,22310,22953,22964,21091,19937,20116,20795,22023,23536,25158,25763,27915.0,28477.0,30332.0,32082.0,33494.0,37961.0,41176.0,45052.0,47386.0,49855.0,52547.0,56533.0,59096.0,60085.0,61732.0,63680.0,64720.0,66079.0,67611.0,70192.0,72935.0,74807.0,76428.0,79226.0,83602.0,85645.0,91881.0,97699.0,102949.0,105258.0,110352.0,115748.0,119257.0,123947.0,129539.0,114375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,130,18,button,4,16,4,Collision,13322,15868,18775,21592,23209,36338,38564,36365,34847,35280,36325,37956,40253,41980,43489,46287.0,47338.0,48785.0,50943.0,51809.0,53421.0,55183.0,58980.0,60205.0,61633.0,63424.0,65355.0,67755.0,68780.0,70552.0,72564.0,73755.0,74957.0,76015.0,78465.0,83150.0,109749.0,113643.0,115969.0,116484.0,114894.0,115470.0,117369.0,119570.0,121297.0,123127.0,125114.0,124935.0,126630.0,130388.0,114564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,130,17,webber,18,11,12,+2 Laps,14452,16669,19212,22069,23783,24730,24140,22464,21284,20952,21497,23021,24427,25948,26557,29237.0,30426.0,31512.0,32947.0,34305.0,38226.0,42503.0,45827.0,48122.0,50435.0,52982.0,57077.0,59837.0,90636.0,95130.0,96020.0,96374.0,97081.0,98253.0,100619.0,102577.0,104378.0,105761.0,108126.0,111319.0,111176.0,114385.0,116977.0,118603.0,118863.0,122320.0,124027.0,124060.0,125772.0,129881.0,112188.0,109315.0,112124.0,114376.0,116394.0,118371.0,118759.0,119651.0,121577.0,122772.0,125143.0,126593.0,172732.0,180476.0,185570.0,188186.0,188264.0,189773.0,190317.0,191736.0,193867.0,195990.0,198858.0,201334.0,203228.0,207169.0,,
18,130,37,rosa,19,10,12,+2 Laps,15580,19377,22643,26046,27506,28250,28091,26625,25695,25372,25889,26949,28067,29479,30818,32951.0,33719.0,35345.0,37082.0,38606.0,40831.0,43690.0,48152.0,50552.0,52182.0,54312.0,57696.0,60876.0,62538.0,64271.0,65868.0,67048.0,68049.0,69464.0,71964.0,74309.0,76466.0,77856.0,81824.0,84629.0,90040.0,92539.0,98589.0,103750.0,107017.0,111626.0,116905.0,141534.0,146590.0,147388.0,126781.0,125496.0,128238.0,129280.0,130808.0,132926.0,133711.0,135614.0,137499.0,139479.0,141152.0,142345.0,143658.0,145090.0,148459.0,153281.0,157179.0,161813.0,165684.0,168087.0,170805.0,172284.0,174963.0,178698.0,182044.0,183705.0,,
19,130,56,irvine,19,9,12,+2 Laps,16892,22534,25454,27886,29192,30216,31311,31320,32080,33317,35342,37421,39487,41289,42810,45638.0,46663.0,48174.0,49864.0,51106.0,52751.0,54417.0,58283.0,59423.0,60993.0,62726.0,64719.0,67059.0,68158.0,69949.0,71786.0,72951.0,74063.0,75057.0,77703.0,79808.0,85019.0,90728.0,93897.0,96527.0,98267.0,126579.0,132790.0,135741.0,138292.0,140825.0,143432.0,143351.0,145340.0,146417.0,125817.0,124798.0,127060.0,128197.0,129539.0,131509.0,132392.0,133803.0,135530.0,137762.0,139655.0,141008.0,142374.0,144380.0,147744.0,152828.0,156569.0,160219.0,165022.0,167609.0,170150.0,171360.0,173375.0,177113.0,181440.0,182943.0,,
