,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
19,216.0,77.0,berger,1.0,1.0,Finished,112254.0,219236.0,325974.0,432244.0,538569.0,645272.0,751779.0,857943.0,963690.0,1070087.0,1176007.0,1282358.0,1388557.0,1494350.0,1600768.0,1707547.0,1818549.0,1944499.0,2051309.0,2157603.0,2264085.0,2370337.0,2476985.0,2583142.0,2689907.0,2795923.0,2902073.0,3007960.0,3117460.0,3223713.0,3330002.0,3436240.0,3542367.0,3652463.0,3776459.0,3882859.0,3989821.0,4096611.0,4203350.0,4311962.0,4420005.0,4529026.0,4638529.0,4748075.0,4859046.0
3,216.0,21.0,fisichella,11.0,15.0,+5 Laps,114123.0,221822.0,329004.0,435885.0,543355.0,650446.0,757870.0,864931.0,971400.0,1078639.0,1185523.0,1292151.0,1399131.0,1506143.0,1612857.0,1719871.0,1826542.0,1933499.0,2040493.0,2146870.0,2254261.0,2361153.0,2468365.0,2580182.0,2706288.0,2813429.0,2920345.0,3027171.0,3134977.0,3242110.0,3348779.0,3455531.0,3562022.0,3668296.0,3777912.0,3885247.0,3992010.0,4100174.0,4240849.0,4371576.0,,,,,
6,216.0,30.0,michael_schumacher,2.0,1.0,Finished,114642.0,222610.0,329972.0,437125.0,544188.0,651204.0,758579.0,865599.0,972461.0,1079337.0,1186306.0,1293354.0,1400316.0,1507116.0,1614152.0,1721288.0,1828147.0,1935391.0,2042837.0,2150634.0,2258628.0,2370377.0,2495782.0,2602704.0,2709890.0,2817251.0,2924533.0,3031917.0,3139581.0,3247021.0,3354897.0,3461531.0,3568826.0,3675915.0,3783540.0,3890819.0,3998612.0,4105851.0,4214372.0,4327182.0,4448786.0,4555558.0,4662161.0,4768770.0,4876573.0
12,216.0,57.0,hakkinen,3.0,1.0,Finished,115822.0,224035.0,331676.0,439265.0,546846.0,654359.0,761646.0,868533.0,975364.0,1082641.0,1190092.0,1298204.0,1405621.0,1513118.0,1620739.0,1728560.0,1836201.0,1944258.0,2053955.0,2162698.0,2275949.0,2402604.0,2510136.0,2618011.0,2725707.0,2833943.0,2942000.0,3049879.0,3157797.0,3265518.0,3373169.0,3481560.0,3589637.0,3697149.0,3804741.0,3912444.0,4020625.0,4128318.0,4235966.0,4343831.0,4451586.0,4559474.0,4667239.0,4775150.0,4883816.0
10,216.0,55.0,alesi,6.0,1.0,Finished,116325.0,224742.0,332482.0,439849.0,547502.0,655085.0,762632.0,869959.0,976801.0,1083996.0,1191135.0,1298932.0,1406731.0,1513991.0,1621573.0,1733721.0,1857582.0,1963665.0,2069783.0,2175700.0,2282037.0,2388463.0,2495114.0,2601745.0,2709462.0,2816529.0,2923944.0,3031187.0,3139081.0,3250901.0,3377728.0,3484852.0,3592454.0,3701617.0,3810168.0,3917696.0,4025086.0,4132758.0,4240895.0,4349047.0,4457254.0,4565421.0,4673819.0,4782850.0,4893763.0
7,216.0,35.0,villeneuve,14.0,20.0,Spun off,117110.0,226330.0,335217.0,443256.0,551182.0,658656.0,766257.0,873955.0,981454.0,1089223.0,1196733.0,1304430.0,1412237.0,1520221.0,1627732.0,1735144.0,1842972.0,1951033.0,2059250.0,2167175.0,2279742.0,2406781.0,2513975.0,2621019.0,2728162.0,2835308.0,2942992.0,3050728.0,3158749.0,3266565.0,3374295.0,3482502.0,3590390.0,,,,,,,,,,,,
2,216.0,15.0,trulli,4.0,1.0,Finished,117877.0,226729.0,335608.0,443851.0,551616.0,659348.0,767069.0,874549.0,981971.0,1089800.0,1197282.0,1304900.0,1412694.0,1520610.0,1628372.0,1735686.0,1843473.0,1951519.0,2059721.0,2167612.0,2275516.0,2382987.0,2489720.0,2602109.0,2729237.0,2836100.0,2943484.0,3051255.0,3159171.0,3267027.0,3374874.0,3482911.0,3590856.0,3700638.0,3808004.0,3915354.0,4022714.0,4129818.0,4236937.0,4345052.0,4452729.0,4560493.0,4668231.0,4776178.0,4886211.0
4,216.0,22.0,barrichello,12.0,5.0,Engine,118734.0,227506.0,336171.0,445864.0,554676.0,663244.0,771670.0,880201.0,988490.0,1097039.0,1205443.0,1313337.0,1421460.0,1529371.0,1637088.0,1745547.0,1853766.0,1966120.0,2090323.0,2197877.0,2305847.0,2413781.0,2522125.0,2630003.0,2737776.0,2845271.0,2952666.0,3059740.0,3167609.0,3279014.0,3404945.0,3512389.0,3620240.0,,,,,,,,,,,,
15,216.0,65.0,herbert,17.0,3.0,Accident,119920.0,230169.0,339353.0,448848.0,558759.0,668686.0,778148.0,888870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,216.0,23.0,ralf_schumacher,5.0,1.0,Finished,120304.0,228886.0,336835.0,445121.0,552879.0,660616.0,767979.0,875351.0,982815.0,1090626.0,1198188.0,1305964.0,1413546.0,1521267.0,1628979.0,1736689.0,1845433.0,1953254.0,2061170.0,2168694.0,2276512.0,2388554.0,2517601.0,2623728.0,2730378.0,2837209.0,2944410.0,3052059.0,3160038.0,3267861.0,3376229.0,3484038.0,3591894.0,3701289.0,3809384.0,3916942.0,4024327.0,4131918.0,4239648.0,4347939.0,4455855.0,4563411.0,4671182.0,4779557.0,4889041.0
