,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,hamilton,2,2,2,2,2,2,2,2,2,2,3,8,7,3,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
2,rosberg,3,3,3,3,3,4,4,4,4,4,4,5,9,7,6,5,5,4,4,4,4,4,4,4,5,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
3,button,4,4,4,5,6,6,6,6,6,6,6,4,3,2,2,2,4,7,7,7,6,6,6,6,6,5,4,4,4,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6
4,alonso,5,5,5,4,4,3,3,3,3,3,2,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,webber,6,6,6,6,5,5,5,5,5,5,5,3,4,8,7,7,6,5,5,5,5,5,5,5,4,4,3,3,3,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
6,resta,7,7,7,7,7,7,7,7,7,10,16,14,13,13,12,12,11,12,11,11,11,11,10,10,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,hulkenberg,8,8,8,8,8,8,8,8,12,18,17,15,15,14,15,15,14,13,12,12,12,12,11,12,16,15,13,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13
8,grosjean,9,10,10,10,10,10,10,12,10,9,9,9,6,6,5,6,7,6,6,6,7,9,13,11,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8
9,raikkonen,10,9,9,9,9,9,9,9,8,7,7,6,5,5,13,11,10,9,9,9,9,8,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,perez,11,11,11,11,11,11,11,10,9,8,8,7,8,11,11,10,12,15,17,16,16,16,16,16,14,11,10,10,10,10,10,10,9,9,10,10,10,10,10,10,11,11,11,11
11,massa,12,12,12,12,12,12,12,11,14,17,15,12,12,12,10,8,8,8,8,8,8,7,7,7,7,7,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
12,sutil,13,13,13,13,13,13,13,13,11,11,10,16,16,15,14,14,13,11,10,10,10,10,9,9,8,8,12,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9
13,garde,14,15,17,18,19,19,19,19,19,19,18,18,18,19,18,19,19,19,19,19,19,19,19,19,19,18,17,16,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,0
14,maldonado,15,14,14,14,14,14,14,14,13,12,13,19,19,18,17,17,16,16,15,14,14,15,15,15,13,12,16,17,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,0
15,vergne,16,16,15,15,15,15,15,15,15,15,19,17,17,16,16,16,15,14,13,13,13,13,12,14,18,16,14,13,13,13,13,13,13,11,11,11,11,12,12,12,12,12,12,12
16,ricciardo,17,17,16,16,16,16,16,16,16,13,11,10,10,9,8,13,17,17,16,15,15,14,14,13,12,10,8,8,9,9,9,9,11,13,13,12,12,11,11,11,10,10,10,10
17,gutierrez,18,18,18,17,17,17,17,17,17,14,12,11,11,10,9,9,9,10,14,17,18,17,17,17,15,13,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
18,bottas,19,19,19,19,18,18,18,18,18,16,14,13,14,17,19,18,18,18,18,18,17,18,18,18,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
19,jules_bianchi,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
20,chilton,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
