,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
8,891,20,vettel,9,1,1,Finished,117568,232192,347057,462049,577557,692651,807850,922938,1038166.0,1153455.0,1268830.0,1384019.0,1499520.0,1619377.0,1746521.0,1859325.0,1972416.0,2085331.0,2198469.0,2311465.0,2424487.0,2537577.0,2651050.0,2764424.0,2877821.0,2991484.0,3104846.0,3218905.0,3332582.0,3450341.0,3575560.0,3686445.0,3798128.0,3909104.0,4020155.0,4131277.0,4242126.0,4353159.0,4464265.0,4575021.0,4686205.0,4797493.0,4909593.0,5022196.0
0,891,1,hamilton,131,3,1,Finished,119009,235041,350615,466332,581520,696802,811967,927119,1042506.0,1157765.0,1277665.0,1407632.0,1524035.0,1638019.0,1753497.0,1867144.0,1981067.0,2094773.0,2208248.0,2322220.0,2436236.0,2550389.0,2664336.0,2778539.0,2892949.0,3012408.0,3138808.0,3251648.0,3364751.0,3478553.0,3591614.0,3704799.0,3817685.0,3930306.0,4042380.0,4154149.0,4266266.0,4377863.0,4489459.0,4601805.0,4713660.0,4825678.0,4937555.0,5049930.0
1,891,3,rosberg,131,4,1,Finished,120369,236467,352338,468314,584294,701033,816742,932426,1048435.0,1164639.0,1280558.0,1400801.0,1528582.0,1642921.0,1757281.0,1871331.0,1985423.0,2099497.0,2213522.0,2327635.0,2441877.0,2556028.0,2669714.0,2783773.0,2901785.0,3028750.0,3142157.0,3255191.0,3368826.0,3482079.0,3595193.0,3708141.0,3820707.0,3932778.0,4044841.0,4156792.0,4268551.0,4380325.0,4491907.0,4603773.0,4716248.0,4828179.0,4940108.0,5052068.0
7,891,18,button,1,6,1,Finished,120966,237423,353458,470561,587361,703258,819352,934958,1050781.0,1166659.0,1282730.0,1398938.0,1514784.0,1630810.0,1747346.0,1863494.0,1984651.0,2112940.0,2226235.0,2339848.0,2453687.0,2567180.0,2680958.0,2794377.0,2907825.0,3021499.0,3134820.0,3248340.0,3361920.0,3475351.0,3588640.0,3702190.0,3815654.0,3933754.0,4059183.0,4170006.0,4281084.0,4392134.0,4503425.0,4614985.0,4726616.0,4838558.0,4950658.0,5062990.0
2,891,4,alonso,6,2,1,Finished,121241,237917,354012,469186,585002,699887,815008,930178,1045342.0,1160503.0,1275912.0,1391428.0,1511312.0,1638369.0,1752274.0,1865563.0,1979506.0,2093065.0,2206246.0,2319555.0,2432913.0,2546282.0,2659844.0,2773276.0,2887724.0,3001373.0,3114998.0,3233946.0,3359010.0,3470427.0,3582434.0,3694235.0,3805996.0,3918001.0,4030151.0,4141534.0,4253427.0,4365440.0,4477337.0,4589822.0,4702346.0,4814433.0,4926767.0,5039065.0
6,891,17,webber,9,5,1,Finished,122006,238672,354906,471016,586369,702095,817890,933196,1049236.0,1165322.0,1281476.0,1397501.0,1517391.0,1645507.0,1758965.0,1873634.0,1987846.0,2101487.0,2215157.0,2328824.0,2442842.0,2556812.0,2670671.0,2785105.0,2898989.0,3013475.0,3127758.0,3242188.0,3361324.0,3487027.0,3598424.0,3710063.0,3821728.0,3933514.0,4045538.0,4158045.0,4270036.0,4381779.0,4493483.0,4605253.0,4717917.0,4830002.0,4942231.0,5056041.0
12,891,814,resta,10,20,4,Collision,122583,239515,356070,472719,589438,706123,822584,939035,1055579.0,1176357.0,1306438.0,1422393.0,1537914.0,1653395.0,1769702.0,1886353.0,2003395.0,2121801.0,2237899.0,2352919.0,2467676.0,2582877.0,2697781.0,2812887.0,2932965.0,3060263.0,,,,,,,,,,,,,,,,,,
10,891,807,hulkenberg,15,13,1,Finished,122991,240225,356904,473447,590283,706981,823579,940420,1062048.0,1192520.0,1308224.0,1423954.0,1540849.0,1657698.0,1774257.0,1889840.0,2005725.0,2122424.0,2238393.0,2354074.0,2469438.0,2584825.0,2700196.0,2820122.0,2948552.0,3061809.0,3176647.0,3291234.0,3404475.0,3518063.0,3631479.0,3745170.0,3858988.0,3974415.0,4088165.0,4202216.0,4316605.0,4430385.0,4544109.0,4657300.0,4770410.0,4883566.0,4996879.0,5110454.0
9,891,154,grosjean,208,8,1,Finished,123575,241418,358270,474731,591534,708270,825090,943338,1059569.0,1175433.0,1291413.0,1408006.0,1523616.0,1640863.0,1756804.0,1873294.0,1989939.0,2105664.0,2221540.0,2337584.0,2454130.0,2574911.0,2702959.0,2817133.0,2930950.0,3044326.0,3157625.0,3271462.0,3385220.0,3498341.0,3611062.0,3723885.0,3836522.0,3949019.0,4061607.0,4174148.0,4286751.0,4399314.0,4511893.0,4626596.0,4739391.0,4852155.0,4965100.0,5078042.0
3,891,8,raikkonen,208,21,23,Brakes,124092,240684,357445,473820,591133,707473,824346,940847,1056576.0,1172560.0,1288090.0,1403689.0,1519614.0,1639755.0,1769707.0,1885756.0,2001777.0,2116870.0,2230802.0,2344490.0,2458371.0,2572737.0,2687435.0,2802618.0,2926848.0,,,,,,,,,,,,,,,,,,,
13,891,815,perez,1,11,1,Finished,124547,242162,359103,475681,592348,708944,825578,941688,1058421.0,1174599.0,1290538.0,1406650.0,1526958.0,1651370.0,1768600.0,1885640.0,2003589.0,2125674.0,2253359.0,2367482.0,2482017.0,2596815.0,2711345.0,2825821.0,2940926.0,3054854.0,3168607.0,3282521.0,3396276.0,3509850.0,3623547.0,3737239.0,3851253.0,3964725.0,4079404.0,4193038.0,4307097.0,4420715.0,4534403.0,4647951.0,4762330.0,4876264.0,4990018.0,5104132.0
4,891,13,massa,6,7,1,Finished,124914,242530,360014,476219,592796,709470,826285,942471,1063112.0,1191310.0,1305554.0,1421963.0,1536397.0,1651684.0,1767939.0,1883445.0,1997805.0,2113575.0,2228339.0,2342827.0,2457350.0,2572254.0,2686905.0,2801790.0,2917052.0,3036664.0,3162868.0,3276316.0,3388720.0,3501281.0,3613790.0,3726153.0,3838370.0,3950693.0,4063083.0,4175383.0,4287840.0,4400590.0,4512932.0,4625114.0,4737670.0,4850261.0,4963019.0,5076118.0
