,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
3,939.0,4.0,alonso,17.0,6.0,Gearbox,123081.0,237993.0,352603.0,466838.0,581151.0,695185.0,809299.0,923401.0,1037756.0,1159475.0,1299548.0,1414152.0,1560456.0,1709540.0,1859064.0,2007622.0,2147854.0,2304364.0,2419817.0,2534384.0,2648784.0,2763145.0,2876984.0,2991577.0,3105417.0,3219314.0,3332639.0,3446509.0,3560614.0,3674498.0,3788611.0,3903372.0,4029268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,939.0,832.0,sainz,9.0,1.0,Finished,123511.0,238452.0,353340.0,467487.0,581889.0,696087.0,810110.0,924199.0,1038556.0,1160278.0,1300005.0,1414772.0,1561267.0,1710046.0,1859826.0,2008492.0,2148936.0,2311844.0,2427875.0,2542689.0,2657058.0,2770955.0,2885430.0,2999677.0,3113720.0,3228048.0,3342964.0,3465248.0,3597561.0,3709057.0,3821494.0,3934747.0,4047641.0,4160063.0,4273421.0,4387141.0,4542040.0,4708117.0,4823743.0,4964596.0,5083735.0,5197309.0,5307710.0,5418576.0,5531555.0,5646069.0,5758124.0,5868972.0,5980147.0,6090994.0,6201975.0,6313570.0,6425464.0,6538727.0,6652046.0,6765429.0,6878803.0,6992012.0,7105778.0,7219862.0,7334978.0
8,939.0,154.0,grosjean,13.0,27.0,Tyre,124072.0,239080.0,353945.0,468420.0,582724.0,697086.0,811261.0,926994.0,1048700.0,1184527.0,1298478.0,1412464.0,1558993.0,1708002.0,1856542.0,2005803.0,2145652.0,2303552.0,2418700.0,2533259.0,2647533.0,2761569.0,2875372.0,2989166.0,3103352.0,3224212.0,3357439.0,3469792.0,3582324.0,3695631.0,3808524.0,3921355.0,4035189.0,4148931.0,4263618.0,4377425.0,4524217.0,4672830.0,4798744.0,4962117.0,5078907.0,5191596.0,5304581.0,5417358.0,5530774.0,5645818.0,5761965.0,5876678.0,5990536.0,6104899.0,6219435.0,6333557.0,6448191.0,6563662.0,6679244.0,6795243.0,6911543.0,7028571.0,7157923.0,,
18,939.0,831.0,nasr,10.0,1.0,Finished,124770.0,240101.0,355020.0,469669.0,584485.0,699010.0,813412.0,928243.0,1043032.0,1157044.0,1270924.0,1385003.0,1527502.0,1693616.0,1843416.0,1989988.0,2144928.0,2303176.0,2418360.0,2532280.0,2646361.0,2759872.0,2873685.0,2987277.0,3101057.0,3215328.0,3329706.0,3445000.0,3558951.0,3673063.0,3787020.0,3900949.0,4014781.0,4137029.0,4271037.0,4383603.0,4533508.0,4683950.0,4811477.0,4963993.0,5083571.0,5198864.0,5313579.0,5427736.0,5541335.0,5654723.0,5768825.0,5883080.0,5997660.0,6111791.0,6226181.0,6340790.0,6455739.0,6570766.0,6683436.0,6796890.0,6911960.0,7028909.0,7143879.0,7256843.0,7372163.0
15,939.0,828.0,ericsson,11.0,1.0,Finished,125272.0,240692.0,355622.0,470406.0,585214.0,700062.0,814684.0,929366.0,1043710.0,1166132.0,1300938.0,1424723.0,1574410.0,1721150.0,1871271.0,2021115.0,2152205.0,2309480.0,2425033.0,2541237.0,2655212.0,2769393.0,2883670.0,2997782.0,3111513.0,3225998.0,3340683.0,3464076.0,3596606.0,3708200.0,3821066.0,3934232.0,4046657.0,4158904.0,4272727.0,4393585.0,4559926.0,4709740.0,4829372.0,4965342.0,5084413.0,5199544.0,5314186.0,5428405.0,5542145.0,5655650.0,5769522.0,5883832.0,5998454.0,6112845.0,6227146.0,6341526.0,6456224.0,6572919.0,6686847.0,6803462.0,6918369.0,7032936.0,7149621.0,7264579.0,7379625.0
6,939.0,18.0,button,16.0,6.0,Gearbox,125863.0,241558.0,356613.0,471493.0,586281.0,701526.0,816338.0,931054.0,1045708.0,1160168.0,1274455.0,1388923.0,1531013.0,1734709.0,1883464.0,2032325.0,2157070.0,2309849.0,2425369.0,2542106.0,2656011.0,2770295.0,2884679.0,2998741.0,3112762.0,3227095.0,3341599.0,3456689.0,3570094.0,3683603.0,3797162.0,3910580.0,4024505.0,4138556.0,4251896.0,4366912.0,4514723.0,4683645.0,4809921.0,4963378.0,5089902.0,5229761.0,5340928.0,5452847.0,5564937.0,5676594.0,5788271.0,5900481.0,6012878.0,6126077.0,6238659.0,6378350.0,,,,,,,,,
10,939.0,813.0,maldonado,12.0,1.0,Finished,126307.0,242180.0,357100.0,472006.0,587345.0,702589.0,817396.0,932649.0,1046812.0,1168643.0,1301941.0,1415924.0,1562460.0,1711213.0,1860781.0,2009334.0,2149692.0,2308327.0,2421170.0,2535135.0,2649413.0,2763799.0,2877969.0,2992258.0,3106495.0,3220665.0,3341471.0,3473657.0,3585965.0,3699481.0,3812259.0,3925398.0,4038779.0,4152176.0,4266281.0,4380373.0,4527338.0,4675121.0,4799594.0,4962576.0,5081284.0,5198003.0,5312859.0,5426489.0,5539871.0,5653569.0,5767952.0,5882236.0,5996348.0,6110853.0,6225401.0,6340156.0,6455311.0,6581871.0,6713644.0,6824631.0,6934806.0,7045167.0,7156322.0,7267391.0,7379836.0
20,939.0,834.0,rossi,14.0,12.0,+2 Laps,127603.0,245416.0,363207.0,481841.0,600689.0,718409.0,836478.0,954261.0,1072498.0,1190695.0,1309083.0,1427912.0,1584602.0,1753476.0,1903034.0,2051365.0,2172124.0,2310313.0,2427549.0,2545776.0,2663294.0,2780619.0,2897644.0,3015101.0,3134269.0,3251767.0,3369228.0,3486339.0,3604301.0,3722139.0,3839680.0,3957943.0,4076239.0,4193991.0,4313477.0,4451950.0,4629125.0,4790959.0,4958440.0,5083328.0,5201500.0,5317192.0,5432504.0,5547888.0,5663501.0,5779555.0,5895670.0,6011980.0,6129667.0,6245518.0,6361686.0,6477408.0,6593937.0,6710182.0,6827590.0,6944918.0,7064935.0,7182326.0,7300915.0,,
16,939.0,829.0,stevens,15.0,12.0,+2 Laps,128927.0,246995.0,364843.0,483007.0,602156.0,720503.0,838526.0,956553.0,1074418.0,1192743.0,1311157.0,1430120.0,1581141.0,1736746.0,1904297.0,2052392.0,2173212.0,2310833.0,2429533.0,2547499.0,2665121.0,2782729.0,2900342.0,3018984.0,3136828.0,3255031.0,3373186.0,3491152.0,3608869.0,3726941.0,3844769.0,3963176.0,4081665.0,4201786.0,4321425.0,4454058.0,4609572.0,4794023.0,4961613.0,5085462.0,5202846.0,5319017.0,5435120.0,5551376.0,5667266.0,5783671.0,5901178.0,6018344.0,6135820.0,6252971.0,6370056.0,6486782.0,6603739.0,6721186.0,6842464.0,6962017.0,7079143.0,7198106.0,7315721.0,,
17,939.0,830.0,max_verstappen,8.0,1.0,Finished,257359.0,369932.0,483297.0,597380.0,710606.0,823937.0,937176.0,1050560.0,1164323.0,1278177.0,1392324.0,1535394.0,1703449.0,1852250.0,2001178.0,2119333.0,2231591.0,2343342.0,2455253.0,2567452.0,2679400.0,2791353.0,2903514.0,3016923.0,3130325.0,3242764.0,3355607.0,3468229.0,3581057.0,3694700.0,3807670.0,3920650.0,4034285.0,4147897.0,4261477.0,4383277.0,4551777.0,4699981.0,4816560.0,4964284.0,5082614.0,5196165.0,5306463.0,5417848.0,5531173.0,5643859.0,5754551.0,5865196.0,5976093.0,6087256.0,6198802.0,6311650.0,6424815.0,6537646.0,6651109.0,6764446.0,6877772.0,6991242.0,7105057.0,7219099.0,7333568.0
