,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,155048.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,155939.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,4,1,1,1,1,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,156886.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,160083.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,161655.0,5,5,5,5,5,5,5,5,5,5,5,5,5,16,14,12,12,11,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,13,15,16,16,16,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,164248.0,6,6,6,6,6,6,6,6,6,6,6,6,6,8,16,15,16,17,16,16,16,16,16,16,15,15,15,15,15,15,14,14,13,13,13,13,13,12,12,11,11,10,10,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
6,165513.0,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,9,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,12,12,12,12,12,13,14,14,13,13,12,12,11,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
7,166530.0,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,167648.0,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,11,11,10,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7,7,7,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,0
9,169260.0,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,14,14,13,12,12,11,11,10,10,9,9,9,9,9,9,11,11,10,10,10,10,10,10,9,9,9,9,9,10,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
10,170462.0,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,6,6,6,6,6,5,5,11,11,10,10,10,10,10,10,9,9,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,5,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,0
11,171589.0,12,12,13,12,13,13,13,13,13,13,13,13,13,11,10,8,7,7,7,7,12,12,12,12,11,11,11,11,11,11,10,10,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,5,4,4,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
12,172798.0,13,13,18,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,172960.0,14,14,14,13,12,12,12,12,12,12,12,12,12,12,17,16,15,14,13,13,13,13,14,14,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,10,10,11,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,0
14,174249.0,15,15,12,18,18,18,17,17,17,17,17,17,17,17,15,13,13,12,11,11,10,10,9,9,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,15,15,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,0,0
15,175982.0,16,16,15,14,14,14,14,14,14,14,14,14,14,13,11,9,8,8,17,17,17,17,17,17,16,16,16,16,16,16,15,15,14,14,14,14,14,15,15,15,14,14,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,0
16,176702.0,17,17,16,15,15,15,15,15,15,15,15,16,16,15,12,10,10,9,8,8,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,177589.0,18,18,17,16,16,16,16,16,16,16,16,15,15,14,13,17,17,16,14,14,14,14,13,13,12,12,12,12,12,12,16,16,15,15,15,15,15,14,13,12,12,12,11,11,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
