,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
10,185,15,trulli,20,8,11,+1 Lap,8166,11308,14362,17417,19974,22557,25389,27544,29490,31632,33553.0,35921.0,37720.0,39605.0,41037.0,42054.0,43071.0,43547.0,44793.0,45628.0,47534.0,48833.0,50039.0,50578.0,51291.0,52937.0,53710.0,55842.0,62995.0,84406.0,79983.0,61133.0,63468.0,65110.0,66138.0,66684.0,67720.0,68565.0,68728.0,69067.0,70710.0,71429.0,73094.0,74599.0,75165.0,76164.0,77541.0,77952.0,78049.0,83312.0,104474.0,105044.0,106664.0,108189.0,106022.0,86248.0,87805.0,89645.0,90338.0,89930.0,90627.0,91038.0,92199.0,93592.0,95398.0,95091.0,94623.0,94922.0,96877.0,97719.0,98944.0,100575.0,103259.0,103444.0,106017.0,108435.0,
11,185,65,herbert,24,11,11,+1 Lap,8837,11996,15431,18709,21435,24179,26981,29704,32386,35075,37499.0,40385.0,42579.0,44958.0,46906.0,48926.0,50839.0,52066.0,54011.0,55634.0,58307.0,60201.0,61937.0,63192.0,64920.0,67375.0,68888.0,72073.0,75361.0,77470.0,73981.0,56412.0,59355.0,61184.0,62825.0,63727.0,64560.0,70190.0,96488.0,97730.0,100597.0,105231.0,107948.0,111421.0,114922.0,121608.0,124700.0,126456.0,128300.0,130454.0,133589.0,135346.0,138360.0,141234.0,139436.0,120104.0,121818.0,124862.0,126586.0,128059.0,131457.0,132316.0,134621.0,138408.0,140246.0,141130.0,142177.0,141937.0,143927.0,144292.0,146368.0,148589.0,149574.0,149694.0,151196.0,153970.0,
12,185,35,villeneuve,16,18,8,Clutch,9317,12454,15992,19411,22044,24827,27928,30243,32884,35561,38217.0,41031.0,43238.0,45795.0,47785.0,49467.0,51428.0,52660.0,54750.0,56778.0,59010.0,60890.0,67640.0,88416.0,88119.0,88995.0,90470.0,93120.0,95276.0,96732.0,93033.0,74232.0,76710.0,78284.0,80715.0,81334.0,83449.0,85113.0,86625.0,89560.0,92775.0,94850.0,96658.0,98513.0,99723.0,100908.0,102477.0,102787.0,102625.0,107565.0,130638.0,131126.0,134977.0,136124.0,133152.0,112568.0,113857.0,117870.0,118318.0,136413.0,,,,,,,,,,,,,,,,,
13,185,41,zonta,16,13,12,+2 Laps,9828,13082,16653,20307,23215,26296,29560,32508,35159,38010,40450.0,43118.0,45280.0,47580.0,49895.0,51843.0,53871.0,55184.0,56964.0,58561.0,60669.0,62588.0,64395.0,65006.0,66000.0,68301.0,69788.0,72758.0,80358.0,105461.0,99899.0,79346.0,85362.0,108919.0,111928.0,115067.0,116212.0,118628.0,120212.0,121362.0,123959.0,127024.0,130452.0,133671.0,135926.0,138731.0,142292.0,144080.0,145597.0,151809.0,155731.0,156928.0,158891.0,160706.0,158425.0,138910.0,139839.0,141139.0,141376.0,145199.0,167896.0,167528.0,167352.0,168030.0,170433.0,170435.0,171272.0,171510.0,172388.0,173590.0,174413.0,174691.0,175297.0,175552.0,177558.0,,
14,185,70,zanardi,3,22,24,Differential,10556,13939,17687,21729,24666,28073,31148,34446,41863,64109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,185,23,ralf_schumacher,3,9,11,+1 Lap,10902,14504,18471,22042,25282,28524,31814,34815,37233,39036,41212.0,43944.0,46100.0,48449.0,50470.0,52496.0,54401.0,55660.0,57528.0,59263.0,61270.0,63265.0,65051.0,65717.0,66605.0,68785.0,70289.0,77448.0,101149.0,101917.0,96940.0,77838.0,79843.0,80727.0,82190.0,84059.0,84431.0,85682.0,87288.0,88667.0,92385.0,93691.0,95234.0,97221.0,98008.0,99593.0,100878.0,100765.0,100857.0,101280.0,106544.0,126907.0,128292.0,129480.0,126385.0,106048.0,106511.0,107958.0,108172.0,107414.0,107687.0,107032.0,106882.0,107485.0,110552.0,110359.0,110772.0,112997.0,113748.0,114631.0,115464.0,115869.0,117142.0,116707.0,116962.0,117512.0,
16,185,44,panis,20,10,11,+1 Lap,11417,15223,19108,22851,25937,29160,32652,35694,40112,42083,44140.0,47133.0,49564.0,51871.0,53768.0,55831.0,58596.0,60174.0,61818.0,63117.0,65216.0,67105.0,69003.0,69984.0,71077.0,72920.0,74045.0,76299.0,78766.0,80294.0,76549.0,58498.0,61536.0,63137.0,64731.0,65311.0,66672.0,71881.0,95195.0,96185.0,98889.0,101313.0,106375.0,109397.0,112293.0,114983.0,117500.0,119327.0,123178.0,124422.0,127654.0,129378.0,132066.0,134443.0,132090.0,112012.0,113293.0,114877.0,115173.0,117345.0,118256.0,119314.0,119929.0,121399.0,122871.0,123393.0,124053.0,127328.0,128285.0,129441.0,129729.0,129485.0,130441.0,129497.0,129799.0,130848.0,
17,185,69,badoer,18,14,12,+2 Laps,12456,16083,19943,23923,27437,30884,34462,37790,42202,45914,49539.0,53147.0,55773.0,58759.0,61245.0,63433.0,65706.0,67275.0,69418.0,71484.0,74021.0,76006.0,78277.0,79619.0,81415.0,85198.0,86586.0,88973.0,95974.0,119897.0,115981.0,97968.0,100769.0,102886.0,107106.0,110217.0,111034.0,115438.0,118826.0,120187.0,122836.0,124698.0,128381.0,131313.0,133399.0,136347.0,139189.0,141333.0,143478.0,145229.0,152468.0,175340.0,180297.0,182621.0,180620.0,160713.0,162447.0,166819.0,168857.0,169559.0,171612.0,173045.0,174445.0,178527.0,181457.0,182353.0,183203.0,185394.0,186759.0,188574.0,190405.0,192357.0,193991.0,196388.0,197845.0,,
18,185,37,rosa,21,15,12,+2 Laps,12931,16664,20789,25074,29070,32646,36579,40736,44359,48198,51516.0,54993.0,58009.0,61256.0,64664.0,67112.0,69451.0,70809.0,72792.0,74092.0,76433.0,79104.0,81008.0,83942.0,85022.0,86992.0,88195.0,96067.0,120915.0,122766.0,119313.0,104857.0,108295.0,114148.0,117373.0,119212.0,120835.0,122255.0,125310.0,127349.0,130195.0,132325.0,135061.0,139602.0,142163.0,145969.0,148620.0,150489.0,152018.0,154375.0,156691.0,163072.0,187103.0,190633.0,188866.0,169061.0,172961.0,175598.0,178541.0,179469.0,181200.0,182546.0,183874.0,185838.0,187678.0,190235.0,190944.0,191807.0,193248.0,195316.0,197234.0,203017.0,205623.0,205238.0,205851.0,,
19,185,63,salo,6,12,12,+2 Laps,13237,16962,21192,25584,29482,33062,36953,41073,44624,48463,51850.0,55401.0,58300.0,61630.0,64989.0,67557.0,70044.0,71548.0,73847.0,75559.0,78003.0,79897.0,83543.0,84832.0,86243.0,88061.0,89705.0,92288.0,94491.0,95788.0,91774.0,73384.0,75758.0,77571.0,79994.0,80490.0,81467.0,84508.0,85846.0,87105.0,89837.0,90865.0,93146.0,100230.0,124278.0,126661.0,130479.0,132395.0,132939.0,134227.0,135403.0,136672.0,138925.0,141739.0,139824.0,120564.0,122448.0,125574.0,128465.0,129936.0,133527.0,136899.0,138597.0,141951.0,145254.0,147888.0,151834.0,154009.0,158323.0,161826.0,165401.0,170111.0,173535.0,174933.0,176491.0,,
