,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,bottas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,leclerc,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,max_verstappen,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,sainz,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,9,10,10,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,norris,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,10,0
6,vettel,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,gasly,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
8,giovinazzi,9,9,9,9,9,11,19,19,19,19,19,19,19,19,18,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,15,15,15,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,0
9,ricciardo,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,15,15,13,13,13,13,13,13,13,12,12,11,11,11,11,11,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,0
10,raikkonen,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,10,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,0
11,hulkenberg,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,9,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,0
12,perez,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,10,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
13,kevin_magnussen,14,14,14,14,14,14,13,13,13,13,13,14,14,15,15,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,16,16,0
14,stroll,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,12,11,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
15,albon,16,16,16,16,16,16,15,15,15,15,15,15,15,14,14,13,12,10,10,9,9,9,9,9,15,16,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
16,kubica,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,0,0
17,grosjean,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,14,13,12,12,12,12,12,12,12,11,11,12,13,13,13,16,16,16,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
18,russell,19,19,19,19,19,19,18,18,18,18,18,18,18,18,19,18,18,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,0,0
