,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,982,1,hamilton,131,1,1,Finished,179371,379981,570116,752465,877586,1002273,1126698,1252562,1376516.0,1501964.0,1634800.0,1819535.0,2007230.0,2182788.0,2305400.0,2427389.0,2549104.0,2670456.0,2791556.0,2912541.0,3033338.0,3155371.0,3276370.0,3396742.0,3516694.0,3637285.0,3756635.0,3875104.0,4001634.0,4143721.0,4256044.0,4367172.0,4476625.0,4586099.0,4694860.0,4802709.0,4909958.0,5036607.0,5214891.0,5405750.0,5595424.0,5704473.0,5811606.0,5921149.0,6027538.0,6133987.0,6239643.0,6345499.0,6451620.0,6557046.0,6663199.0,6769071.0,6874752.0,6980667.0,7085675.0,7191403.0,7296870.0,7403544.0
6,982,817,ricciardo,9,2,1,Finished,180881,381652,572052,753661,881144,1006533,1131791,1256611,1381777.0,1507133.0,1645539.0,1829280.0,2007803.0,2183854.0,2307346.0,2429717.0,2551901.0,2673508.0,2794967.0,2916510.0,3038265.0,3159623.0,3280800.0,3402783.0,3523562.0,3643908.0,3764923.0,3892433.0,4036558.0,4152434.0,4264719.0,4375713.0,4486210.0,4595564.0,4703807.0,4811632.0,4919605.0,5055348.0,5221573.0,5406862.0,5596148.0,5706698.0,5815886.0,5922885.0,6029779.0,6136168.0,6242183.0,6347952.0,6454005.0,6559634.0,6666102.0,6773195.0,6879414.0,6984958.0,7090552.0,7196043.0,7301344.0,7408051.0
4,982,807,hulkenberg,4,14,5,Engine,182420,383519,573510,754452,883556,1010573,1137489,1264297,1391284.0,1517864.0,1654155.0,1826971.0,2010826.0,2185936.0,2312978.0,2438776.0,2563518.0,2687622.0,2811875.0,2935872.0,3059361.0,3182142.0,3304038.0,3425767.0,3547533.0,3668444.0,3789133.0,3916562.0,4056136.0,4169785.0,4281889.0,4394636.0,4505804.0,4615974.0,4725482.0,4834214.0,4942225.0,5086449.0,5307418.0,5432711.0,5600810.0,5715163.0,5825225.0,5933827.0,6042502.0,6150966.0,6259968.0,6379835.0,,,,,,,,,,
5,982,815,perez,10,5,1,Finished,183788,384725,574899,755018,884821,1012778,1141008,1269304,1396946.0,1524798.0,1670222.0,1849823.0,2011504.0,2186679.0,2314167.0,2439969.0,2564808.0,2689169.0,2813456.0,2937476.0,3061072.0,3183873.0,3306047.0,3428298.0,3550121.0,3671314.0,3791804.0,3919062.0,4059844.0,4174969.0,4288697.0,4402901.0,4514704.0,4625113.0,4734587.0,4843207.0,4951857.0,5099024.0,5262736.0,5412075.0,5598767.0,5710514.0,5819253.0,5927477.0,6035458.0,6142833.0,6250285.0,6357233.0,6464291.0,6571405.0,6678192.0,6784923.0,6892008.0,6998758.0,7105937.0,7213250.0,7321222.0,7428903.0
7,982,822,bottas,131,3,1,Finished,185029,386064,576109,755851,887946,1016622,1144505,1272903,1401004.0,1528804.0,1670813.0,1834921.0,2009020.0,2184838.0,2309750.0,2433836.0,2557094.0,2680049.0,2802190.0,2924875.0,3048456.0,3171086.0,3292724.0,3414756.0,3536855.0,3658824.0,3780930.0,3909818.0,4054239.0,4168485.0,4280603.0,4392644.0,4502711.0,4611729.0,4719967.0,4828068.0,4936066.0,5075111.0,5240379.0,5408477.0,5596658.0,5708223.0,5816994.0,5924331.0,6031147.0,6137699.0,6243664.0,6350023.0,6457279.0,6564401.0,6670119.0,6776061.0,6881726.0,6987131.0,7092847.0,7199347.0,7305618.0,7412344.0
12,982,835,jolyon_palmer,4,6,1,Finished,186098,387494,577436,756256,886403,1014925,1143249,1271873,1399984.0,1527567.0,1668726.0,1840660.0,2013405.0,2187402.0,2315528.0,2441417.0,2566749.0,2691429.0,2816026.0,2939931.0,3063881.0,3186798.0,3308924.0,3430634.0,3552110.0,3673421.0,3793988.0,3914165.0,4042543.0,4187571.0,4300267.0,4412798.0,4523808.0,4634615.0,4743861.0,4852701.0,4961514.0,5113797.0,5280232.0,5413603.0,5599439.0,5712046.0,5820942.0,5929190.0,6037342.0,6144998.0,6252219.0,6359443.0,6466408.0,6573293.0,6680206.0,6786928.0,6893977.0,7001245.0,7108454.0,7215681.0,7322576.0,7430803.0
14,982,838,vandoorne,1,7,1,Finished,188767,390198,579375,756942,888833,1018047,1147056,1276026,1404936.0,1532956.0,1676583.0,1849384.0,2015581.0,2188684.0,2317582.0,2444275.0,2570473.0,2695872.0,2820671.0,2945777.0,3068995.0,3191820.0,3314212.0,3436209.0,3558304.0,3679038.0,3806739.0,3956281.0,4070657.0,4188308.0,4301510.0,4414176.0,4525300.0,4635722.0,4745507.0,4854921.0,4963646.0,5115957.0,5282785.0,5416549.0,5599818.0,5713090.0,5822421.0,5930975.0,6039273.0,6146937.0,6254751.0,6362703.0,6470063.0,6577559.0,6684831.0,6792179.0,6899304.0,7006220.0,7113184.0,7220003.0,7326725.0,7433932.0
15,982,839,ocon,10,10,1,Finished,189869,391069,580086,757461,890240,1020442,1150301,1279573,1410115.0,1539075.0,1688904.0,1871942.0,2018793.0,2190848.0,2321383.0,2452574.0,2580027.0,2704986.0,2830157.0,2955441.0,3080376.0,3204600.0,3329044.0,3454024.0,3577384.0,3700010.0,3829577.0,3971135.0,4087082.0,4200879.0,4313314.0,4424495.0,4536584.0,4646516.0,4756155.0,4865214.0,4973932.0,5137901.0,5317058.0,5434541.0,5601018.0,5715697.0,5825941.0,5934775.0,6043430.0,6151967.0,6260877.0,6369580.0,6477291.0,6584987.0,6692790.0,6800467.0,6908554.0,7016462.0,7124508.0,7232317.0,7340197.0,7448339.0
11,982,832,sainz,5,4,1,Finished,192844,393066,581506,758504,891244,1021570,1151177,1280356,1407329.0,1534604.0,1677261.0,1843983.0,2009633.0,2185444.0,2312217.0,2437803.0,2562671.0,2686708.0,2810663.0,2935053.0,3057987.0,3180176.0,3301908.0,3423411.0,3544951.0,3666003.0,3794164.0,3939850.0,4058397.0,4174219.0,4288034.0,4402398.0,4514020.0,4624410.0,4733557.0,4842190.0,4950220.0,5096843.0,5260757.0,5410728.0,5598466.0,5709792.0,5818457.0,5926426.0,6033992.0,6141259.0,6248483.0,6355663.0,6462905.0,6569638.0,6676318.0,6782855.0,6889635.0,6996667.0,7103664.0,7211101.0,7318523.0,7426366.0
8,982,825,kevin_magnussen,210,13,5,Engine,194391,394271,582674,759176,892204,1023706,1155061,1286279,1416953.0,1548234.0,1702756.0,1890418.0,2026453.0,2192113.0,2321873.0,2451461.0,2578256.0,2703199.0,2828043.0,2954151.0,3079170.0,3203474.0,3328066.0,3460521.0,3609971.0,3730788.0,3849447.0,3967118.0,4082785.0,4197916.0,4311117.0,4422548.0,4536467.0,4648640.0,4760263.0,4870685.0,4979139.0,5147161.0,5329782.0,5449119.0,5601506.0,5716608.0,5830142.0,5937727.0,6045379.0,6154118.0,6262911.0,6371239.0,6479408.0,6619008.0,,,,,,,,
9,982,826,kvyat,5,16,3,Accident,196349,396433,584615,760618,893732,1025068,1156126,1287393,1418325.0,1548837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,982,4,alonso,1,17,130,Collision damage,198776,397365,586577,761174,895466,1029045,1164797,1315139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,982,840,stroll,3,8,1,Finished,200654,398696,587983,762394,896286,1029432,1157799,1288342,1419060.0,1549737.0,1696196.0,1865395.0,2014859.0,2188246.0,2317018.0,2443375.0,2569288.0,2694420.0,2819335.0,2948178.0,3072497.0,3196968.0,3321222.0,3444801.0,3568066.0,3697778.0,3845846.0,3963702.0,4078526.0,4193544.0,4307196.0,4419154.0,4530692.0,4641984.0,4752196.0,4862155.0,4971337.0,5129004.0,5294717.0,5418304.0,5600229.0,5714093.0,5823876.0,5932558.0,6041091.0,6149538.0,6258836.0,6366909.0,6474476.0,6582139.0,6689783.0,6797335.0,6905510.0,7013038.0,7120550.0,7228693.0,7336541.0,7445240.0
2,982,13,massa,3,11,1,Finished,202756,400095,589410,762832,896871,1030101,1161034,1291921,1422567.0,1554655.0,1704562.0,1870030.0,2016552.0,2189600.0,2319904.0,2450830.0,2590847.0,2736852.0,2860529.0,2984274.0,3108802.0,3232121.0,3355322.0,3488309.0,3638998.0,3761271.0,3880347.0,3997793.0,4112719.0,4225858.0,4337692.0,4449026.0,4560713.0,4670916.0,4781902.0,4893653.0,5015852.0,5198192.0,5330558.0,5449871.0,5601849.0,5716226.0,5826847.0,5935965.0,6044541.0,6153356.0,6262220.0,6370591.0,6478784.0,6587078.0,6694202.0,6801825.0,6909980.0,7018171.0,7127253.0,7234851.0,7343025.0,7450080.0
3,982,154,grosjean,210,9,1,Finished,204887,401949,591517,764405,899119,1031681,1165576,1295367,1424585.0,1555589.0,1705491.0,1871537.0,2018008.0,2190238.0,2320650.0,2447678.0,2574589.0,2700741.0,2825785.0,2952743.0,3077458.0,3201782.0,3325481.0,3450695.0,3576097.0,3698927.0,3828670.0,3970029.0,4086399.0,4200232.0,4312177.0,4423514.0,4534494.0,4644728.0,4754262.0,4863475.0,4972324.0,5130937.0,5296088.0,5420393.0,5600494.0,5714794.0,5824586.0,5933359.0,6041940.0,6150363.0,6259493.0,6367823.0,6476044.0,6583845.0,6691484.0,6799369.0,6907175.0,7014812.0,7122671.0,7230452.0,7338451.0,7446826.0
10,982,828,ericsson,15,15,3,Accident,209139,405086,594060,765371,900699,1033821,1167055,1301012,1433350.0,1564848.0,1718897.0,1884349.0,2030533.0,2193050.0,2324996.0,2456894.0,2585085.0,2711978.0,2838595.0,2964795.0,3090247.0,3215958.0,3340726.0,3465776.0,3590494.0,3715166.0,3846179.0,4026016.0,4154071.0,4276914.0,4411675.0,4554535.0,4668667.0,4783856.0,4896352.0,,,,,,,,,,,,,,,,,,,,,,,
