,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,1,12,12,12,12,12,13,14,14,14,13,13,13,13,12,11,11,11
1,bottas,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,8,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
2,raikkonen,3,4,4,10,8,7,7,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,9,8,8,7,7,7,7,4,2,11,11,11,11,11,11,10,9,9,8,8,8,8,8,7,7,7
3,max_verstappen,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,hulkenberg,5,5,5,7,6,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,2,2,2,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,leclerc,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,grosjean,7,7,7,14,14,15,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,11,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,12,11,11,10,12,14,10,10,10,10,10,10,9,10,10,9,9,9,9,9,9,9,9
7,gasly,8,8,9,17,17,18,16,15,14,14,14,14,14,12,12,12,12,10,10,10,10,10,10,9,9,9,11,9,9,9,9,9,9,9,9,9,9,9,8,7,6,6,6,6,6,8,12,8,8,8,9,8,8,8,8,8,7,7,7,7,7,0,0,0
8,sainz,9,9,10,12,11,10,9,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,12,12,9,8,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,10,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5
9,kevin_magnussen,10,10,8,2,4,6,6,12,16,16,16,16,16,15,15,15,15,15,15,16,16,16,16,16,16,14,14,12,11,12,12,12,12,13,13,13,13,13,13,12,12,11,12,12,13,14,11,6,6,7,8,9,9,11,11,12,11,11,11,11,11,10,10,10
10,perez,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,giovinazzi,12,11,12,15,15,12,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,7,6,13,13,13,13,13,12,12,12,11,10,10,10,10,10,8,8,8
12,ricciardo,13,13,13,16,16,16,14,13,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,vettel,14,12,17,11,10,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,11,11,10,8,7,8,8,8,8,8,8,8,8,8,8,7,6,7,10,10,10,9,5,3,9,9,9,7,7,7,6,6,6,5,5,5,4,4,3,2,2
14,stroll,15,14,11,5,7,9,13,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,14,14,14,14,11,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4
15,albon,16,15,18,13,13,11,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,6,5,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,9,13,7,7,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6
16,kvyat,17,16,16,18,18,17,15,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,13,13,12,11,12,11,11,11,11,11,11,11,11,11,11,10,10,9,9,9,12,13,7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3
17,russell,18,18,15,9,12,14,17,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,11,10,9,14,14,14,14,14,14,13,13,13,12,12,12,12,13,12,12,12
18,norris,19,17,14,8,9,13,18,16,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
