,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
9,156,30,michael_schumacher,6,2,1,Finished,81434,157429,233607.0,309795.0,387448.0,463853.0,540102.0,616605.0,693029.0,769220.0,845254.0,921166.0,997201.0,1073121.0,1148952.0,1225156.0,1301068.0,1377434.0,1453243.0,1528833.0,1604395.0,1679800.0,1754978.0,1830332.0,1905770.0,1980695.0,2055734.0,2130729.0,2205904.0,2280926.0,2355770.0,2430611.0,2506080.0,2582471.0,2658015.0,2733471.0,2810778.0,2886054.0,2990686.0,3070144.0,3145718.0,3221561.0,3297503.0,3373790.0,3450028.0,3526994.0,3603696.0,3680554.0,3758049.0,3834483.0,3911342.0,3987902.0,4064142.0,4140556.0,4216453.0,4292153.0,4367589.0,4442968.0,4519020.0,4594201.0,4669411.0,4744730.0,4820223.0,4895388.0,4970555.0,5045926.0,5121055.0,5196238.0,5271567.0,5347457.0,5422991.0,5498307.0,5573886.0
10,156,31,montoya,3,18,9,Hydraulics,82293,158689,236379.0,313438.0,390701.0,467205.0,543925.0,620310.0,696471.0,772517.0,848801.0,924777.0,1000780.0,1076611.0,1152756.0,1228898.0,1304517.0,1380045.0,1455506.0,1530950.0,1606182.0,1681254.0,1756252.0,1831179.0,1906378.0,1981649.0,2056617.0,2131645.0,2206699.0,2281633.0,2356467.0,2431833.0,2506341.0,2581263.0,2655711.0,2762158.0,2841790.0,2920105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,156,22,barrichello,6,15,5,Engine,82691,158832,234553.0,310357.0,386625.0,461980.0,537571.0,613038.0,688709.0,763977.0,839344.0,914523.0,989790.0,1065034.0,1140439.0,1216052.0,1292139.0,1367592.0,1442760.0,1517865.0,1592632.0,1667589.0,1742542.0,1817888.0,1893237.0,1968121.0,2069863.0,2148668.0,2223779.0,2299216.0,2374565.0,2449934.0,2525672.0,2601104.0,2676549.0,2751962.0,2827395.0,2903286.0,2978553.0,3053833.0,3129276.0,3204459.0,3280325.0,3355633.0,3430554.0,3505765.0,3580394.0,3655287.0,3729975.0,3830699.0,3909542.0,3984882.0,4060302.0,4135724.0,4211358.0,4286751.0,4362172.0,4437420.0,4512434.0,4587455.0,4662403.0,4737996.0,4813124.0,4888106.0,4962969.0,5037920.0,5113006.0,5190182.0,5268649.0,5347567.0,5427043.0,,
8,156,23,ralf_schumacher,3,20,20,Spun off,83273,159864,236721.0,313741.0,391273.0,467997.0,544608.0,621243.0,697674.0,774030.0,850376.0,926188.0,1002536.0,1078324.0,1154359.0,1230424.0,1306334.0,1382073.0,1457669.0,1532868.0,1608035.0,1682741.0,1757704.0,1863605.0,1942568.0,2017723.0,2093925.0,2170506.0,2247116.0,2324018.0,2401580.0,2478520.0,2555596.0,2634256.0,2711213.0,2788459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,156,57,hakkinen,1,1,1,Finished,84111,160610,237530.0,314488.0,391869.0,468758.0,545593.0,622412.0,699185.0,775677.0,852178.0,928433.0,1004734.0,1080877.0,1157270.0,1233884.0,1310297.0,1386607.0,1462673.0,1538452.0,1614155.0,1689761.0,1765464.0,1841001.0,1916292.0,1991466.0,2066519.0,2141606.0,2216687.0,2291876.0,2367185.0,2442222.0,2517663.0,2592920.0,2668256.0,2743673.0,2819122.0,2894318.0,2969030.0,3043977.0,3119612.0,3195632.0,3270349.0,3345018.0,3419499.0,3521647.0,3600863.0,3676593.0,3751988.0,3827564.0,3903406.0,3979418.0,4055221.0,4131099.0,4207298.0,4283345.0,4358865.0,4434157.0,4509350.0,4584637.0,4660164.0,4735191.0,4810207.0,4885062.0,4960081.0,5035088.0,5110018.0,5184910.0,5259686.0,5334919.0,5410099.0,5485650.0,5562840.0
3,156,14,coulthard,1,3,1,Finished,84570,161527,238366.0,315624.0,392771.0,469841.0,546742.0,623615.0,700700.0,777414.0,854123.0,930399.0,1007262.0,1083562.0,1160155.0,1236557.0,1312913.0,1389139.0,1465317.0,1541423.0,1617238.0,1692980.0,1768524.0,1844160.0,1919727.0,1994993.0,2070386.0,2145740.0,2220933.0,2296122.0,2371339.0,2446375.0,2521768.0,2597167.0,2672351.0,2747532.0,2823341.0,2898643.0,2973284.0,3048310.0,3123282.0,3198936.0,3302104.0,3380795.0,3456175.0,3531707.0,3607862.0,3684349.0,3760964.0,3838022.0,3914938.0,3991192.0,4067554.0,4143673.0,4219692.0,4295331.0,4370826.0,4446200.0,4521770.0,4596926.0,4672025.0,4747425.0,4822488.0,4897518.0,4972636.0,5048454.0,5123392.0,5198320.0,5273333.0,5348725.0,5425471.0,5500211.0,5574883.0
16,156,55,alesi,17,7,11,+1 Lap,85958,164777,242420.0,319587.0,396971.0,474548.0,551920.0,629286.0,706920.0,784284.0,860921.0,937522.0,1014442.0,1091279.0,1168185.0,1244941.0,1321514.0,1398024.0,1474369.0,1550717.0,1626786.0,1702916.0,1779032.0,1855150.0,1931120.0,2007310.0,2083141.0,2159099.0,2234830.0,2310766.0,2386647.0,2462509.0,2538947.0,2615285.0,2691409.0,2767805.0,2844494.0,2921053.0,3027910.0,3108449.0,3184628.0,3261374.0,3337803.0,3414319.0,3490990.0,3567569.0,3644316.0,3720942.0,3797580.0,3874060.0,3950713.0,4027175.0,4103737.0,4180259.0,4256446.0,4332266.0,4408003.0,4483500.0,4559015.0,4634562.0,4710133.0,4786277.0,4861476.0,4936706.0,5012220.0,5087530.0,5163004.0,5238374.0,5313860.0,5389525.0,5465349.0,5541812.0,5620263.0
0,156,2,heidfeld,15,6,1,Finished,85997,162132,238836.0,316064.0,393178.0,470311.0,547442.0,624067.0,701243.0,777854.0,854616.0,930920.0,1007630.0,1084053.0,1160703.0,1237250.0,1313825.0,1389909.0,1465968.0,1541993.0,1618045.0,1693812.0,1769417.0,1845036.0,1920520.0,1995906.0,2097052.0,2175589.0,2250758.0,2326134.0,2401902.0,2478858.0,2555886.0,2632715.0,2708721.0,2790909.0,2871491.0,2949084.0,3025506.0,3101649.0,3177487.0,3253561.0,3329092.0,3404703.0,3480155.0,3555647.0,3631452.0,3732959.0,3812260.0,3887921.0,3964005.0,4040513.0,4116920.0,4193512.0,4271148.0,4347694.0,4423954.0,4499776.0,4575566.0,4651292.0,4727367.0,4803430.0,4879136.0,4955142.0,5030976.0,5106729.0,5182530.0,5258028.0,5333535.0,5409083.0,5484559.0,5559932.0,5635836.0
2,156,8,raikkonen,15,22,30,Driveshaft,86103,197621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,156,21,fisichella,22,8,11,+1 Lap,86742,165555,242929.0,320225.0,397708.0,475404.0,553114.0,631339.0,709286.0,787329.0,865288.0,943289.0,1022371.0,1101354.0,1180170.0,1258533.0,1336490.0,1414179.0,1491496.0,1568583.0,1645401.0,1722259.0,1799023.0,1875648.0,1952350.0,2029217.0,2105619.0,2182070.0,2258248.0,2334448.0,2410600.0,2486893.0,2563076.0,2639248.0,2715457.0,2791942.0,2869719.0,2945572.0,3021116.0,3096573.0,3199792.0,3281465.0,3357878.0,3434402.0,3510731.0,3588341.0,3665502.0,3742603.0,3819763.0,3896907.0,3974182.0,4051579.0,4129011.0,4206602.0,4284952.0,4361864.0,4439283.0,4515901.0,4592438.0,4668707.0,4746749.0,4824485.0,4900452.0,4977010.0,5053316.0,5129276.0,5205252.0,5281215.0,5357553.0,5433637.0,5509819.0,5585344.0,
