,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
5,873.0,8.0,raikkonen,6.0,1.0,Finished,129239.0,248983.0,367670.0,485861.0,604222.0,722518.0,840770.0,959407.0,1077879.0,1196532.0,1315595.0,1433220.0,1559529.0,1695371.0,1812127.0,1928438.0,2044691.0,2161188.0,2277663.0,2394541.0,2511096.0,2627607.0,2744983.0,2861427.0,2977704.0,3093695.0,3210071.0,3327175.0,3444444.0,3561714.0,3679718.0,3804892.0,3964492.0,4106309.0,4244715.0,4410202.0,4570435.0,4731307.0,4850901.0,4993828.0,5150010.0,5309805.0,5426801.0,5542680.0,5657543.0,5772666.0,5887798.0,6002118.0,6116573.0,6230985.0,6345446.0,6460006.0,6573791.0,6688425.0,6802559.0,6916713.0,7031377.0,7146042.0,7261903.0
16,873.0,807.0,hulkenberg,14.0,1.0,Finished,129648.0,249602.0,368397.0,486779.0,605011.0,723272.0,841668.0,960052.0,1078558.0,1197346.0,1316479.0,1435394.0,1553393.0,1671386.0,1791014.0,1909048.0,2028723.0,2156030.0,2291864.0,2406358.0,2521003.0,2635621.0,2750790.0,2866218.0,2981787.0,3096891.0,3213190.0,3328912.0,3445578.0,3562597.0,3680742.0,3798596.0,3938588.0,4080762.0,4233991.0,4403289.0,4563522.0,4727877.0,4847033.0,4997234.0,5157967.0,5314693.0,5433435.0,5548828.0,5665441.0,5780989.0,5897517.0,6013793.0,6130190.0,6281831.0,6420517.0,6531550.0,6642651.0,6754402.0,6866159.0,6980489.0,7095469.0,7211125.0,7325557.0
21,873.0,815.0,perez,10.0,1.0,Finished,130182.0,250079.0,368840.0,487296.0,605740.0,724003.0,842350.0,960732.0,1079305.0,1198168.0,1318047.0,1436637.0,1555202.0,1674001.0,1793365.0,1912116.0,2032343.0,2159964.0,2296517.0,2411385.0,2527276.0,2643469.0,2759548.0,2875998.0,2991687.0,3108284.0,3224608.0,3341015.0,3457504.0,3574240.0,3691444.0,3807881.0,3947997.0,4089881.0,4237525.0,4405215.0,4565432.0,4728823.0,4850683.0,4999740.0,5160532.0,5314993.0,5433731.0,5549354.0,5665985.0,5781384.0,5897957.0,6014139.0,6130815.0,6246061.0,6359850.0,6473581.0,6587307.0,6701060.0,6816002.0,6930295.0,7045089.0,7160034.0,7276763.0
22,873.0,817.0,ricciardo,9.0,1.0,Finished,130715.0,251170.0,370418.0,489464.0,607914.0,728526.0,847241.0,965760.0,1085175.0,1205451.0,1332388.0,1472363.0,1590571.0,1708899.0,1826185.0,1944912.0,2061581.0,2177649.0,2294160.0,2410517.0,2526584.0,2642642.0,2759008.0,2874852.0,2991103.0,3107628.0,3224023.0,3340358.0,3456817.0,3573714.0,3698376.0,3838334.0,3980586.0,4111413.0,4245369.0,4410920.0,4571539.0,4732566.0,4851693.0,4994746.0,5150502.0,5310622.0,5427770.0,5544105.0,5660609.0,5777601.0,5892992.0,6008368.0,6123462.0,6238157.0,6352605.0,6467071.0,6581338.0,6695889.0,6810801.0,6925845.0,7040906.0,7156025.0,7271964.0
23,873.0,818.0,vergne,20.0,4.0,Collision,131425.0,251957.0,371061.0,490132.0,608637.0,727521.0,845368.0,963367.0,1081369.0,1199882.0,1319928.0,1446974.0,1585869.0,1702422.0,1818977.0,1934526.0,2050860.0,2166923.0,2282984.0,2398969.0,2515168.0,2631615.0,2748348.0,2872413.0,3008060.0,3122881.0,3236624.0,3350134.0,3465344.0,3579945.0,3694893.0,3810796.0,3952773.0,4095731.0,4242240.0,4408619.0,4568273.0,4730461.0,,,,,,,,,,,,,,,,,,,,,
4,873.0,5.0,kovalainen,15.0,1.0,Finished,132024.0,252601.0,372111.0,491302.0,610200.0,729374.0,848451.0,969534.0,1088684.0,1208330.0,1328094.0,1457474.0,1596659.0,1714866.0,1832060.0,1949163.0,2066422.0,2183761.0,2301188.0,2418151.0,2535483.0,2652753.0,2771336.0,2889176.0,3007429.0,3133860.0,3272113.0,3388506.0,3505275.0,3621610.0,3738128.0,3861035.0,4003655.0,4124011.0,4248142.0,4414029.0,4574271.0,4734216.0,4853673.0,4997463.0,5153453.0,5312530.0,5432761.0,5553893.0,5679541.0,5816784.0,5931890.0,6047123.0,6163683.0,6280560.0,6396257.0,6511851.0,6628386.0,6744566.0,6860542.0,6977449.0,7095079.0,7217141.0,7334111.0
6,873.0,10.0,glock,12.0,1.0,Finished,132614.0,253394.0,373125.0,493345.0,612511.0,731835.0,851063.0,973759.0,1094945.0,1215537.0,1335269.0,1455645.0,1583583.0,1724142.0,1844002.0,1964239.0,2085334.0,2206257.0,2324688.0,2442357.0,2560333.0,2678333.0,2796900.0,2916204.0,3042198.0,3184640.0,3301490.0,3417954.0,3534347.0,3650404.0,3766912.0,3898014.0,4040388.0,4160854.0,4280356.0,4416697.0,4578668.0,4736019.0,4855138.0,4999361.0,5155379.0,5313622.0,5434937.0,5554351.0,5672996.0,5791480.0,5908954.0,6026246.0,6143993.0,6262340.0,6379532.0,6496898.0,6613911.0,6730837.0,6847884.0,6965028.0,7082139.0,7200184.0,7318062.0
18,873.0,811.0,bruno_senna,18.0,31.0,Retired,133184.0,253952.0,373655.0,492245.0,611435.0,730086.0,848996.0,967901.0,1085814.0,1212853.0,1350617.0,1467571.0,1583510.0,1700557.0,1816181.0,1931228.0,2046834.0,2162714.0,2278990.0,2395758.0,2512165.0,2629072.0,2746836.0,2863461.0,2987502.0,3127322.0,3240932.0,3355023.0,3469746.0,3584358.0,3698779.0,3814770.0,3963740.0,4123327.0,4247145.0,4412504.0,4572790.0,4733152.0,4852288.0,4995729.0,5152236.0,5311241.0,5430745.0,5545613.0,5661811.0,5778225.0,5893782.0,6009563.0,6126571.0,6240747.0,6354635.0,6468802.0,6583151.0,6697386.0,6813404.0,6928138.0,7048980.0,,
15,873.0,155.0,kobayashi,13.0,1.0,Finished,133781.0,254776.0,374902.0,494449.0,613320.0,732628.0,851990.0,972842.0,1092561.0,1211166.0,1329816.0,1451090.0,1570690.0,1699318.0,1839646.0,1958427.0,2076237.0,2193497.0,2311096.0,2429068.0,2546352.0,2663381.0,2781462.0,2898540.0,3015808.0,3133903.0,3251540.0,3369259.0,3486557.0,3611437.0,3751116.0,3877441.0,4019664.0,4139867.0,4256740.0,4415421.0,4576041.0,4735124.0,4854188.0,4998309.0,5154616.0,5312831.0,5431392.0,5547535.0,5664190.0,5780073.0,5896410.0,6012689.0,6129098.0,6265272.0,6407591.0,6519281.0,6633259.0,6746829.0,6861636.0,6977980.0,7093110.0,7208459.0,7323285.0
24,873.0,819.0,pic,16.0,1.0,Finished,134889.0,257087.0,377973.0,498240.0,618481.0,737762.0,857120.0,977202.0,1097619.0,1217896.0,1337813.0,1457936.0,1579430.0,1700361.0,1823798.0,1952240.0,2091405.0,2209838.0,2328004.0,2446999.0,2565697.0,2685111.0,2803674.0,2922228.0,3040593.0,3159242.0,3277738.0,3396773.0,3515223.0,3634959.0,3756610.0,3894453.0,4071115.0,4230644.0,4350917.0,4467998.0,4584484.0,4736386.0,4856022.0,5000659.0,5155700.0,5314162.0,5435893.0,5555151.0,5673803.0,5792330.0,5909989.0,6027538.0,6145849.0,6264149.0,6382124.0,6499519.0,6617255.0,6735003.0,6853267.0,6972016.0,7092846.0,7217101.0,7359069.0
12,873.0,37.0,rosa,17.0,11.0,+1 Lap,136068.0,258496.0,379949.0,500934.0,622363.0,743238.0,864245.0,984824.0,1105580.0,1226201.0,1346457.0,1467487.0,1590222.0,1714025.0,1836303.0,1958055.0,2080232.0,2209003.0,2351229.0,2469661.0,2589363.0,2708078.0,2827873.0,2949226.0,3069077.0,3188675.0,3309270.0,3428891.0,3550879.0,3683425.0,3825921.0,3970894.0,4107976.0,4244075.0,4381934.0,4500688.0,4618638.0,4738074.0,4857970.0,5008423.0,5163002.0,5316057.0,5436390.0,5555691.0,5674332.0,5792994.0,5910962.0,6028633.0,6146782.0,6265334.0,6383667.0,6501821.0,6619921.0,6740443.0,6860158.0,6983926.0,7105458.0,7229571.0,
13,873.0,39.0,karthikeyan,23.0,3.0,Accident,136444.0,259070.0,381801.0,505087.0,628798.0,750516.0,870725.0,990453.0,1110461.0,1231284.0,1353184.0,1475713.0,1596237.0,1718554.0,1839342.0,1960669.0,2081859.0,2203206.0,2330782.0,2473630.0,2595251.0,2719452.0,2838890.0,2958090.0,3080546.0,3199053.0,3317873.0,3439802.0,3558949.0,3681817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,873.0,808.0,petrov,19.0,12.0,+2 Laps,147211.0,293013.0,411927.0,531181.0,649645.0,768001.0,886358.0,1004181.0,1122933.0,1242627.0,1363331.0,1483580.0,1603175.0,1723151.0,1843636.0,1963725.0,2085015.0,2213087.0,2352226.0,2470184.0,2587922.0,2705566.0,2824273.0,2944004.0,3065978.0,3185694.0,3303948.0,3420662.0,3537353.0,3661513.0,3801380.0,3942304.0,4086037.0,4235125.0,4356877.0,4474237.0,4591076.0,4736820.0,4856801.0,5007224.0,5378977.0,5494642.0,5610112.0,5725252.0,5841538.0,5958985.0,6075715.0,6193297.0,6310878.0,6427491.0,6544992.0,6663409.0,6784238.0,6906506.0,7024377.0,7141176.0,7259121.0,,
7,873.0,13.0,massa,8.0,1.0,Finished,174254.0,314938.0,431805.0,547469.0,663251.0,779018.0,894843.0,1010575.0,1126616.0,1243312.0,1361928.0,1479105.0,1597995.0,1717346.0,1836639.0,1954800.0,2072552.0,2190658.0,2316583.0,2451722.0,2566203.0,2682274.0,2797909.0,2914710.0,3029497.0,3144038.0,3259234.0,3373739.0,3488541.0,3604551.0,3718681.0,3835092.0,3984936.0,4126797.0,4248801.0,4414458.0,4574755.0,4734684.0,4852638.0,4996371.0,5152650.0,5311576.0,5429638.0,5544469.0,5660939.0,5775726.0,5889723.0,6004233.0,6118650.0,6233355.0,6348214.0,6462809.0,6577045.0,6691771.0,6806233.0,6921154.0,7036029.0,7151570.0,7268973.0
