,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
6,1054,822,bottas,131,3,1,Finished,84937,191812.0,334496.0,469827.0,591221.0,721593.0,805143.0,888621.0,971902.0,1055014.0,1138633.0,1221224.0,1304064.0,1386922.0,1469848.0,1552401.0,1635288.0,1718177.0,1801186.0,1885921.0,1969269.0,2052192.0,2134794.0,2217427.0,2299865.0,2382303.0,2464869.0,2547411.0,2629590.0,2712005.0,2794194.0,2876455.0,2958382.0,3040567.0,3122654.0,3208355.0,3315465.0,3397414.0,3479854.0,3561906.0,3643553.0,3724960.0,3806429.0,3887815.0,3968798.0,4050230.0,4131497.0,4212892.0,4294310.0,4376000.0,4457308.0,4538639.0,4619742.0,4702971.0,4786502.0,4867904.0,4949058.0,5030503.0,5112008.0,5192975.0,5274166.0,5355250.0,5440024.0,5544260.0,5624125.0,5704951.0
0,1054,1,hamilton,131,1,1,Finished,85806,194013.0,336637.0,471862.0,592572.0,722069.0,806819.0,889852.0,973403.0,1056447.0,1139598.0,1221881.0,1304957.0,1387575.0,1470498.0,1553154.0,1636271.0,1718993.0,1801723.0,1884842.0,1967854.0,2050475.0,2132875.0,2215362.0,2297695.0,2379833.0,2462413.0,2544408.0,2626491.0,2708688.0,2790622.0,2873060.0,2954673.0,3036586.0,3118654.0,3200897.0,3286423.0,3391572.0,3473434.0,3555265.0,3636759.0,3718249.0,3799629.0,3881109.0,3962592.0,4044524.0,4125457.0,4206942.0,4288284.0,4369891.0,4451055.0,4532307.0,4613483.0,4695187.0,4776337.0,4857624.0,4938932.0,5020146.0,5101341.0,5182447.0,5263431.0,5344693.0,5426358.0,5508261.0,5589410.0,5671421.0
7,1054,830,max_verstappen,9,2,1,Finished,86704,194979.0,337865.0,472954.0,593493.0,722129.0,806140.0,889306.0,972452.0,1056083.0,1140787.0,1223355.0,1306283.0,1389320.0,1472057.0,1554673.0,1637791.0,1720401.0,1802982.0,1886599.0,1970052.0,2053034.0,2135584.0,2218397.0,2300845.0,2383035.0,2465631.0,2548165.0,2630418.0,2712711.0,2795189.0,2877531.0,2959872.0,3041806.0,3127406.0,3231165.0,3313198.0,3394862.0,3476542.0,3558191.0,3640236.0,3721889.0,3803840.0,3885718.0,3966905.0,4048192.0,4129702.0,4211173.0,4292535.0,4374550.0,4456208.0,4537320.0,4618348.0,4700059.0,4781516.0,4862953.0,4944193.0,5025281.0,5106460.0,5187612.0,5268602.0,5349297.0,5430534.0,5515805.0,5620720.0,5700569.0
8,1054,832,sainz,6,11,1,Finished,88400,197328.0,338784.0,474478.0,594717.0,722627.0,810902.0,895231.0,979670.0,1063670.0,1147682.0,1230878.0,1314532.0,1398516.0,1482474.0,1566201.0,1649993.0,1733558.0,1817203.0,1900855.0,1988165.0,2092413.0,2176064.0,2260069.0,2343141.0,2426577.0,2510299.0,2593845.0,2677297.0,2760687.0,2844048.0,2927064.0,3010112.0,3092816.0,3176024.0,3259037.0,3343998.0,3426823.0,3509916.0,3592653.0,3675518.0,3758700.0,3841622.0,3926040.0,4008854.0,4091305.0,4174203.0,4257070.0,4339908.0,4422854.0,4505604.0,4588220.0,4671748.0,4754182.0,4836864.0,4919266.0,5001855.0,5085710.0,5168622.0,5250947.0,5333481.0,5416065.0,5499035.0,5582916.0,5666989.0,5750376.0
4,1054,815,perez,9,4,1,Finished,89236,198338.0,340065.0,475314.0,595785.0,722877.0,809990.0,893879.0,977752.0,1061490.0,1145226.0,1228675.0,1312022.0,1395640.0,1479659.0,1562698.0,1645696.0,1728431.0,1811388.0,1894392.0,1977870.0,2060567.0,2143388.0,2226149.0,2309130.0,2391616.0,2474383.0,2556816.0,2639275.0,2721593.0,2804539.0,2886997.0,2969063.0,3050791.0,3132918.0,3214957.0,3297100.0,3378987.0,3461300.0,3543366.0,3625509.0,3708175.0,3790334.0,3872470.0,3954930.0,4039015.0,4121230.0,4203922.0,4286358.0,4369619.0,4458427.0,4564618.0,4645961.0,4728539.0,4809182.0,4891557.0,4973595.0,5055824.0,5137722.0,5219933.0,5302338.0,5384142.0,5465491.0,5547769.0,5629390.0,5711156.0
14,1054,846,norris,1,5,1,Finished,89671,200230.0,340951.0,477382.0,596427.0,723120.0,808992.0,892612.0,976561.0,1060407.0,1144222.0,1227542.0,1310961.0,1394962.0,1480920.0,1564652.0,1648423.0,1732059.0,1815689.0,1899171.0,1983005.0,2069878.0,2175413.0,2258500.0,2341932.0,2425154.0,2508452.0,2591660.0,2675018.0,2758109.0,2841348.0,2924432.0,3007481.0,3090268.0,3173226.0,3256246.0,3338925.0,3421570.0,3504510.0,3587070.0,3669873.0,3752727.0,3834658.0,3917252.0,3999871.0,4082261.0,4164478.0,4246559.0,4328622.0,4411181.0,4493356.0,4575198.0,4657199.0,4739595.0,4821291.0,4903018.0,4985166.0,5067106.0,5148940.0,5231006.0,5313160.0,5394977.0,5476724.0,5558770.0,5640487.0,5722790.0
9,1054,839,ocon,214,7,1,Finished,90419,202063.0,342742.0,478711.0,598474.0,723327.0,812165.0,897269.0,981739.0,1066121.0,1150050.0,1233973.0,1317694.0,1401568.0,1485360.0,1569150.0,1653004.0,1736804.0,1820687.0,1904730.0,1988453.0,2075742.0,2182953.0,2267675.0,2350452.0,2433823.0,2516629.0,2599626.0,2682656.0,2765578.0,2848501.0,2931641.0,3014729.0,3096615.0,3179297.0,3262212.0,3345015.0,3427803.0,3510669.0,3593354.0,3676123.0,3759329.0,3842193.0,3924757.0,4007330.0,4089658.0,4172085.0,4254345.0,4336735.0,4419318.0,4501633.0,4583722.0,4666198.0,4748761.0,4831249.0,4913415.0,4995750.0,5078040.0,5159994.0,5241924.0,5323854.0,5405994.0,5488100.0,5570624.0,5652884.0,5735170.0
13,1054,844,leclerc,6,6,1,Finished,90736,203429.0,344612.0,480073.0,599917.0,723505.0,811648.0,896296.0,980760.0,1064984.0,1148814.0,1232368.0,1316128.0,1399921.0,1483775.0,1567598.0,1651480.0,1735222.0,1819336.0,1903353.0,1987272.0,2070804.0,2154257.0,2237689.0,2325003.0,2430766.0,2513577.0,2596625.0,2679513.0,2762194.0,2845082.0,2928274.0,3011300.0,3093848.0,3176936.0,3259926.0,3342635.0,3425198.0,3507936.0,3590470.0,3673031.0,3755584.0,3838631.0,3921120.0,4003214.0,4085129.0,4167267.0,4249724.0,4331923.0,4414266.0,4496225.0,4578721.0,4661008.0,4743117.0,4824858.0,4906676.0,4988798.0,5070664.0,5152580.0,5234219.0,5315845.0,5397668.0,5479164.0,5561500.0,5643473.0,5727202.0
12,1054,842,gasly,213,10,1,Finished,91557,205112.0,346206.0,481623.0,601280.0,723665.0,813077.0,898248.0,982672.0,1067062.0,1151050.0,1234931.0,1318652.0,1402608.0,1486554.0,1570529.0,1654355.0,1737948.0,1821809.0,1905618.0,1989333.0,2073060.0,2156376.0,2243933.0,2349448.0,2432326.0,2515336.0,2598335.0,2681662.0,2764665.0,2847774.0,2930939.0,3014143.0,3098264.0,3181472.0,3264516.0,3347311.0,3430252.0,3513213.0,3596068.0,3679123.0,3762268.0,3845134.0,3928491.0,4010906.0,4093455.0,4176249.0,4262378.0,4345904.0,4428509.0,4511516.0,4594022.0,4676575.0,4759142.0,4841514.0,4923901.0,5006096.0,5088870.0,5171694.0,5254241.0,5336395.0,5418614.0,5500933.0,5583438.0,5665452.0,5747884.0
3,1054,20,vettel,117,13,11,+1 Lap,91907,207235.0,348579.0,483313.0,602466.0,723800.0,813576.0,899304.0,983616.0,1067982.0,1152124.0,1236042.0,1320154.0,1404275.0,1488166.0,1572236.0,1656112.0,1740842.0,1824761.0,1908928.0,1993144.0,2080608.0,2185864.0,2269631.0,2353366.0,2436707.0,2520404.0,2604381.0,2687949.0,2771388.0,2854924.0,2937938.0,3021054.0,3104177.0,3187545.0,3270789.0,3353869.0,3436986.0,3520085.0,3603503.0,3686579.0,3769651.0,3852876.0,3936089.0,4018938.0,4102004.0,4184893.0,4267682.0,4350604.0,4433338.0,4515901.0,4598372.0,4681435.0,4764232.0,4846815.0,4930291.0,5013155.0,5096325.0,5179779.0,5262195.0,5346207.0,5428999.0,5513555.0,5596439.0,5679629.0,
