,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
9,145,30,michael_schumacher,6,1,1,Finished,86078,168771,251380,333922,416634,499231.0,582068.0,664903.0,747765.0,830531.0,912773.0,995404.0,1078093.0,1160317.0,1242778.0,1324974.0,1407082.0,1490697.0,1572529.0,1654697.0,1737179.0,1820377.0,1906406.0,2010343.0,2091494.0,2173293.0,2255519.0,2338337.0,2420706.0,2503763.0,2585858.0,2668305.0,2751353.0,2833642.0,2915753.0,2997758.0,3079951.0,3161982.0,3244614.0,3326803.0,3408685.0,3490288.0,3576876.0,3681892.0,3764389.0,3847423.0,3930166.0,4012798.0,4096124.0,4179018.0,4262298.0,4345445.0,4428700.0,4512075.0,4596296.0,4681307.0,4767103.0,4852215.0,4937889.0,5024089.0,5111358.0,5199458.0,5288249.0,5377116.0,5463305.0
19,145,57,hakkinen,1,9,8,Clutch,86742,169934,252675,335567,418550,501187.0,584014.0,666807.0,749617.0,832514.0,915030.0,997384.0,1079855.0,1162153.0,1244556.0,1327024.0,1409415.0,1492293.0,1574573.0,1656683.0,1739282.0,1822102.0,1904428.0,1986069.0,2067820.0,2149667.0,2235783.0,2340846.0,2423225.0,2506084.0,2588838.0,2671519.0,2754180.0,2836672.0,2919239.0,3001465.0,3083574.0,3165881.0,3247896.0,3330448.0,3412850.0,3495045.0,3577368.0,3660187.0,3742987.0,3824501.0,3906603.0,3988155.0,4069523.0,4154962.0,4258726.0,4340182.0,4422304.0,4505242.0,4587068.0,4668919.0,4752027.0,4835401.0,4917682.0,5000388.0,5083385.0,5167258.0,5250384.0,5334548.0,
7,145,22,barrichello,6,17,22,Suspension,88169,171380,254191,337217,420392,503277.0,586267.0,670175.0,753071.0,836091.0,918811.0,1001214.0,1084184.0,1166905.0,1249535.0,1331964.0,1414267.0,1496997.0,1580392.0,1663540.0,1746327.0,1828883.0,1911565.0,1994385.0,2081231.0,2186201.0,2267921.0,2350494.0,2433020.0,2515497.0,2598317.0,2681355.0,2764189.0,2848226.0,2931487.0,3014449.0,3098132.0,3180851.0,3263742.0,3346762.0,3429799.0,3512872.0,3595854.0,3683062.0,3791173.0,3873525.0,3956205.0,4056259.0,4196263.0,,,,,,,,,,,,,,,,
8,145,23,ralf_schumacher,3,19,23,Brakes,89610,173509,256777,340116,423518,507017.0,590573.0,674009.0,757733.0,841292.0,924358.0,1007807.0,1091747.0,1174651.0,1257433.0,1339951.0,1422373.0,1505002.0,1587364.0,1669737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,145,15,trulli,17,4,1,Finished,90376,174660,259062,342814,426533,510119.0,593884.0,677276.0,760811.0,844292.0,927699.0,1011062.0,1094724.0,1178295.0,1261773.0,1344991.0,1428172.0,1511496.0,1595562.0,1680483.0,1768326.0,1876559.0,1960873.0,2043960.0,2127365.0,2211355.0,2295034.0,2378751.0,2462147.0,2545851.0,2629580.0,2713377.0,2797092.0,2880760.0,2964844.0,3048323.0,3131883.0,3215107.0,3298431.0,3385538.0,3492445.0,3576458.0,3662054.0,3746788.0,3831374.0,3915235.0,3999081.0,4083326.0,4167491.0,4251408.0,4336043.0,4420867.0,4505032.0,4590057.0,4673980.0,4758212.0,4842817.0,4927224.0,5010943.0,5094453.0,5177997.0,5261829.0,5346152.0,5429946.0,5514557.0
10,145,31,montoya,3,2,1,Finished,91507,175984,260299,344186,428277,512062.0,596041.0,679642.0,763342.0,847057.0,930204.0,1013300.0,1096566.0,1180039.0,1263480.0,1346675.0,1429561.0,1512749.0,1596406.0,1680921.0,1768720.0,1874847.0,1958681.0,2041774.0,2124800.0,2208100.0,2291503.0,2375010.0,2458537.0,2541509.0,2625052.0,2708670.0,2792755.0,2875940.0,2958982.0,3042134.0,3125488.0,3208607.0,3291448.0,3374451.0,3461365.0,3569821.0,3654055.0,3738001.0,3822370.0,3907777.0,3992177.0,4076342.0,4160719.0,4244339.0,4328036.0,4411778.0,4495717.0,4579665.0,4663854.0,4747513.0,4831064.0,4914702.0,4998461.0,5082177.0,5168212.0,5252319.0,5336178.0,5420404.0,5504042.0
11,145,35,villeneuve,16,3,1,Finished,91911,176781,260896,345155,429089,512875.0,597122.0,681121.0,765221.0,849447.0,933276.0,1016486.0,1099792.0,1183531.0,1266837.0,1350420.0,1433385.0,1516829.0,1599857.0,1683308.0,1766914.0,1849427.0,1936582.0,2043125.0,2126544.0,2209670.0,2292888.0,2376394.0,2460076.0,2543887.0,2628172.0,2711905.0,2795677.0,2879501.0,2963478.0,3046699.0,3129723.0,3212866.0,3296091.0,3379398.0,3466850.0,3575733.0,3661501.0,3745846.0,3829918.0,3913674.0,3997307.0,4081065.0,4164628.0,4248649.0,4332504.0,4415923.0,4499329.0,4582676.0,4666341.0,4750670.0,4836667.0,4920535.0,5004098.0,5087401.0,5172205.0,5257013.0,5341167.0,5426884.0,5512930.0
0,145,2,heidfeld,15,6,1,Finished,92492,177886,262324,346562,430889,514854.0,599416.0,683782.0,768123.0,852604.0,936497.0,1020121.0,1103855.0,1187862.0,1271358.0,1354878.0,1438370.0,1522006.0,1605378.0,1689506.0,1773400.0,1857129.0,1940772.0,2029223.0,2133050.0,2215788.0,2298744.0,2381976.0,2465287.0,2548684.0,2632609.0,2716162.0,2799557.0,2882912.0,2966645.0,3050367.0,3133616.0,3216931.0,3304528.0,3411811.0,3496998.0,3580976.0,3665128.0,3750080.0,3834968.0,3919889.0,4003916.0,4088036.0,4172163.0,4256161.0,4341357.0,4425704.0,4510169.0,4595066.0,4679242.0,4763843.0,4848474.0,4932771.0,5018288.0,5103911.0,5188448.0,5272808.0,5356615.0,5440517.0,5525197.0
18,145,56,irvine,19,18,5,Engine,93784,179685,265026,350410,435760,520291.0,604522.0,688975.0,772907.0,856887.0,940608.0,1024386.0,1108149.0,1191802.0,1275623.0,1359032.0,1442479.0,1526006.0,1609344.0,1693224.0,1777187.0,1861282.0,1943850.0,2030911.0,2140298.0,2224448.0,2308432.0,2392154.0,2476087.0,2559934.0,2644055.0,2727998.0,2811774.0,2895565.0,2980828.0,3064318.0,3147566.0,3231009.0,3314372.0,3397449.0,3480532.0,3563745.0,3646646.0,3729527.0,3816261.0,3924888.0,4009036.0,4094212.0,,,,,,,,,,,,,,,,,
2,145,8,raikkonen,15,8,1,Finished,94076,180105,265880,351470,437074,521999.0,606587.0,691006.0,775074.0,859222.0,943332.0,1027172.0,1110802.0,1194819.0,1278864.0,1362400.0,1446255.0,1530048.0,1613673.0,1697317.0,1780695.0,1863929.0,1951823.0,2057460.0,2140854.0,2225037.0,2308942.0,2392726.0,2476808.0,2560603.0,2644583.0,2728645.0,2812377.0,2895960.0,2981230.0,3065127.0,3148503.0,3236330.0,3343913.0,3426962.0,3510393.0,3594789.0,3681025.0,3766884.0,3851660.0,3935721.0,4020900.0,4105297.0,4189447.0,4273526.0,4357789.0,4441814.0,4526817.0,4611213.0,4695393.0,4779602.0,4864738.0,4948857.0,5033029.0,5117349.0,5202230.0,5287004.0,5371826.0,5456787.0,5543112.0
13,145,44,panis,16,7,1,Finished,94379,180220,265334,350627,436035,520934.0,605515.0,689748.0,774035.0,858183.0,942085.0,1025794.0,1109329.0,1193801.0,1277587.0,1360924.0,1444187.0,1527610.0,1610998.0,1694683.0,1778458.0,1861824.0,1945154.0,2032779.0,2151832.0,2234307.0,2317362.0,2401432.0,2484387.0,2567466.0,2650861.0,2734078.0,2817155.0,2900232.0,2983564.0,3067239.0,3150496.0,3234135.0,3317089.0,3399857.0,3482785.0,3565682.0,3652605.0,3758960.0,3842780.0,3927042.0,4011024.0,4095391.0,4182363.0,4266718.0,4350618.0,4434506.0,4518208.0,4602209.0,4686423.0,4770832.0,4855029.0,4939178.0,5024454.0,5108529.0,5192608.0,5276277.0,5359877.0,5444271.0,5528281.0
15,145,50,verstappen,21,12,12,+2 Laps,94778,181002,266626,352136,437721,523083.0,608307.0,693384.0,778252.0,862847.0,947253.0,1031775.0,1116141.0,1200812.0,1285216.0,1369521.0,1453486.0,1537570.0,1626123.0,1735946.0,1821763.0,1908168.0,1992709.0,2078665.0,2163719.0,2248879.0,2334145.0,2418994.0,2505730.0,2591847.0,2677236.0,2762447.0,2848990.0,2934380.0,3019785.0,3105125.0,3194994.0,3281390.0,3372137.0,3485022.0,3572281.0,3658436.0,3747879.0,3833834.0,3919297.0,4006628.0,4092802.0,4178666.0,4267803.0,4354067.0,4440192.0,4526451.0,4613276.0,4699856.0,4786340.0,4872584.0,4959165.0,5045641.0,5131593.0,5217670.0,5302938.0,5388464.0,5474302.0,,
17,145,55,alesi,20,10,11,+1 Lap,96072,182350,268363,354272,440067,525574.0,610773.0,695955.0,780951.0,865724.0,950339.0,1034834.0,1119225.0,1203440.0,1287944.0,1372080.0,1456091.0,1540276.0,1624079.0,1707747.0,1791418.0,1876116.0,1964306.0,2075328.0,2160732.0,2246288.0,2331966.0,2417426.0,2503065.0,2591235.0,2676482.0,2761607.0,2846819.0,2933362.0,3018691.0,3103752.0,3189140.0,3275042.0,3360175.0,3444564.0,3529057.0,3613677.0,3698240.0,3782553.0,3866917.0,3951428.0,4037892.0,4122510.0,4207030.0,4295409.0,4402481.0,4487162.0,4571533.0,4656058.0,4740414.0,4824747.0,4909214.0,4993856.0,5078984.0,5163410.0,5247588.0,5331771.0,5415763.0,5500836.0,
16,145,54,burti,20,11,11,+1 Lap,97008,183650,269287,355161,441420,526782.0,612507.0,698080.0,783416.0,867914.0,952818.0,1037912.0,1122367.0,1206663.0,1290610.0,1374743.0,1458565.0,1543164.0,1627672.0,1712763.0,1796851.0,1880659.0,1964453.0,2054998.0,2167122.0,2252426.0,2337533.0,2425623.0,2511075.0,2600441.0,2686333.0,2771504.0,2857026.0,2942425.0,3027399.0,3112168.0,3196754.0,3282696.0,3368178.0,3452902.0,3537488.0,3622151.0,3706634.0,3793545.0,3878433.0,3962384.0,4051789.0,4162824.0,4249663.0,4335379.0,4422003.0,4508514.0,4594618.0,4682779.0,4768010.0,4853071.0,4940216.0,5025245.0,5111824.0,5197380.0,5283412.0,5369698.0,5456261.0,5542792.0,
6,145,21,fisichella,22,14,12,+2 Laps,97601,184796,270889,357742,444836,531458.0,617827.0,704380.0,790718.0,876950.0,964370.0,1049915.0,1135658.0,1220956.0,1306601.0,1392118.0,1478375.0,1563889.0,1649265.0,1734619.0,1820159.0,1909361.0,1999745.0,2114623.0,2200148.0,2285996.0,2371980.0,2457925.0,2547257.0,2634634.0,2720776.0,2806862.0,2894459.0,2982888.0,3071305.0,3158682.0,3244417.0,3331996.0,3418153.0,3508228.0,3619282.0,3705633.0,3794550.0,3881177.0,3968246.0,4055156.0,4141914.0,4228891.0,4315834.0,4403833.0,4490876.0,4577694.0,4665250.0,4754977.0,4842091.0,4930598.0,5017784.0,5107025.0,5195252.0,5281762.0,5368247.0,5455395.0,5542119.0,,
1,145,4,alonso,18,13,12,+2 Laps,98117,185296,273369,359257,446579,532832.0,618494.0,704801.0,791129.0,877207.0,964731.0,1050357.0,1136213.0,1221409.0,1307019.0,1397031.0,1509031.0,1594482.0,1682724.0,1769292.0,1854495.0,1939356.0,2025753.0,2110914.0,2196270.0,2281591.0,2366517.0,2451565.0,2536857.0,2621932.0,2707012.0,2793561.0,2878807.0,2966094.0,3052306.0,3137300.0,3221723.0,3306458.0,3395528.0,3506263.0,3592287.0,3678664.0,3766089.0,3853620.0,3939204.0,4024931.0,4111031.0,4196248.0,4281589.0,4367107.0,4452525.0,4537371.0,4622667.0,4707815.0,4792939.0,4877932.0,4962644.0,5047311.0,5132355.0,5218129.0,5303471.0,5388895.0,5474732.0,,
12,145,37,rosa,19,21,4,Collision,98854,185592,271524,358135,445549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,145,49,frentzen,17,22,4,Collision,99153,185845,272003,358413,445827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,145,18,button,22,15,13,+3 Laps,99939,187343,274479,362058,448288,534646.0,621183.0,707637.0,793702.0,879645.0,966187.0,1052158.0,1138226.0,1224027.0,1311040.0,1396824.0,1510957.0,1634966.0,1721236.0,1806809.0,1893899.0,1979787.0,2066032.0,2156271.0,2243005.0,2329866.0,2415995.0,2508694.0,2595764.0,2683341.0,2769479.0,2855659.0,2944086.0,3030398.0,3116765.0,3203049.0,3289476.0,3378912.0,3466197.0,3551918.0,3642970.0,3762100.0,3856345.0,3943456.0,4030856.0,4117755.0,4203929.0,4290788.0,4377589.0,4464764.0,4552675.0,4638857.0,4724968.0,4810863.0,4896611.0,4982262.0,5067668.0,5153365.0,5238973.0,5324666.0,5410233.0,5495986.0,,,
20,145,58,marques,18,16,13,+3 Laps,100569,188397,275631,363022,450070,537201.0,624376.0,711272.0,798416.0,885393.0,971691.0,1057906.0,1145480.0,1232375.0,1319209.0,1405000.0,1494193.0,1587093.0,1701417.0,1787328.0,1873767.0,1963495.0,2052308.0,2140001.0,2229634.0,2316187.0,2404423.0,2491190.0,2577934.0,2665062.0,2752932.0,2841200.0,2927492.0,3013529.0,3102124.0,3188444.0,3276702.0,3363675.0,3450527.0,3538980.0,3631219.0,3754382.0,3842616.0,3934252.0,4023362.0,4110781.0,4199617.0,4286882.0,4376412.0,4464322.0,4552325.0,4641288.0,4729111.0,4816662.0,4904292.0,4991675.0,5080836.0,5172064.0,5260472.0,5349494.0,5438361.0,5527119.0,,,
21,145,59,bernoldi,21,20,32,Fuel pressure,103182,215279,300082,384822,469814,554976.0,640151.0,725422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
