,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
11,23,13,massa,6,3,1,Finished,103533,200612,296096,390696,487081,585526,685629,785827.0,955483.0,1097864.0,1199604.0,1299190.0,1397257.0,1494974.0,1591113.0,1695226.0,1790680.0,1885279.0,1979281.0,2074696.0,2168256.0,2260959.0,2353122.0,2444871.0,2536180.0,2627791.0,2718600.0,2809349.0,2900980.0,2992611.0,3083536.0,3173632.0,3287582.0,3384409.0,3475355.0,3566296.0,3657762.0,3748393.0,3837750.0,3926763.0,4017783.0,4106470.0,4195523.0,4283231.0,4371140.0,4459604.0,4548497.0,4637615.0,4726342.0,4814411.0,4903112.0,4993053.0,5081024.0,5168185.0,5256638.0,5364119.0,5457272.0,5540811.0,5622503.0,5704449.0,5787436.0,5881860.0,5994231.0,6135201.0,6275507.0,6404379.0,6530284.0,6613224.0,6694140.0,6774078.0,6853682.0,6933606.0,7012357.0,7091757.0,7169667.0,7247553.0
0,23,1,hamilton,1,1,1,Finished,104800,201952,297392,393364,490202,613540,718225,823238.0,959894.0,1100376.0,1205652.0,1308492.0,1408820.0,1508185.0,1605589.0,1702889.0,1798403.0,1893447.0,1989255.0,2084139.0,2179550.0,2273396.0,2366492.0,2458934.0,2551024.0,2643311.0,2735196.0,2826693.0,2917818.0,3009051.0,3099604.0,3190504.0,3281756.0,3371176.0,3461897.0,3551319.0,3641595.0,3730286.0,3820697.0,3908762.0,3996147.0,4083452.0,4170609.0,4257891.0,4344863.0,4431409.0,4518757.0,4605536.0,4693123.0,4783498.0,4869395.0,4956300.0,5043346.0,5147974.0,5241222.0,5327719.0,5412234.0,5495405.0,5578620.0,5661300.0,5743335.0,5847358.0,5984293.0,6129951.0,6274279.0,6402753.0,6529044.0,6610191.0,6690183.0,6769189.0,6847699.0,6926488.0,7005120.0,7083819.0,7162523.0,7242742.0
7,23,8,raikkonen,6,9,1,Finished,105838,203916,300346,399374,497601,597543,697160,798902.0,956568.0,1099045.0,1202624.0,1302476.0,1407822.0,1509983.0,1607766.0,1704515.0,1801530.0,1896652.0,1991616.0,2087235.0,2181656.0,2275761.0,2369401.0,2462618.0,2555150.0,2647301.0,2777011.0,2877011.0,2971343.0,3064886.0,3157486.0,3248527.0,3339563.0,3430000.0,3519768.0,3609314.0,3698716.0,3788183.0,3877804.0,3967962.0,4057230.0,4146675.0,4235279.0,4324450.0,4414262.0,4502769.0,4591447.0,4679926.0,4769498.0,4858201.0,4946296.0,5033290.0,5119863.0,5207328.0,5293052.0,5378482.0,5481268.0,5572607.0,5656448.0,5738609.0,5839901.0,5981488.0,6089516.0,6176691.0,6279512.0,6407900.0,6531395.0,6644069.0,6730253.0,6809727.0,6887735.0,6965251.0,7042284.0,7118973.0,7197118.0,7276534.0
8,23,9,kubica,2,2,1,Finished,108525,208755,306201,402440,499505,597963,697702,800674.0,957213.0,1099731.0,1203963.0,1303629.0,1402824.0,1499875.0,1595897.0,1692668.0,1788090.0,1882619.0,1977858.0,2072827.0,2166045.0,2259013.0,2351324.0,2443129.0,2534285.0,2645446.0,2743486.0,2836806.0,2929400.0,3021312.0,3111980.0,3202432.0,3292615.0,3385188.0,3477038.0,3567883.0,3659411.0,3750355.0,3841276.0,3931644.0,4022997.0,4112830.0,4201631.0,4291696.0,4378622.0,4465212.0,4551583.0,4638423.0,4726861.0,4815024.0,4903710.0,4993639.0,5100539.0,5196015.0,5282431.0,5366959.0,5451611.0,5535357.0,5618067.0,5700072.0,5783723.0,5880051.0,5992689.0,6134266.0,6274890.0,6403799.0,6530002.0,6612674.0,6693066.0,6772667.0,6851812.0,6930601.0,7009851.0,7088354.0,7166287.0,7245806.0
3,23,4,alonso,4,10,11,+1 Lap,109830,209555,308217,405014,502707,601137,700650,844496.0,963960.0,1103040.0,1209269.0,1312220.0,1415298.0,1544613.0,1646618.0,1744686.0,1842927.0,1941077.0,2038393.0,2135426.0,2231889.0,2328231.0,2424151.0,2520421.0,2616475.0,2712130.0,2806972.0,2902838.0,2998670.0,3093845.0,3188123.0,3283330.0,3376438.0,3470238.0,3564145.0,3662633.0,3756540.0,3851785.0,3947934.0,4041851.0,4135393.0,4228455.0,4320786.0,4432243.0,4533351.0,4626517.0,4715895.0,4804077.0,4891903.0,4978479.0,5063246.0,5148380.0,5235631.0,5322409.0,5407017.0,5492989.0,5576115.0,5659689.0,5744482.0,5850828.0,5986645.0,6130074.0,6220628.0,6305381.0,6410771.0,6533327.0,6621646.0,6703943.0,6784678.0,6866172.0,6945108.0,7026172.0,7104041.0,7183780.0,7265210.0,
2,23,3,rosberg,3,16,3,Accident,110731,212047,333688,437192,537930,642785,747480,858170.0,978064.0,1111301.0,1217994.0,1321047.0,1424378.0,1564209.0,1665839.0,1762137.0,1856744.0,1951827.0,2045100.0,2138344.0,2232801.0,2329126.0,2424926.0,2521247.0,2617110.0,2712589.0,2807520.0,2903451.0,2999153.0,3094235.0,3188601.0,3283739.0,3376795.0,3470578.0,3564321.0,3656455.0,3745304.0,3835546.0,3924852.0,4017919.0,4107897.0,4198641.0,4292126.0,4385952.0,4479318.0,4568600.0,4654344.0,4739599.0,4826085.0,4911400.0,4997610.0,5093156.0,5202825.0,5297636.0,5381690.0,5464097.0,5545601.0,5626871.0,5708296.0,,,,,,,,,,,,,,,,,
13,23,15,trulli,7,13,11,+1 Lap,112879,214718,314033,415488,517362,619109,722921,849953.0,972297.0,1108698.0,1214217.0,1318294.0,1421184.0,1528398.0,1628171.0,1727611.0,1826505.0,1924365.0,2021558.0,2118547.0,2214175.0,2309761.0,2405359.0,2500428.0,2595030.0,2690181.0,2785128.0,2879961.0,2974966.0,3070803.0,3165766.0,3260148.0,3353327.0,3445950.0,3539154.0,3632199.0,3749044.0,3851181.0,3946511.0,4038863.0,4131933.0,4224262.0,4315220.0,4405582.0,4495773.0,4587123.0,4677460.0,4770761.0,4863245.0,4954845.0,5047396.0,5156507.0,5259835.0,5352042.0,5440080.0,5526823.0,5612707.0,5699602.0,5789839.0,5887527.0,5995540.0,6136138.0,6232128.0,6317863.0,6414464.0,6536403.0,6625080.0,6710027.0,6792614.0,6873715.0,6954122.0,7034461.0,7115101.0,7195387.0,7275217.0,
9,23,10,glock,7,12,11,+1 Lap,113575,215863,322430,447376,551919,651411,750262,860626.0,980165.0,1112451.0,1218416.0,1322655.0,1424745.0,1532551.0,1631873.0,1731769.0,1833220.0,1931893.0,2029355.0,2127063.0,2224474.0,2322680.0,2419217.0,2516129.0,2611997.0,2706759.0,2801734.0,2896271.0,2990010.0,3086118.0,3179340.0,3272958.0,3367399.0,3462023.0,3555765.0,3650100.0,3743756.0,3872192.0,3970265.0,4062116.0,4152237.0,4242371.0,4331851.0,4421244.0,4510232.0,4600846.0,4690873.0,4805615.0,4902248.0,4990133.0,5083365.0,5169842.0,5260016.0,5348045.0,5431975.0,5516802.0,5600057.0,5682513.0,5764603.0,5864937.0,5991550.0,6133377.0,6228036.0,6312737.0,6411563.0,6535088.0,6622959.0,6709090.0,6791802.0,6872378.0,6952716.0,7033155.0,7114313.0,7194448.0,7274066.0,
1,23,2,heidfeld,2,14,14,+4 Laps,116721,219362,322461,423952,526101,627962,731967,842830.0,962501.0,1101389.0,1207800.0,1311605.0,1414765.0,1521029.0,1621740.0,1722858.0,1868618.0,1976943.0,2081070.0,2181065.0,2282386.0,2380834.0,2478066.0,2574850.0,2671739.0,2767739.0,2866989.0,2965969.0,3064407.0,3164429.0,3269456.0,3365181.0,3458773.0,3553200.0,3645929.0,3738352.0,3831154.0,3923577.0,4021806.0,4118339.0,4208769.0,4298132.0,4389417.0,4485937.0,4577609.0,4669891.0,4760437.0,4851680.0,4941123.0,5030090.0,5117818.0,5208436.0,5302734.0,5412322.0,5519041.0,5610615.0,5707630.0,5810573.0,6005487.0,6139563.0,6277505.0,6405302.0,6502532.0,6592086.0,6678406.0,6762304.0,6844408.0,6927655.0,7011355.0,7094766.0,7175419.0,7255670.0,,,,
5,23,6,nakajima,3,7,1,Finished,117931,220565,323208,427098,529475,632163,734500,847128.0,965941.0,1104159.0,1210590.0,1314386.0,1417385.0,1526516.0,1626739.0,1726861.0,1830200.0,1927626.0,2025726.0,2123131.0,2219034.0,2314170.0,2409203.0,2504216.0,2598404.0,2692782.0,2787047.0,2881567.0,2976502.0,3071928.0,3166822.0,3261274.0,3354412.0,3447178.0,3540150.0,3633130.0,3727846.0,3818396.0,3910467.0,3998933.0,4087554.0,4176079.0,4263146.0,4350449.0,4437797.0,4525018.0,4611424.0,4699708.0,4788098.0,4879356.0,4966644.0,5107047.0,5201725.0,5286470.0,5370492.0,5457834.0,5542258.0,5624531.0,5707226.0,5790145.0,5889857.0,5996678.0,6137450.0,6247900.0,6332276.0,6417358.0,6536943.0,6624269.0,6707925.0,6789363.0,6870273.0,6951237.0,7031894.0,7113025.0,7192935.0,7272922.0
