,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
2,969.0,4.0,alonso,14.0,76.0,Vibrations,104745.0,196687.0,288396.0,379920.0,471680.0,562789.0,654069.0,745207.0,836463.0,927350.0,1018488.0,1109653.0,1200835.0,1291853.0,1382849.0,1492318.0,1588799.0,1679254.0,1769905.0,1860390.0,1950964.0,2041563.0,2132195.0,2223077.0,2314253.0,2405167.0,2495842.0,2586930.0,2678232.0,2769342.0,2860593.0,2952045.0,3044111.0,3134749.0,3226139.0,3316803.0,3407398.0,3499043.0,3590703.0,3681191.0,3771386.0,3861954.0,3952398.0,4042833.0,4133036.0,4223283.0,4313364.0,4403441.0,4493934.0,4586419.0,,,,,,,
7,969.0,807.0,hulkenberg,11.0,11.0,+1 Lap,105237.0,197460.0,289552.0,381205.0,472785.0,564032.0,655506.0,746765.0,837896.0,929118.0,1020277.0,1111136.0,1202290.0,1293378.0,1384382.0,1494274.0,1590397.0,1681126.0,1772217.0,1862996.0,1953585.0,2044352.0,2134629.0,2225207.0,2316166.0,2407074.0,2499350.0,2591106.0,2682398.0,2793214.0,2888235.0,2978607.0,3067460.0,3156121.0,3245236.0,3334578.0,3424237.0,3514215.0,3603360.0,3692369.0,3781122.0,3869945.0,3958749.0,4047676.0,4136402.0,4225295.0,4314706.0,4404976.0,4495378.0,4586623.0,4677209.0,4765984.0,4854706.0,4943243.0,5031729.0,5121125.0,
18,969.0,839.0,ocon,10.0,11.0,+1 Lap,105554.0,198253.0,290521.0,382081.0,473865.0,565397.0,657639.0,748713.0,839759.0,930678.0,1021828.0,1113051.0,1203917.0,1295109.0,1403586.0,1498881.0,1589651.0,1680342.0,1771126.0,1861765.0,1952474.0,2043044.0,2133805.0,2224425.0,2315471.0,2406243.0,2496996.0,2588001.0,2679327.0,2770156.0,2862179.0,2952784.0,3044833.0,3136724.0,3227210.0,3317648.0,3408223.0,3500082.0,3591821.0,3681887.0,3772256.0,3862913.0,3953200.0,4043743.0,4133842.0,4224040.0,4314159.0,4404315.0,4494874.0,4586502.0,4676048.0,4764988.0,4853659.0,4942304.0,5030779.0,5120115.0,
19,969.0,840.0,stroll,16.0,23.0,Brakes,106011.0,199373.0,291606.0,383372.0,494004.0,589711.0,679536.0,769969.0,861052.0,951496.0,1042854.0,1134649.0,1226939.0,1318605.0,1411069.0,1501867.0,1592643.0,1682916.0,1773594.0,1864207.0,1955189.0,2047439.0,2138807.0,2230199.0,2320770.0,2411944.0,2503156.0,2594589.0,2705344.0,2801864.0,2891535.0,2981685.0,3071844.0,3161467.0,3251191.0,3340718.0,3430365.0,3519754.0,3609233.0,3714421.0,,,,,,,,,,,,,,,,,
16,969.0,835.0,jolyon_palmer,19.0,23.0,Brakes,106279.0,200519.0,293768.0,386079.0,478709.0,570904.0,663268.0,755591.0,848150.0,940866.0,1051863.0,1145710.0,1247846.0,1343278.0,1447683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,969.0,838.0,vandoorne,13.0,12.0,+2 Laps,106762.0,201271.0,294842.0,387952.0,480197.0,572258.0,666365.0,760198.0,889092.0,991765.0,1084834.0,1178106.0,1270140.0,1361817.0,1453307.0,1544828.0,1636007.0,1729322.0,1820710.0,1911828.0,2002972.0,2094128.0,2187870.0,2279519.0,2370427.0,2464329.0,2556914.0,2647740.0,2738549.0,2830784.0,2921675.0,3012775.0,3104382.0,3197934.0,3288097.0,3378743.0,3471212.0,3563190.0,3653175.0,3743388.0,3836240.0,3927260.0,4017325.0,4107410.0,4197508.0,4290467.0,4380271.0,4471067.0,4561081.0,4650852.0,4740376.0,4829819.0,4919259.0,5009155.0,5098807.0,,
20,969.0,841.0,giovinazzi,12.0,12.0,+2 Laps,107489.0,202380.0,296254.0,390375.0,483720.0,576845.0,669509.0,763274.0,856318.0,948980.0,1041957.0,1134215.0,1226305.0,1318177.0,1434879.0,1534614.0,1626879.0,1718189.0,1809967.0,1901590.0,1992868.0,2084454.0,2176444.0,2268439.0,2359413.0,2451677.0,2542986.0,2636211.0,2728137.0,2818774.0,2909460.0,2999891.0,3091918.0,3182162.0,3272372.0,3362688.0,3453356.0,3543641.0,3633473.0,3723434.0,3813445.0,3903794.0,3993576.0,4083165.0,4173254.0,4267021.0,4356714.0,4451765.0,4542137.0,4631657.0,4720709.0,4809923.0,4903704.0,4993372.0,5084265.0,,
13,969.0,828.0,ericsson,18.0,9.0,Hydraulics,119379.0,212062.0,304876.0,398531.0,491628.0,584485.0,677090.0,769655.0,863486.0,956485.0,1050711.0,1143536.0,1236025.0,1328315.0,1420683.0,1512867.0,1606539.0,1698591.0,1792393.0,1884965.0,1981470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,969.0,825.0,kevin_magnussen,15.0,22.0,Suspension,167633.0,265278.0,355836.0,446230.0,536866.0,627430.0,721340.0,814405.0,909145.0,1000717.0,1091932.0,1183045.0,1273722.0,1364665.0,1458134.0,1549144.0,1639610.0,1730129.0,1821874.0,1913015.0,2006864.0,2097907.0,2189328.0,2282010.0,2372554.0,2465519.0,2557892.0,2649345.0,2740416.0,2831896.0,2922797.0,3014253.0,3108749.0,3199585.0,3292650.0,3384121.0,3477014.0,3567624.0,3661955.0,3753966.0,3845614.0,3938302.0,4031244.0,4142126.0,4235729.0,4323297.0,,,,,,,,,,,
9,969.0,817.0,ricciardo,17.0,131.0,Power Unit,296773.0,389283.0,480902.0,573013.0,664974.0,756313.0,848622.0,941317.0,1034004.0,1124278.0,1214317.0,1304355.0,1394294.0,1484239.0,1574052.0,1663702.0,1753235.0,1842850.0,1933013.0,2022801.0,2112248.0,2202420.0,2292827.0,2382293.0,2472001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
