,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,alonso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,michael_schumacher,2,2,2,2,2,2,2,2,2,2,2,8,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,trulli,3,3,3,3,3,3,3,3,3,3,3,2,2,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
3,button,4,4,4,4,4,4,4,4,4,4,4,3,3,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,coulthard,5,5,5,5,5,5,5,5,5,5,5,4,9,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,montoya,6,6,6,6,6,6,6,6,6,6,6,5,4,9,9,7,6,9,9,9,8,8,8,8,8,8,8,8,7,6,6,11,11,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,raikkonen,7,7,7,7,7,7,7,7,7,7,8,13,12,12,12,10,9,8,8,7,7,7,7,7,7,7,7,7,10,10,10,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,sato,8,8,8,9,9,9,9,9,9,9,9,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,barrichello,9,9,9,8,8,8,8,8,8,8,7,6,10,10,10,8,7,6,6,6,6,6,6,6,6,6,6,6,6,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
9,webber,10,10,10,10,10,10,10,10,10,10,10,9,7,5,4,12,10,10,10,10,10,9,9,9,9,9,9,9,8,7,7,6,6,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,6,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,gene,11,11,11,11,11,11,11,11,11,11,11,16,14,14,14,13,12,12,12,12,11,10,10,10,10,10,10,10,9,9,9,8,8,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,matta,12,12,12,12,12,12,12,12,12,12,12,17,17,16,15,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,13,13,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
12,klien,13,13,13,13,13,13,13,13,13,13,13,10,8,7,7,6,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,10,10,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
13,massa,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,9,8,7,7,8,9,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
14,pantano,15,15,16,16,16,16,16,16,16,16,16,14,16,17,17,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0
15,fisichella,16,16,15,15,15,15,15,15,15,15,15,12,13,13,13,11,11,11,11,11,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
16,heidfeld,17,17,17,17,17,17,17,17,17,17,17,15,15,15,16,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
17,bruni,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
18,baumgartner,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
