,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,villeneuve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,4,4,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
1,michael_schumacher,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,coulthard,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,4,9,9,8,8,8,8,8,8,6,6,6,6,5,5,5,0,0,0,0,0,0,0
3,damon_hill,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,12,13,11,10,9,9,9,8,8,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
4,hakkinen,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2,1,1,3,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,berger,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,8,14,14,13,13,12,11,11,9,9,9,9,7,8,8,7,7,7,7,7,6,6,6,6,6,6,6
6,alesi,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,4,5,5,5,5,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,brundle,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,8,8,8,8,7,7,7,7,7,7,7,6,7,9,9,12,0,0,0,0,0,0,0,0,0,0
8,irvine,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,8,8,7,7,7,7,7,6,6,9,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,salo,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,6,6,6,6,6,6,6,5,5,4,4,4,4,5,9,9,7,8,8,8,8,8,7,7,7,7,7,7,7
10,katayama,11,11,11,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,9,10,10,10,10,10,10,10,10,10,10,12,10,10,10,9,9,9,9,8,8,8,8,8,8,8
11,diniz,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,13,12,13,13,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,verstappen,13,12,12,11,11,11,11,11,11,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,rosset,14,14,14,14,14,14,14,14,14,14,14,13,13,13,14,14,14,14,12,12,12,12,13,13,13,12,12,12,12,11,12,12,12,11,11,11,11,9,9,9,9,9,9,0
14,lamy,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,11,11,12,11,11,11,11,11,12,12,11,11,11,11,10,11,11,11,10,10,10,10,10,10,10,10,10,10,0
