,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
6,95,15,trulli,4,1,1,Finished,83804,161975,238477.0,373064.0,537237.0,675858.0,798180.0,877783.0,954829.0,1031131.0,1106935.0,1182713.0,1258376.0,1334326.0,1409970.0,1485639.0,1562718.0,1638209.0,1713792.0,1789106.0,1864150.0,1939020.0,2013965.0,2109547.0,2187578.0,2263879.0,2339636.0,2415294.0,2490960.0,2567102.0,2645249.0,2722861.0,2798607.0,2874047.0,2949678.0,3026716.0,3102348.0,3178204.0,3253764.0,3329557.0,3405453.0,3481198.0,3577054.0,3709750.0,3837083.0,3959486.0,4039947.0,4118883.0,4196612.0,4273723.0,4350610.0,4427711.0,4504807.0,4581768.0,4658934.0,4735731.0,4812555.0,4889436.0,4966963.0,5043612.0,5120308.0,5196302.0,5272469.0,5348376.0,5424233.0,5500233.0,5577076.0,5655902.0,5733285.0,5809479.0,5885541.0,5961744.0,6037828.0,6114421.0,6191411.0,6268594.0,6346601.0
1,95,4,alonso,4,12,3,Accident,84657,162678,239346.0,373794.0,538141.0,677115.0,798699.0,878501.0,955667.0,1032025.0,1107997.0,1184055.0,1260141.0,1336422.0,1412419.0,1488341.0,1565138.0,1640791.0,1716086.0,1792047.0,1867612.0,1942881.0,2018107.0,2093719.0,2188032.0,2267450.0,2342855.0,2418190.0,2493787.0,2569832.0,2646128.0,2724382.0,2800498.0,2876675.0,2952784.0,3028995.0,3104826.0,3180166.0,3255773.0,3331746.0,3407463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,95,18,button,16,2,1,Finished,85900,164108,240767.0,375370.0,539560.0,678143.0,799850.0,880124.0,957560.0,1033730.0,1109889.0,1185781.0,1261860.0,1337870.0,1413798.0,1489738.0,1566893.0,1662152.0,1739865.0,1816118.0,1892920.0,1969254.0,2045529.0,2120946.0,2196828.0,2273431.0,2352289.0,2429459.0,2505285.0,2581214.0,2657030.0,2732747.0,2808760.0,2884982.0,2960810.0,3036590.0,3112883.0,3188884.0,3264485.0,3339705.0,3415307.0,3513701.0,3598962.0,3713122.0,3840233.0,3962990.0,4043975.0,4123855.0,4202882.0,4280463.0,4357331.0,4434003.0,4511004.0,4587888.0,4664447.0,4741112.0,4817800.0,4895001.0,4971770.0,5049116.0,5125165.0,5201007.0,5277344.0,5353359.0,5429279.0,5505388.0,5581192.0,5659450.0,5735519.0,5811218.0,5887218.0,5963221.0,6039332.0,6115405.0,6192127.0,6269234.0,6347098.0
3,95,11,sato,16,17,5,Engine,86981,168349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,95,8,raikkonen,1,13,63,Pneumatics,87347,168513,248230.0,376505.0,540808.0,679125.0,800387.0,880937.0,958540.0,1035240.0,1111523.0,1187879.0,1264396.0,1340791.0,1416994.0,1493286.0,1569629.0,1646819.0,1742987.0,1823156.0,1900356.0,1976625.0,2053524.0,2130642.0,2207705.0,2285114.0,2362232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,95,30,michael_schumacher,6,11,4,Collision,88162,169280,253794.0,378144.0,541883.0,681777.0,801488.0,882081.0,959884.0,1036669.0,1113657.0,1189900.0,1265925.0,1342046.0,1418089.0,1494337.0,1570606.0,1647667.0,1723740.0,1798716.0,1873525.0,1948164.0,2022603.0,2097723.0,2173065.0,2268065.0,2346807.0,2422449.0,2498270.0,2574186.0,2650586.0,2728801.0,2805254.0,2881415.0,2957654.0,3033976.0,3110055.0,3185858.0,3261497.0,3337148.0,3412915.0,3492142.0,3573230.0,3707452.0,3835548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,95,22,barrichello,6,3,1,Finished,89224,169799,255868.0,380876.0,546036.0,683694.0,802227.0,884309.0,963254.0,1041113.0,1118250.0,1195606.0,1273148.0,1350083.0,1426239.0,1502002.0,1578262.0,1655203.0,1732705.0,1829056.0,1910399.0,1988827.0,2065815.0,2142781.0,2219500.0,2296485.0,2373664.0,2450144.0,2527079.0,2604000.0,2681220.0,2758643.0,2835908.0,2912862.0,2990104.0,3067153.0,3144970.0,3222169.0,3298538.0,3374481.0,3453689.0,3537954.0,3623037.0,3716718.0,3842767.0,3965074.0,4047293.0,4127281.0,4206532.0,4286428.0,4365966.0,4444041.0,4522308.0,4600419.0,4696102.0,4778163.0,4855927.0,4935256.0,5013403.0,5092764.0,5170501.0,5247838.0,5324985.0,5402553.0,5481269.0,5560302.0,5638112.0,5716074.0,5793870.0,5872001.0,5949858.0,6028497.0,6106087.0,6183910.0,6262114.0,6340404.0,6422367.0
5,95,14,coulthard,1,18,4,Collision,89673,170233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,95,31,montoya,3,4,11,+1 Lap,90121,171002,264863.0,381501.0,546711.0,684706.0,802378.0,882491.0,960435.0,1037968.0,1114838.0,1191501.0,1288630.0,1369054.0,1446912.0,1527476.0,1608143.0,1686668.0,1765832.0,1844694.0,1923462.0,2002161.0,2080816.0,2159955.0,2239154.0,2318728.0,2398901.0,2480462.0,2558698.0,2635652.0,2712446.0,2789026.0,2865588.0,2942073.0,3018316.0,3094400.0,3170527.0,3247179.0,3323590.0,3399280.0,3474675.0,3574665.0,3708030.0,3836190.0,3958948.0,4038274.0,4119815.0,4198218.0,4275648.0,4352629.0,4429807.0,4506975.0,4583871.0,4660930.0,4737847.0,4814724.0,4891755.0,4968941.0,5045710.0,5122103.0,5199401.0,5278769.0,5356021.0,5433634.0,5510938.0,5588047.0,5665067.0,5743590.0,5824717.0,5902467.0,5980851.0,6058844.0,6136318.0,6214398.0,6292299.0,6370808.0,
7,95,17,webber,19,16,6,Gearbox,90951,171470,268817.0,383064.0,548205.0,685683.0,803310.0,885035.0,964022.0,1041936.0,1119402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
