,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,59,2,heidfeld,2,7,11,+1 Lap,91356,171751,251222,330648,409975,488622,567959,647005,725800,804803,883565,962435,1041641,1120188,1198761,1277726,1356265,1434552,1513249,1592072,1671134,1750769,1829939,1908972,1988091,2067496,2146826,2226568,2306223,2386182,2466077,2545472,2625408,2705869,2786562,2867307,2948442,3029467,3110033,3209672,3292343,3371693,3450349,3528815,3607339,3686066,3764802.0,3847303.0,3970872.0,4093843.0,4210235.0,4293503.0,4376337.0,4457152.0,4536830.0,4615833.0,4694901.0,4774507.0,4853757.0,4933867.0,5012469.0,5091094.0,5169690.0,5249066.0,5328082.0,5406588.0,5484909.0,5563362.0,5641447.0,5719345.0,5797029.0,5874348.0,5953224.0,6031338.0,6109115.0,6186857.0,6264512.0,
12,59,23,ralf_schumacher,7,8,11,+1 Lap,91854,172492,252287,331761,411230,490457,569424,648476,727401,806476,885401,963757,1042728,1121673,1200222,1279302,1357838,1436260,1514457,1592708,1671904,1751538,1830814,1909653,1988695,2068066,2147550,2227100,2306738,2386770,2466700,2546036,2625986,2706410,2786957,2867728,2948786,3029881,3132287,3213319,3293079,3372265,3451517,3530072,3608403,3687150,3765768.0,3848644.0,3971941.0,4095195.0,4211396.0,4294368.0,4376843.0,4457603.0,4537601.0,4616576.0,4695646.0,4775102.0,4854361.0,4935816.0,5013910.0,5092418.0,5170784.0,5249585.0,5328824.0,5407224.0,5485628.0,5564245.0,5642313.0,5720313.0,5798258.0,5875798.0,5954137.0,6032053.0,6110165.0,6187807.0,6265993.0,
13,59,24,liuzzi,5,10,11,+1 Lap,92400,173372,253208,332662,412403,491989,570990,650004,728908,807803,886275,965023,1043662,1122515,1201308,1280567,1359542,1438092,1516583,1595056,1673669,1753355,1832230,1911145,1990054,2069149,2148602,2228121,2307600,2387430,2467490,2547205,2626697,2706984,2787626,2868270,2949320,3030420,3111276,3191386,3269507,3347348,3429636,3513105,3592471,3671892,3750970.0,3852878.0,3974445.0,4098654.0,4213490.0,4295719.0,4377994.0,4458654.0,4538655.0,4618151.0,4697252.0,4776376.0,4855715.0,4937843.0,5016076.0,5094409.0,5172944.0,5251471.0,5330231.0,5409120.0,5487299.0,5565628.0,5644164.0,5722373.0,5800656.0,5878429.0,5956174.0,6034309.0,6111969.0,6190534.0,6269101.0,
20,59,35,villeneuve,2,14,11,+1 Lap,93289,174205,254360,333976,413679,493294,572646,651844,730960,809606,888549,966948,1045567,1124287,1203018,1281670,1360709,1439584,1517923,1596499,1675273,1754355,1833537,1912140,1991150,2070034,2149485,2228996,2308379,2388060,2468239,2548163,2627765,2707473,2788202,2868871,2949932,3030992,3112024,3197988,3280533,3360825,3441693,3540248,3622253,3701469,3780062.0,3861005.0,3976870.0,4100193.0,4215104.0,4296255.0,4378938.0,4459207.0,4539429.0,4618889.0,4698011.0,4785895.0,4867687.0,4946127.0,5025985.0,5106801.0,5189093.0,5269834.0,5348027.0,5426730.0,5505577.0,5583955.0,5662375.0,5741812.0,5820256.0,5902349.0,5980820.0,6058587.0,6136999.0,6216090.0,6298768.0,
9,59,18,button,11,11,11,+1 Lap,93878,175116,255357,335563,415243,494982,574285,653375,732817,811886,890428,969255,1047995,1126701,1205415,1284127,1362960,1441776,1520915,1601600,1680836,1759796,1838400,1917505,1996695,2075912,2155123,2234405,2313781,2393862,2474527,2555178,2635615,2715896,2796509,2876199,2960098,3042110,3122995,3205741,3306641,3389074,3468286,3547183,3626139,3704543,3782714.0,3864910.0,3978255.0,4101612.0,4216743.0,4299164.0,4379454.0,4459912.0,4540120.0,4619768.0,4699055.0,4778942.0,4856242.0,4938409.0,5016782.0,5095223.0,5173740.0,5252349.0,5330971.0,5410123.0,5490875.0,5569300.0,5649526.0,5727902.0,5805746.0,5884058.0,5962056.0,6040129.0,6118375.0,6197197.0,6278234.0,
14,59,26,speed,5,13,11,+1 Lap,94532,176542,256687,336874,417013,497118,576896,656459,735684,814803,894234,973307,1051958,1130667,1209780,1288403,1367634,1446207,1525171,1604099,1682989,1762005,1840211,1918950,1998161,2077655,2156833,2235669,2314834,2394585,2475151,2555690,2636993,2716898,2797623,2882956,2962709,3042694,3123779,3206317,3288952,3367960,3447281,3526392,3605479,3684865,3763714.0,3873771.0,3980994.0,4103705.0,4217843.0,4300495.0,4380853.0,4461429.0,4541723.0,4621617.0,4706687.0,4786046.0,4865021.0,4944897.0,5025716.0,5106586.0,5188739.0,5268302.0,5347454.0,5426151.0,5504686.0,5582725.0,5660653.0,5738858.0,5818881.0,5897727.0,5978350.0,6057114.0,6136331.0,6214725.0,6292206.0,
15,59,27,albers,13,12,11,+1 Lap,95230,177172,257671,337829,417938,498002,578538,658610,738702,817547,896272,975020,1053984,1132714,1211598,1290523,1369412,1457478,1543055,1623872,1702829,1781215,1859567,1937697,2015912,2093926,2172344,2250407,2328519,2406469,2484498,2562589,2640593,2719432,2801008,2883425,2963675,3043570,3125049,3227944,3313666,3393646,3473202,3553444,3631873,3710587,3789156.0,3873646.0,3979875.0,4102292.0,4217474.0,4300033.0,4380084.0,4460968.0,4540996.0,4620693.0,4700252.0,4780219.0,4862561.0,4943721.0,5025119.0,5105903.0,5186052.0,5267607.0,5345975.0,5423896.0,5502050.0,5580435.0,5659036.0,5737026.0,5817772.0,5896801.0,5975595.0,6056631.0,6135057.0,6213173.0,6290776.0,
16,59,30,michael_schumacher,6,5,1,Finished,95413,175527,255691,336000,415701,495328,574714,653935,733269,812446,891071,969980,1048697,1127485,1206005,1284744,1363417,1442375,1521296,1599563,1676313,1754587,1833874,1912607,1991490,2070555,2149811,2229419,2308909,2389287,2469471,2549025,2628629,2708359,2789043,2887813,2966240,3043857,3123693,3200989,3280695,3360937,3438091,3514987,3593502,3672840,3752000.0,3834109.0,3965128.0,4086347.0,4207045.0,4286902.0,4365406.0,4442993.0,4519578.0,4596058.0,4671989.0,4747994.0,4823837.0,4899716.0,4976075.0,5053417.0,5131008.0,5207285.0,5283334.0,5359309.0,5434836.0,5511089.0,5586734.0,5662758.0,5739707.0,5816159.0,5891647.0,5966790.0,6042919.0,6120655.0,6198339.0,6276946.0
4,59,11,sato,8,22,10,Electrical,96575,178289,260590,342682,424513,506309,587941,669151,750123,831132,911938,992027,1072225,1152469,1233374,1317761,1398146,1477791,1557075,1636609,1715764,1795532,1877245,1957192,2037204,2117024,2196460,2275975,2355415,2435211,2514496,2593686,2672920,2752213,2831925,2911113,2990316,3069684,3148477,3227465,3306753,3385937,3464866,3543888,3623525,3758308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,59,36,montagny,8,16,13,+3 Laps,97213,179363,261847,343503,425735,507305,589112,670492,752660,833737,914815,995732,1076150,1158728,1242421,1323076,1403766,1484167,1564624,1644782,1725393,1807112,1887668,1968239,2053085,2135349,2216156,2296642,2376718,2459110,2539404,2619382,2699459,2779243,2859093,2938414,3018095,3098268,3178005,3257801,3337631,3417797,3497378,3577953,3659398,3739577,3839642.0,3966271.0,4090706.0,4208244.0,4290985.0,4372538.0,4453929.0,4533748.0,4613117.0,4692563.0,4772383.0,4851774.0,4940826.0,5024446.0,5105181.0,5188294.0,5272666.0,5352782.0,5432724.0,5514157.0,5595608.0,5676886.0,5756237.0,5835576.0,5915168.0,5994272.0,6073886.0,6153649.0,6233299.0,,,
5,59,13,massa,6,9,11,+1 Lap,97523,179629,260470,338726,418348,498437,578709,658920,739025,818139,896786,975444,1054443,1133203,1212074,1290914,1369896,1450226,1527816,1605237,1683461,1762363,1840805,1919404,1998469,2078003,2157135,2236205,2315478,2394849,2475295,2555741,2635928,2716067,2796675,2876342,2982375,3062682,3139889,3216501,3294042,3372750,3451951,3530565,3609358,3687771,3766553.0,3849102.0,3973483.0,4096962.0,4212772.0,4295060.0,4377381.0,4458058.0,4538007.0,4617130.0,4696320.0,4775528.0,4854952.0,4936665.0,5014781.0,5093108.0,5171342.0,5250144.0,5329288.0,5407764.0,5486095.0,5564733.0,5642846.0,5720842.0,5798641.0,5876660.0,5954603.0,6032519.0,6110762.0,6188616.0,6266526.0,
