,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
3,74.0,8.0,raikkonen,16.0,30.0,Driveshaft,86000.0,169927.0,253774.0,337121.0,420621.0,504240.0,587645.0,670941.0,819307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,74.0,4.0,alonso,1.0,1.0,Finished,88041.0,172612.0,256503.0,340180.0,423786.0,507333.0,590870.0,674437.0,758564.0,842303.0,925526.0,1008911.0,1092366.0,1176137.0,1259841.0,1343590.0,1427160.0,1510927.0,1594280.0,1677522.0,1761593.0,1844726.0,1929128.0,2034663.0,2118724.0,2202523.0,2286265.0,2370253.0,2454406.0,2538247.0,2622489.0,2706721.0,2790986.0,2875168.0,2959126.0,3043370.0,3127830.0,3212273.0,3296330.0,3380098.0,3463538.0,3547555.0,3652613.0,3737029.0,3821027.0,3905309.0,3989370.0,4073672.0,4157644.0,4242376.0,4327149.0,4412076.0,4496894.0,4582536.0,4667275.0,4751740.0,4836481.0,4921528.0,5006339.0,5092045.0,5176974.0,5261921.0
9,74.0,18.0,button,19.0,2.0,Disqualified,88882.0,174422.0,259550.0,344491.0,429243.0,513748.0,598014.0,682318.0,766473.0,850721.0,934650.0,1018685.0,1102173.0,1185553.0,1269128.0,1352676.0,1436415.0,1519661.0,1602913.0,1686076.0,1768968.0,1851572.0,1935013.0,2019439.0,2126537.0,2210858.0,2295375.0,2380021.0,2464504.0,2548613.0,2632841.0,2717098.0,2801113.0,2885183.0,2969904.0,3053928.0,3137760.0,3221672.0,3305508.0,3389433.0,3473131.0,3556884.0,3641538.0,3725454.0,3809064.0,3892399.0,3978284.0,4063786.0,4170109.0,4254743.0,4339195.0,4424079.0,4508933.0,4593685.0,4678988.0,4763807.0,4848733.0,4933215.0,5017956.0,5102688.0,5187531.0,5272402.0
7,74.0,15.0,trulli,5.0,1.0,Finished,89855.0,175424.0,260909.0,346514.0,431857.0,517569.0,602990.0,688567.0,774118.0,859207.0,944020.0,1029076.0,1113898.0,1198703.0,1283442.0,1368023.0,1452275.0,1537131.0,1622108.0,1707340.0,1792405.0,1878018.0,1986639.0,2073062.0,2159306.0,2245370.0,2331827.0,2417942.0,2503859.0,2589439.0,2674842.0,2760033.0,2845122.0,2930399.0,3015566.0,3101021.0,3186042.0,3271075.0,3355840.0,3440564.0,3525443.0,3610025.0,3694320.0,3778342.0,3863181.0,3968029.0,4054656.0,4140372.0,4225752.0,4311127.0,4396486.0,4481495.0,4566638.0,4652097.0,4737200.0,4822467.0,4907919.0,4992902.0,5077535.0,5162187.0,5246757.0,5332179.0
8,74.0,17.0,webber,7.0,1.0,Finished,90620.0,176102.0,261654.0,347335.0,432920.0,518511.0,604094.0,689296.0,774766.0,859930.0,944769.0,1029712.0,1114714.0,1199344.0,1284053.0,1368816.0,1453235.0,1537692.0,1622603.0,1707804.0,1792938.0,1879291.0,1987179.0,2073600.0,2160049.0,2245806.0,2332258.0,2418357.0,2504249.0,2591263.0,2676694.0,2761850.0,2846833.0,2931688.0,3016810.0,3102283.0,3187481.0,3272524.0,3357196.0,3441700.0,3526673.0,3611740.0,3718887.0,3804353.0,3889797.0,3979355.0,4065759.0,4151237.0,4236178.0,4321530.0,4406738.0,4491401.0,4577206.0,4663020.0,4748185.0,4833265.0,4918706.0,5004034.0,5089015.0,5174394.0,5259694.0,5345218.0
4,74.0,11.0,sato,20.0,2.0,Disqualified,91484.0,177705.0,262888.0,348067.0,433425.0,519067.0,604720.0,690116.0,775809.0,860807.0,945791.0,1030598.0,1115267.0,1199835.0,1284575.0,1369478.0,1454073.0,1538455.0,1622986.0,1708236.0,1793183.0,1877915.0,1961283.0,2067273.0,2151953.0,2237538.0,2322860.0,2408129.0,2492929.0,2577473.0,2661970.0,2746373.0,2830738.0,2914955.0,2999061.0,3083353.0,3167442.0,3251094.0,3334837.0,3418809.0,3502431.0,3586153.0,3669929.0,3753884.0,3837334.0,3921449.0,4028377.0,4113668.0,4198158.0,4282410.0,4366793.0,4451201.0,4535691.0,4620661.0,4705199.0,4789950.0,4874287.0,4958866.0,5043571.0,5128174.0,5212400.0,5296704.0
14,74.0,25.0,wurz,3.0,1.0,Finished,92118.0,178462.0,264218.0,349714.0,435055.0,520395.0,605945.0,691270.0,776805.0,862056.0,947107.0,1031661.0,1116270.0,1200876.0,1285529.0,1370332.0,1454942.0,1539208.0,1623665.0,1708716.0,1793839.0,1879638.0,1963308.0,2046331.0,2130135.0,2236352.0,2320697.0,2405581.0,2489870.0,2574129.0,2658180.0,2742344.0,2826467.0,2910173.0,2994382.0,3078572.0,3162415.0,3246033.0,3329903.0,3413440.0,3496717.0,3580203.0,3663916.0,3747236.0,3830732.0,3913899.0,3998665.0,4104119.0,4188955.0,4274024.0,4358751.0,4443364.0,4528290.0,4613219.0,4697930.0,4782705.0,4867056.0,4951498.0,5036058.0,5120243.0,5204653.0,5289475.0
18,74.0,35.0,villeneuve,4.0,1.0,Finished,92956.0,179581.0,265409.0,351023.0,436110.0,521478.0,607024.0,692146.0,777890.0,862998.0,948191.0,1032785.0,1117396.0,1202081.0,1286580.0,1371928.0,1456550.0,1541091.0,1625140.0,1709855.0,1794572.0,1880689.0,1965690.0,2075211.0,2161192.0,2246734.0,2333049.0,2419229.0,2504837.0,2590598.0,2675789.0,2761233.0,2846178.0,2931076.0,3016321.0,3101735.0,3186876.0,3271972.0,3356514.0,3441170.0,3526171.0,3610677.0,3695073.0,3779224.0,3863241.0,3947882.0,4053185.0,4138590.0,4224223.0,4309836.0,4394666.0,4479291.0,4563642.0,4647673.0,4732560.0,4817080.0,4901972.0,4986623.0,5070921.0,5155637.0,5240420.0,5326363.0
11,74.0,22.0,barrichello,15.0,10.0,Electrical,93589.0,180339.0,266307.0,351916.0,437219.0,522859.0,607863.0,692863.0,778371.0,863727.0,948729.0,1033587.0,1118022.0,1202548.0,1287375.0,1372355.0,1457880.0,1571325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,74.0,2.0,heidfeld,6.0,1.0,Finished,94287.0,180993.0,267408.0,352989.0,438976.0,524836.0,610090.0,695379.0,780343.0,865443.0,950585.0,1035842.0,1120717.0,1205301.0,1289953.0,1374319.0,1458891.0,1543205.0,1627464.0,1711920.0,1797011.0,1903843.0,1989477.0,2076483.0,2163407.0,2249018.0,2334775.0,2420212.0,2505893.0,2591938.0,2677958.0,2763532.0,2848552.0,2933378.0,3018093.0,3102994.0,3188135.0,3273339.0,3358164.0,3442826.0,3527335.0,3612441.0,3696686.0,3781184.0,3887266.0,3976905.0,4064804.0,4150175.0,4234923.0,4319503.0,4403747.0,4488128.0,4572224.0,4656141.0,4740332.0,4824629.0,4909856.0,4994286.0,5079123.0,5163544.0,5248481.0,5333203.0
