,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,1014.0,832.0,sainz,8.0,1.0,Finished,95138.0,181461.0,266671.0,351257.0,436058.0,520914.0,605419.0,690059.0,774507.0,858697.0,943018.0,1027160.0,1111245.0,1195814.0,1280195.0,1364194.0,1448524.0,1532511.0,1616789.0,1701523.0,1785905.0,1870441.0,1956396.0,2046253.0,2147754.0,2230440.0,2313713.0,2397261.0,2480664.0,2564245.0,2647801.0,2731109.0,2814717.0,2898222.0,2981537.0,3064883.0,3148130.0,3231428.0,3314630.0,3397817.0,3483212.0,3566089.0,3649168.0,3731981.0,3830126.0,3951508.0,4056886.0,4147428.0,4262269.0,4391407.0,4515975.0,4637177.0,4721716.0,4804168.0,4885933.0,4967704.0,5049796.0,5132611.0,5213470.0,5294908.0,5376162.0,5457518.0,5538902.0,5620075.0,5701412.0,5782785.0
8,1014.0,817.0,ricciardo,12.0,1.0,Finished,95756.0,182120.0,267398.0,352009.0,436604.0,521597.0,606395.0,690998.0,775480.0,859352.0,943716.0,1027937.0,1111898.0,1196535.0,1281159.0,1365529.0,1450165.0,1534393.0,1618969.0,1703612.0,1787643.0,1871690.0,1956825.0,2043700.0,2147227.0,2231388.0,2314846.0,2398609.0,2481986.0,2565632.0,2649198.0,2732839.0,2816709.0,2900065.0,2983091.0,3066292.0,3149301.0,3232605.0,3315796.0,3400783.0,3483984.0,3566913.0,3649891.0,3733014.0,3835183.0,3978643.0,4110017.0,4242960.0,4353305.0,4438283.0,4522894.0,4638669.0,4724224.0,4807373.0,4889502.0,4970117.0,5051951.0,5134596.0,5216504.0,5298060.0,5380055.0,5461903.0,5543413.0,5624805.0,5705729.0,5787201.0
7,1014.0,815.0,perez,15.0,1.0,Finished,96385.0,182934.0,268763.0,353904.0,438730.0,523451.0,608163.0,692948.0,777649.0,861986.0,946201.0,1030394.0,1114314.0,1198890.0,1283090.0,1367281.0,1452198.0,1536617.0,1621116.0,1705676.0,1789985.0,1874337.0,1958577.0,2047777.0,2150815.0,2233794.0,2317141.0,2400794.0,2484301.0,2568159.0,2651808.0,2735075.0,2818982.0,2902402.0,2985871.0,3069360.0,3154255.0,3237841.0,3321324.0,3404209.0,3487763.0,3572775.0,3655967.0,3739417.0,3842839.0,3979665.0,4112322.0,4244212.0,4355940.0,4441869.0,4525297.0,4639060.0,4724802.0,4808608.0,4891346.0,4973577.0,5057947.0,5140175.0,5222286.0,5304279.0,5386311.0,5468367.0,5550342.0,5633049.0,5714908.0,5797320.0
14,1014.0,840.0,stroll,19.0,4.0,Collision,96721.0,183638.0,269600.0,354940.0,440171.0,525364.0,610662.0,695900.0,781418.0,866312.0,950955.0,1035469.0,1119697.0,1204106.0,1288622.0,1372942.0,1457765.0,1542028.0,1626358.0,1710710.0,1794959.0,1882958.0,1986205.0,2069702.0,2153393.0,2236874.0,2320189.0,2403415.0,2486708.0,2570051.0,2653556.0,2736789.0,2820569.0,2904103.0,2987428.0,3070691.0,3155350.0,3238765.0,3322432.0,3406036.0,3490676.0,3574014.0,3657691.0,3741510.0,,,,,,,,,,,,,,,,,,,,,,
15,1014.0,841.0,giovinazzi,16.0,1.0,Finished,97251.0,184356.0,270236.0,355803.0,441205.0,531792.0,635614.0,720345.0,805292.0,890304.0,975283.0,1059969.0,1144902.0,1230064.0,1315246.0,1400402.0,1487433.0,1573352.0,1660926.0,1745925.0,1831054.0,1916922.0,2003749.0,2088906.0,2173548.0,2258481.0,2343162.0,2428611.0,2514033.0,2598713.0,2683303.0,2770482.0,2855326.0,2939974.0,3024860.0,3110037.0,3195244.0,3282099.0,3367915.0,3454022.0,3545135.0,3650358.0,3733289.0,3831197.0,3952012.0,4049364.0,4145377.0,4261280.0,4366375.0,4452315.0,4536232.0,4641420.0,4725668.0,4809828.0,4892818.0,4975090.0,5058612.0,5141016.0,5223193.0,5305642.0,5387781.0,5469954.0,5552023.0,5633856.0,5715875.0,5798134.0
18,1014.0,846.0,norris,20.0,4.0,Collision,97604.0,184799.0,270958.0,356241.0,441697.0,526558.0,611498.0,696454.0,782465.0,868465.0,953194.0,1037484.0,1122022.0,1206385.0,1290850.0,1375353.0,1459981.0,1544450.0,1628988.0,1713672.0,1797927.0,1882227.0,1966142.0,2050361.0,2134215.0,2223138.0,2324727.0,2407288.0,2489930.0,2572702.0,2655564.0,2738521.0,2822134.0,2905493.0,2988720.0,3073594.0,3156588.0,3239959.0,3323206.0,3406772.0,3491795.0,3575009.0,3658222.0,3742095.0,,,,,,,,,,,,,,,,,,,,,,
3,1014.0,9.0,kubica,18.0,11.0,+1 Lap,98564.0,187310.0,274412.0,361597.0,448727.0,535035.0,621347.0,707421.0,793611.0,879835.0,968150.0,1054581.0,1140950.0,1226790.0,1312745.0,1398675.0,1484910.0,1572815.0,1660296.0,1747889.0,1835743.0,1922238.0,2008644.0,2095027.0,2182765.0,2270188.0,2358913.0,2446511.0,2533199.0,2621621.0,2712517.0,2823466.0,2910316.0,2995986.0,3083037.0,3169589.0,3254796.0,3343337.0,3430452.0,3515321.0,3600886.0,3687814.0,3773414.0,3895130.0,4031185.0,4124557.0,4255140.0,4364808.0,4450537.0,4535348.0,4641283.0,4727581.0,4812445.0,4896562.0,4980495.0,5064507.0,5148638.0,5232558.0,5316120.0,5399890.0,5483454.0,5567226.0,5650940.0,5734312.0,5817514.0,
6,1014.0,807.0,hulkenberg,13.0,1.0,Finished,98687.0,185919.0,272230.0,357806.0,443137.0,528410.0,612648.0,697354.0,783020.0,867395.0,951871.0,1036144.0,1120530.0,1204744.0,1289256.0,1373529.0,1458688.0,1543147.0,1627554.0,1711867.0,1796273.0,1880464.0,1963386.0,2047111.0,2130657.0,2214178.0,2299393.0,2383604.0,2467272.0,2550940.0,2634675.0,2718871.0,2805225.0,2889421.0,2976860.0,3078950.0,3163884.0,3246464.0,3331206.0,3414038.0,3497290.0,3580214.0,3663050.0,3745756.0,3850391.0,3977962.0,4109377.0,4242138.0,4352250.0,4437236.0,4521462.0,4638192.0,4723722.0,4806828.0,4888963.0,4971809.0,5054056.0,5136216.0,5218326.0,5299920.0,5381805.0,5463505.0,5545435.0,5627064.0,5708346.0,5789684.0
19,1014.0,847.0,russell,17.0,11.0,+1 Lap,99457.0,187902.0,276455.0,363115.0,449731.0,536444.0,622498.0,708569.0,794760.0,880629.0,966411.0,1052135.0,1137964.0,1223843.0,1309960.0,1396070.0,1482638.0,1568880.0,1655565.0,1743404.0,1829659.0,1916015.0,2005424.0,2091810.0,2178227.0,2267096.0,2353117.0,2439242.0,2526092.0,2612438.0,2698482.0,2789167.0,2893359.0,2977599.0,3062135.0,3146614.0,3234211.0,3320829.0,3409803.0,3496018.0,3582620.0,3667867.0,3752961.0,3865003.0,4000926.0,4116136.0,4248214.0,4357703.0,4443379.0,4527894.0,4639966.0,4726605.0,4811050.0,4895059.0,4978704.0,5062404.0,5146543.0,5229820.0,5313077.0,5396229.0,5479259.0,5562355.0,5645156.0,5727538.0,5810228.0,
2,1014.0,8.0,raikkonen,14.0,1.0,Finished,103029.0,188579.0,275232.0,361837.0,446153.0,531160.0,616026.0,700411.0,785171.0,869887.0,954496.0,1038789.0,1123358.0,1207925.0,1292505.0,1377138.0,1461929.0,1546612.0,1631636.0,1716185.0,1800367.0,1884804.0,1968937.0,2055548.0,2140219.0,2224718.0,2309242.0,2398360.0,2501199.0,2585071.0,2668717.0,2753747.0,2837310.0,2922488.0,3006148.0,3089695.0,3172941.0,3256574.0,3340294.0,3423659.0,3506972.0,3590211.0,3673457.0,3759216.0,3874697.0,4011141.0,4120559.0,4254290.0,4360550.0,4444610.0,4528902.0,4640462.0,4725173.0,4809179.0,4891996.0,4974117.0,5056510.0,5138463.0,5220329.0,5302184.0,5384035.0,5465636.0,5547626.0,5629293.0,5710864.0,5792246.0
