,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,976,1,hamilton,131,5,1,Finished,112049,220088,327868,434810,541191,648051,754534,860828.0,967420.0,1073732.0,1180679.0,1302382.0,1482328.0,1650357.0,1832686.0,1993722.0,2137075.0,2310762.0,2477481.0,2608463.0,2798994.0,2986926.0,4466799.0,4576117.0,4682601.0,4788178.0,4893837.0,4998779.0,5104511.0,5210683.0,5321541.0,5451824.0,5557905.0,5664241.0,5769535.0,5875736.0,5980862.0,6086442.0,6192042.0,6296778.0,6401802.0,6508015.0,6612620.0,6716460.0,6820334.0,6923803.0,7027536.0,7131084.0,7234638.0,7338238.0,7441761.0
4,976,20,vettel,6,4,1,Finished,113980,222349,330116,437413,544478,651351,757933,864851.0,971075.0,1077341.0,1184314.0,1306414.0,1483919.0,1653386.0,1834666.0,1994756.0,2138005.0,2311935.0,2477891.0,2610021.0,2799690.0,2989186.0,4467078.0,4577177.0,4684266.0,4790298.0,4896163.0,5001447.0,5107014.0,5212764.0,5318630.0,5423942.0,5532417.0,5663501.0,5768846.0,5875388.0,5980343.0,6085809.0,6190974.0,6295480.0,6401309.0,6506147.0,6610839.0,6714868.0,6818498.0,6922074.0,7025515.0,7129690.0,7233676.0,7337509.0,7441549.0
7,976,815,perez,10,15,136,Seat,114615,223422,331384,438837,546460,653799,760867,867791.0,974842.0,1081712.0,1190565.0,1315695.0,1485433.0,1656052.0,1835028.0,1994723.0,2139020.0,2312983.0,2477945.0,2636236.0,4340175.0,4471540.0,4586592.0,4698759.0,4807843.0,4914900.0,5021575.0,5128108.0,5235085.0,5342509.0,5450428.0,5556698.0,5668815.0,5786105.0,5892303.0,5997973.0,6103561.0,6209590.0,6326176.0,,,,,,,,,,,,
13,976,830,max_verstappen,9,18,51,Oil pressure,115571,224445,332025,439494,547112,654829,761737,868899.0,975476.0,1081874.0,1198891.0,1336902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,976,8,raikkonen,6,14,34,Water pressure,116481,225304,333774,441610,549292,656852,764282,871789.0,979046.0,1085762.0,1193691.0,1319654.0,1486989.0,1657279.0,1836644.0,1995746.0,2142579.0,2316211.0,2478318.0,2662331.0,4358040.0,4472263.0,4586780.0,4700123.0,4809962.0,4917408.0,5024609.0,5131832.0,5238756.0,5345125.0,5453230.0,5559845.0,5671303.0,5789017.0,5896489.0,6002995.0,6109341.0,6217208.0,6323628.0,6431234.0,6537629.0,6644062.0,6749996.0,6855538.0,6961142.0,7072975.0,,,,,
3,976,13,massa,3,16,22,Suspension,117605,226955,334994,443054,550765,658430,766124,873535.0,981159.0,1088499.0,1196259.0,1323331.0,1488561.0,1658212.0,1837818.0,1995697.0,2140136.0,2314045.0,2477956.0,2611293.0,2800683.0,2991076.0,4467931.0,4580894.0,4709913.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,976,839,ocon,10,6,1,Finished,118057,227773,336224,444479,552315,660196,767955,875579.0,983421.0,1090721.0,1198358.0,1325691.0,1489627.0,1659041.0,1839386.0,1995736.0,2140941.0,2315196.0,2478058.0,2651637.0,2813193.0,3013346.0,4470190.0,4584192.0,4696592.0,4804233.0,4912432.0,5019207.0,5126282.0,5232554.0,5338931.0,5445459.0,5553102.0,5659651.0,5765806.0,5871448.0,5977595.0,6083254.0,6188888.0,6295066.0,6401055.0,6507846.0,6615601.0,6721629.0,6827319.0,6933329.0,7039566.0,7145579.0,7251975.0,7358631.0,7465871.0
19,976,840,stroll,3,3,1,Finished,119252,228851,337390,445980,553786,661808,769292,877042.0,985031.0,1092120.0,1200253.0,1325885.0,1485967.0,1660792.0,1840884.0,1996811.0,2143342.0,2317094.0,2478625.0,2612590.0,2801521.0,2992614.0,4467803.0,4578444.0,4685978.0,4792529.0,4899519.0,5006013.0,5112391.0,5218725.0,5325160.0,5431652.0,5538141.0,5644896.0,5751334.0,5857585.0,5963391.0,6069168.0,6175281.0,6280990.0,6386446.0,6491749.0,6597001.0,6702109.0,6807331.0,6912865.0,7018486.0,7123864.0,7229090.0,7334207.0,7439582.0
8,976,817,ricciardo,9,1,1,Finished,119527,229504,339232,448258,563773,691416,802335,909390.0,1018781.0,1127240.0,1235500.0,1370765.0,1520752.0,1664941.0,1846040.0,1999156.0,2146600.0,2321743.0,2479432.0,2614769.0,2803586.0,2994466.0,4467983.0,4577713.0,4685584.0,4792014.0,4898608.0,5004950.0,5111044.0,5217055.0,5323369.0,5429279.0,5535421.0,5641338.0,5747436.0,5852969.0,5958491.0,6063866.0,6170690.0,6275998.0,6381395.0,6486649.0,6591704.0,6696928.0,6802036.0,6906918.0,7012276.0,7117676.0,7223751.0,7329456.0,7435573.0
6,976,807,hulkenberg,4,17,3,Accident,120639,230913,340008,449384,558542,668552,777128,886001.0,994537.0,1103425.0,1212487.0,1342105.0,1492595.0,1662345.0,1843358.0,1997655.0,2144277.0,2319117.0,2478793.0,2615471.0,2804815.0,2996174.0,4467919.0,4580820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
