,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,kubica,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
2,vettel,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,12,12,12,13,14,14,14,13,11,14,14,14,14,14,14,15,15,15,15,15,15,14,14,14,14,14,0,0
3,massa,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,button,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,webber,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
6,hulkenberg,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,7,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,12,13,13,14,13,13,13,13,13,0,0
7,sutil,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,8,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,rosberg,9,10,10,10,10,10,10,10,10,9,11,11,11,11,11,9,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,9,9,9,9,8,8,8,6,6,6,6
9,alguersuari,10,14,16,18,20,20,20,18,18,16,16,16,16,16,16,15,14,14,14,14,13,13,13,14,12,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,11,10,10,12
10,liuzzi,11,9,9,9,9,9,9,9,9,13,13,13,13,13,14,13,11,11,11,11,11,11,11,11,14,15,15,15,15,15,15,14,14,14,14,14,13,12,12,12,12,11,11,10
11,kobayashi,12,12,18,15,14,13,13,13,13,12,12,12,12,12,12,11,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,8,8,8,8
12,yamamoto,13,17,15,16,16,17,18,19,19,20,20,20,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,0,0,0,0
13,michael_schumacher,14,13,12,12,12,12,12,12,12,11,10,10,10,10,10,8,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
14,petrov,15,11,11,11,11,11,11,11,11,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9
15,trulli,16,15,13,13,13,14,14,14,16,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,17,18,18,17,0,0
16,grassi,17,16,14,14,15,15,15,17,17,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,0,0
17,rosa,18,19,19,20,18,16,16,15,15,15,15,15,15,15,15,14,13,13,13,12,12,12,12,12,13,12,12,12,12,12,12,12,12,13,12,12,12,11,11,11,10,12,12,11
18,kovalainen,19,21,21,21,21,21,21,21,21,21,21,21,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,17,15,15,15,15,0,0
19,bruno_senna,20,18,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,glock,21,22,20,17,17,18,19,20,20,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,18,18,17,17,0,0,0
21,alonso,22,20,17,19,19,19,17,16,14,14,14,14,14,14,13,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,0,0,0,0,0,0,0
