,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
13,862,154,grosjean,208,6,1,Finished,112513,217938,323028,427394,531955,636512,740858,845325,949960,1054388,1162846,1282446,1385781.0,1488612.0,1591595.0,1694550.0,1797680.0,1900962.0,2004107.0,2107428.0,2210675.0,2314122.0,2417045.0,2520272.0,2623267.0,2726415.0,2828965.0,2931352.0,3034605.0,3137137.0,3239649.0,3346035.0,3469658.0,3570943.0,3672063.0,3773461.0,3875646.0,3978308.0,4080526.0,4183690.0,4286154.0,4388637.0,4490544.0,4592632.0,4699840.0,4801362.0,4902555.0,5004554.0,5106947.0,5208078.0,5309535.0,5410860.0,5512804.0,5614633.0,5716873.0,5818420.0
17,862,811,bruno_senna,3,7,1,Finished,113302,218762,324036,428737,533971,638297,742700,846859,951254,1055326,1159521,1267991,1387405.0,1490353.0,1593256.0,1696478.0,1799833.0,1903279.0,2007810.0,2111295.0,2214356.0,2317675.0,2420786.0,2523962.0,2627299.0,2731385.0,2835016.0,2941233.0,3050275.0,3169874.0,3271317.0,3372722.0,3474551.0,3576208.0,3677522.0,3778922.0,3880215.0,3981738.0,4083557.0,4185192.0,4288109.0,4390091.0,4492853.0,4594654.0,4696604.0,4798559.0,4900654.0,5004221.0,5107403.0,5209355.0,5311500.0,5413216.0,5514960.0,5616936.0,5719549.0,5821526.0
19,862,814,resta,10,12,1,Finished,113925,219721,324719,429355,534586,639025,743463,847815,952206,1057258,1166461,1286081,1389650.0,1493397.0,1596720.0,1699739.0,1802985.0,1905992.0,2009480.0,2113622.0,2218319.0,2321915.0,2425122.0,2528280.0,2631462.0,2734680.0,2839233.0,2943324.0,3046954.0,3150375.0,3254978.0,3362891.0,3481919.0,3583988.0,3685605.0,3787140.0,3888824.0,3990558.0,4092241.0,4193739.0,4295389.0,4397238.0,4499022.0,4600737.0,4702575.0,4805012.0,4907820.0,5010236.0,5112472.0,5215902.0,5319296.0,5420835.0,5522451.0,5624409.0,5726928.0,5829202.0
9,862,20,vettel,9,5,1,Finished,114438,220006,325136,429922,534819,639476,743913,848397,957153,1077644,1180376,1283554,1386506.0,1489281.0,1592268.0,1695448.0,1798950.0,1902360.0,2005791.0,2108769.0,2211684.0,2314638.0,2417619.0,2520761.0,2624395.0,2727471.0,2830548.0,2933432.0,3036599.0,3140536.0,3248795.0,3366544.0,3467145.0,3568180.0,3669579.0,3772155.0,3875015.0,3977902.0,4080169.0,4182583.0,4285329.0,4387477.0,4489275.0,4591217.0,4693282.0,4795444.0,4897725.0,4999376.0,5100752.0,5202054.0,5304453.0,5406367.0,5508478.0,5611212.0,5714329.0,5817412.0
18,862,813,maldonado,3,8,1,Finished,114494,220846,325801,430441,535354,640113,744704,849902,953599,1057869,1167069,1287110,1390166.0,1493880.0,1597495.0,1700278.0,1803926.0,1907106.0,2010204.0,2113521.0,2217232.0,2320436.0,2423323.0,2526140.0,2629789.0,2733006.0,2836173.0,2939543.0,3042933.0,3147914.0,3251444.0,3355462.0,3464348.0,3582359.0,3682922.0,3783404.0,3884428.0,3985331.0,4086061.0,4187044.0,4288589.0,4391180.0,4493520.0,4595276.0,4700216.0,4801888.0,4903178.0,5004947.0,5108460.0,5210295.0,5311898.0,5413771.0,5517876.0,5619676.0,5721017.0,5822572.0
3,862,5,kovalainen,207,23,13,+3 Laps,114941,221934,327608,433505,538913,644188,749981,855562,960838,1066494,1171710,1284613,1406830.0,1512443.0,1616765.0,1721769.0,1827117.0,1932434.0,2037525.0,2142040.0,2246306.0,2350459.0,2455574.0,2560097.0,2664667.0,2769129.0,2873620.0,2982259.0,3237982.0,3378341.0,3483656.0,3586969.0,3693780.0,3799286.0,3903127.0,4008787.0,4112069.0,4215395.0,4319476.0,4425024.0,4530630.0,4634696.0,4739141.0,4843041.0,4947302.0,5051828.0,5161712.0,5346876.0,5452234.0,5553700.0,5655034.0,5757355.0,5858545.0,,,
15,862,807,hulkenberg,10,15,1,Finished,115795,223065,328672,434144,539523,644800,750589,856224,965621,1097033,1200759,1306277,1409455.0,1513658.0,1617633.0,1722158.0,1826616.0,1931212.0,2034776.0,2137493.0,2240682.0,2343793.0,2446771.0,2549648.0,2652975.0,2756297.0,2859811.0,2963648.0,3067370.0,3175947.0,3294770.0,3396253.0,3497765.0,3599440.0,3700782.0,3802520.0,3904520.0,4005959.0,4107743.0,4209145.0,4310727.0,4412383.0,4514016.0,4615443.0,4716747.0,4817986.0,4919324.0,5020301.0,5121647.0,5223312.0,5324964.0,5426652.0,5529075.0,5631396.0,5734497.0,5838142.0
5,862,10,glock,206,19,11,+1 Lap,116348,224604,331810,439510,546164,652755,759639,865930,972268,1078790,1184919,1291817,1398066.0,1504256.0,1610630.0,1717103.0,1823800.0,1936192.0,2058565.0,2163109.0,2267471.0,2371873.0,2475973.0,2580133.0,2684332.0,2788718.0,2893034.0,2997436.0,3101820.0,3206394.0,3310684.0,3415402.0,3520152.0,3625276.0,3730198.0,3839104.0,3961265.0,4064189.0,4167167.0,4270223.0,4372971.0,4475964.0,4579044.0,4681988.0,4785203.0,4888088.0,4991022.0,5094154.0,5197217.0,5300381.0,5403533.0,5510226.0,5614004.0,5721981.0,5840154.0,
21,862,817,ricciardo,5,17,1,Finished,116795,223977,329284,434686,539996,645222,750836,856787,961925,1066899,1174348,1280802,1387133.0,1493074.0,1599829.0,1705243.0,1814025.0,1936304.0,2040741.0,2144146.0,2246877.0,2350833.0,2453559.0,2556092.0,2658527.0,2761279.0,2864156.0,2967321.0,3070509.0,3174261.0,3277593.0,3381337.0,3490116.0,3611248.0,3712749.0,3814455.0,3915740.0,4017275.0,4118537.0,4219788.0,4321460.0,4423701.0,4525044.0,4626620.0,4727880.0,4829281.0,4933211.0,5034695.0,5136116.0,5237710.0,5339303.0,5440989.0,5543988.0,5645904.0,5747905.0,5850085.0
16,862,808,petrov,207,18,11,+1 Lap,117261,224912,331426,437231,542581,647934,753633,860287,968183,1078328,1200282,1306836,1411632.0,1516552.0,1621864.0,1726509.0,1831010.0,1935507.0,2040392.0,2145778.0,2249964.0,2354274.0,2458459.0,2562224.0,2666239.0,2770478.0,2874776.0,2979428.0,3087751.0,3208156.0,3311071.0,3414805.0,3517911.0,3620915.0,3723719.0,3826482.0,3929248.0,4031633.0,4134734.0,4238372.0,4341265.0,4443988.0,4546865.0,4649754.0,4752719.0,4855687.0,4958900.0,5063502.0,5166617.0,5269498.0,5372994.0,5476120.0,5582073.0,5686977.0,5790554.0,
23,862,819,pic,206,20,11,+1 Lap,117684,226378,334324,441590,548538,654845,761699,868106,974922,1081190,1187364,1293613,1399688.0,1505928.0,1612072.0,1718317.0,1824484.0,1932399.0,2043447.0,2167029.0,2271162.0,2376013.0,2480632.0,2584757.0,2689454.0,2794436.0,2898938.0,3003436.0,3107772.0,3212119.0,3316256.0,3420331.0,3524489.0,3628567.0,3732451.0,3836684.0,3945340.0,4068773.0,4171394.0,4274276.0,4377363.0,4480285.0,4583253.0,4686411.0,4789594.0,4892614.0,4995719.0,5103432.0,5218255.0,5321985.0,5425467.0,5529756.0,5633218.0,5736997.0,5840552.0,
11,862,37,rosa,164,21,11,+1 Lap,118091,227528,335589,442993,550012,656873,763852,870843,977887,1084898,1191782,1298829,1405769.0,1514574.0,1622613.0,1730310.0,1842118.0,1967873.0,2072990.0,2178032.0,2283146.0,2388238.0,2493267.0,2598513.0,2703806.0,2809277.0,2917970.0,3023555.0,3132946.0,3240820.0,3353062.0,3478663.0,3584997.0,3689468.0,3793691.0,3898033.0,4004130.0,4110054.0,4214170.0,4318564.0,4424486.0,4529030.0,4634375.0,4738511.0,4842568.0,4946746.0,5050643.0,5154740.0,5258616.0,5363420.0,5467563.0,5571911.0,5675769.0,5779379.0,5883223.0,
12,862,39,karthikeyan,164,22,12,+2 Laps,119050,228520,337606,445072,552986,660608,768483,876121,983842,1090846,1198661,1307546,1415596.0,1523930.0,1632525.0,1745202.0,1874471.0,1980533.0,2086532.0,2192604.0,2299907.0,2407261.0,2513191.0,2620829.0,2730087.0,2842908.0,2951656.0,3058783.0,3165120.0,3271171.0,3378996.0,3493423.0,3618247.0,3722351.0,3829037.0,3933972.0,4038573.0,4143167.0,4247653.0,4351588.0,4456119.0,4560317.0,4664569.0,4771464.0,4876513.0,4981233.0,5088461.0,5193308.0,5297698.0,5402450.0,5513624.0,5623478.0,5730152.0,5835280.0,,
