,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,216745.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,218438.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
2,221930.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
3,222533.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,7
4,224492.0,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,6,6,6,9,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6
5,226957.0,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,14,13,11,11,10,9,9,9,9,9,9,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,0
6,227821.0,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2
7,228658.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,12,12,11,10,10,10,10,10,10,9,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,0
8,230896.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,7,7,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
9,232165.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,9,8,14,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,0
10,232825.0,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,15,15,15,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,14,13,13,13,13,13,13,0
11,233353.0,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,12,12,18,17,17,17,17,17,15,15,14,14,14,14,14,14,14,13,14,14,14,14,15,15,15,16,16,16,16,16,0
12,234022.0,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,12,10,10,9,8,8,8,8,8,8,7,7,8,8,8,14,13,13,13,13,13,12,12,12,12,12,12,12,0
13,236431.0,14,15,14,13,18,16,15,14,14,14,13,13,12,11,11,11,11,10,10,10,9,8,8,7,6,6,6,6,6,6,6,6,10,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5
14,237991.0,15,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,14,15,14,13,13,12,11,12,17,17,17,15,15,15,15,15,15,15,15,15,15,15,14,13,14,14,14,14,14,14,0
15,239436.0,16,17,17,15,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,18,18,16,16,16,16,16,16,14,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,236187.0,17,14,15,17,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,16,16,15,14,14,13,15,15,16,16,16,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
17,281193.0,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,18,18,18,18,18,18,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,0
