,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
12,195,57,hakkinen,1,1,1,Finished,88177,172849,257447,342109,427044,511983,596991,682317,767512,852726,938122,1023389,1108791,1194257,1279632,1365339,1451120,1537915,1623322,1709643,1795973.0,1881069.0,1967432.0,2052856.0,2137131.0,2225435.0,2331737.0,2416476.0,2501531.0,2587124.0,2672908.0,2759070.0,2845322.0,2931170.0,3016294.0,3101164.0,3186378.0,3272076.0,3357843.0,3443493.0,3528025.0,3613554.0,3700218.0,3786087.0,3875042.0,3986021.0,4072050.0,4159399.0,4245290.0,4329969.0,4415171.0,4500484.0,4586805.0,4673977.0,4759936.0,4845638.0,4931194.0,5016475.0,5101125.0,5186478.0,5271561.0,5358901.0,5446083.0,5532209.0,5617622.0
0,195,14,coulthard,1,2,1,Finished,89994,175861,261563,346918,432840,518704,604528,690484,776428,862320,948502,1034466,1120609,1206618,1292706,1378623,1464563,1550386,1636098,1721818,1807534.0,1893335.0,1979548.0,2065634.0,2151360.0,2237283.0,2326104.0,2430736.0,2516863.0,2602563.0,2688426.0,2773968.0,2859629.0,2945243.0,3030796.0,3116118.0,3201521.0,3286640.0,3371646.0,3456959.0,3542376.0,3627782.0,3713919.0,3800590.0,3886128.0,3974352.0,4078287.0,4164260.0,4251291.0,4337001.0,4423587.0,4509981.0,4595312.0,4680544.0,4766003.0,4851474.0,4937575.0,5024040.0,5110083.0,5196432.0,5283203.0,5368346.0,5453124.0,5539549.0,5627061.0
11,195,56,irvine,6,18,4,Collision,92188,178614,264740,350796,436952,523107,609324,695625,781819,868200,954310,1040647,1126838,1212815,1298780,1384594,1470441,1556415,1642410,1728188,1814475.0,1901320.0,1988022.0,2073878.0,2161915.0,2269153.0,2357999.0,2446348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,195,21,fisichella,22,19,4,Collision,92691,179203,265506,351663,437905,524170,610530,696987,783515,869890,956179,1042378,1128567,1214656,1300636,1386894,1473315,1559166,1645486,1731813,1817995.0,1904132.0,1991238.0,2078077.0,2166392.0,2272225.0,2358316.0,2446622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,195,30,michael_schumacher,6,3,1,Finished,93409,180124,266656,352887,439272,525401,611817,698172,784640,871192,957619,1044103,1130168,1216322,1302757,1388545,1474848,1562371,1648171,1734083,1820112.0,1906088.0,1992819.0,2079597.0,2165913.0,2251446.0,2338618.0,2444784.0,2530756.0,2617055.0,2703041.0,2790108.0,2876814.0,2962304.0,3048537.0,3134016.0,3220052.0,3307333.0,3393024.0,3479923.0,3587718.0,3674448.0,3760588.0,3845796.0,3930780.0,4015566.0,4100191.0,4186383.0,4291103.0,4376082.0,4461544.0,4546594.0,4631544.0,4716621.0,4801594.0,4886375.0,4971400.0,5057677.0,5145542.0,5231255.0,5317428.0,5403477.0,5489636.0,5576656.0,5664716.0
5,195,25,wurz,22,4,1,Finished,94059,181274,267810,354216,440936,527291,613544,700162,786867,873589,959965,1046857,1133196,1219955,1306558,1393125,1479577,1566140,1652472,1738759,1825362.0,1911355.0,1999430.0,2107506.0,2193457.0,2279412.0,2365911.0,2452509.0,2539030.0,2625885.0,2712371.0,2799192.0,2886567.0,2973424.0,3060675.0,3147031.0,3233756.0,3321470.0,3408967.0,3496365.0,3583511.0,3670062.0,3755467.0,3840810.0,3926436.0,4013774.0,4120245.0,4208318.0,4295652.0,4382704.0,4469221.0,4555328.0,4641686.0,4727681.0,4813508.0,4899445.0,4985524.0,5071805.0,5158209.0,5244456.0,5330923.0,5417556.0,5504446.0,5592495.0,5680160.0
3,195,22,barrichello,24,5,11,+1 Lap,95113,183092,270219,357071,444315,531564,618772,706225,793537,880924,968117,1055405,1142654,1229851,1317218,1404396,1491584,1578546,1665618,1752634,1839775.0,1928498.0,2035848.0,2122380.0,2209585.0,2296667.0,2383760.0,2471043.0,2558268.0,2645459.0,2732474.0,2819640.0,2906513.0,2993505.0,3080637.0,3167478.0,3254189.0,3341173.0,3428246.0,3515357.0,3602485.0,3689655.0,3776501.0,3865244.0,3973451.0,4060704.0,4147262.0,4234088.0,4321187.0,4408444.0,4495867.0,4582921.0,4670126.0,4757771.0,4844851.0,4933500.0,5020920.0,5108631.0,5197683.0,5285280.0,5372790.0,5460158.0,5547128.0,5634435.0,
7,195,35,villeneuve,3,6,11,+1 Lap,95956,184927,272381,359608,446714,534250,621760,709097,796552,883833,971178,1058438,1145906,1233199,1320232,1407326,1494188,1581599,1668853,1755765,1842596.0,1929410.0,2016185.0,2102592.0,2189281.0,2275931.0,2364740.0,2473307.0,2559829.0,2646345.0,2733251.0,2820170.0,2907239.0,2994593.0,3081659.0,3168544.0,3255224.0,3342054.0,3429186.0,3516180.0,3603238.0,3690236.0,3777331.0,3865016.0,3953071.0,4062362.0,4149395.0,4236435.0,4323714.0,4411331.0,4498539.0,4585894.0,4673576.0,4762200.0,4849234.0,4936365.0,5023486.0,5111630.0,5198955.0,5286375.0,5373721.0,5461007.0,5547922.0,5635147.0,
15,195,65,herbert,15,7,11,+1 Lap,96387,185376,272932,360237,447494,534796,622502,709943,797133,884593,971923,1059259,1146593,1233880,1320859,1408026,1495055,1582309,1669607,1756864,1843917.0,1933019.0,2041197.0,2129344.0,2215957.0,2302311.0,2388895.0,2475639.0,2562562.0,2648949.0,2735805.0,2822439.0,2908881.0,2995571.0,3082425.0,3169455.0,3256369.0,3343144.0,3430772.0,3517859.0,3604873.0,3691908.0,3779579.0,3869518.0,3975897.0,4063113.0,4150613.0,4237469.0,4324433.0,4411794.0,4499040.0,4586424.0,4674529.0,4762735.0,4849762.0,4936903.0,5025161.0,5112324.0,5199538.0,5287080.0,5374640.0,5462800.0,5549572.0,5638148.0,
17,195,71,damon_hill,17,17,5,Engine,97026,186019,273819,361145,448740,536150,623998,711192,798607,886043,973613,1060840,1148018,1235271,1322705,1410875,1497502,1584322,1671543,1758777,1845834.0,1935003.0,2042796.0,2130773.0,2218417.0,2305477.0,2392724.0,2479875.0,2567064.0,2653995.0,2740937.0,2827974.0,2914888.0,3001887.0,3088968.0,3176013.0,3262837.0,3349338.0,3436114.0,3522780.0,3609842.0,3708656.0,3796389.0,3886094.0,3994448.0,4082213.0,,,,,,,,,,,,,,,,,,,
