,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,alonso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
1,webber,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
2,michael_schumacher,3,3,3,3,3,3,3,3,3,4,5,3,13,11,10,9,6,6,6,6,6,5,5,7,7,8,7,7,6,6,6,6,6,6,11,10,10,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
3,massa,4,4,4,4,4,4,4,4,4,5,3,4,3,10,9,8,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,vettel,5,5,5,5,5,5,5,5,5,3,15,12,11,8,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,maldonado,6,6,6,7,7,7,7,7,7,7,4,21,21,21,21,21,20,20,20,19,19,19,19,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
6,raikkonen,7,7,7,6,6,6,6,6,6,6,6,5,4,13,11,11,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,3,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,hamilton,8,8,8,8,8,8,8,8,8,8,8,6,5,3,2,1,1,1,2,2,2,7,7,6,6,6,6,6,12,11,10,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8
8,bruno_senna,9,9,10,10,10,10,10,10,10,10,9,7,8,6,14,13,11,11,11,11,11,11,11,11,11,11,10,10,9,9,14,13,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9
9,perez,10,10,9,9,9,9,9,9,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,hulkenberg,11,12,11,11,11,11,11,11,11,11,10,9,7,5,5,5,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,6,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12
11,grosjean,12,11,22,22,22,21,20,19,18,18,17,15,15,15,13,12,8,8,8,8,8,8,8,8,8,7,13,13,13,12,11,10,10,10,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
12,button,13,14,13,13,13,13,13,13,13,13,12,10,9,7,8,7,13,12,12,12,12,12,12,12,12,12,11,11,10,10,9,14,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10
13,kobayashi,14,13,12,12,12,12,12,12,12,12,11,8,6,4,3,3,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11
14,rosberg,15,15,14,14,14,14,14,14,14,14,13,11,10,9,6,14,12,13,13,13,13,13,13,13,13,13,12,12,11,13,12,11,11,11,10,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,vergne,16,16,15,15,15,15,15,16,16,16,16,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14
16,ricciardo,17,17,16,16,16,16,16,15,15,15,14,13,12,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13
17,glock,18,18,18,18,18,18,18,18,19,19,19,17,16,16,16,16,16,16,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
18,rosa,19,20,19,19,19,19,19,20,20,20,20,18,17,18,18,18,18,18,17,17,17,17,17,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
19,karthikeyan,20,21,20,20,20,20,21,21,21,21,21,19,20,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0
20,kovalainen,21,19,17,17,17,17,17,17,17,17,18,16,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
21,pic,22,22,21,21,21,22,22,22,22,22,22,20,19,20,20,20,19,19,19,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
