,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
17,339.0,153.0,alguersuari,9.0,1.0,Finished,114077.0,218577.0,322668.0,426484.0,529638.0,633016.0,736763.0,840485.0,943581.0,1046256.0,1148841.0,1251274.0,1353696.0,1455500.0,1557281.0,1659079.0,1761617.0,1864170.0,1969617.0,2089840.0,2193470.0,2294928.0,2395246.0,2495281.0,2595837.0,2696296.0,2796638.0,2896883.0,2997122.0,3097566.0,3198657.0,3298531.0,3398441.0,3498476.0,3598789.0,3698750.0,3798741.0,3898715.0,3999039.0,4098895.0,4199130.0,4299149.0,4398874.0,4498363.0,4597864.0,4697482.0,4797262.0,4896767.0,4996791.0,5096411.0,5196194.0,5296162.0,5396179.0,5497369.0,5597690.0,5699014.0
16,339.0,67.0,buemi,11.0,1.0,Finished,114441.0,219717.0,323533.0,427201.0,530751.0,634245.0,737623.0,841322.0,944604.0,1047316.0,1150356.0,1252801.0,1354983.0,1460324.0,1581742.0,1683154.0,1784665.0,1886422.0,1988046.0,2090897.0,2193801.0,2296654.0,2397853.0,2498603.0,2599064.0,2699526.0,2800217.0,2900632.0,3000960.0,3101317.0,3202170.0,3303116.0,3403502.0,3507751.0,3631202.0,3729561.0,3828452.0,3927387.0,4027229.0,4126174.0,4225641.0,4325470.0,4425836.0,4524509.0,4624324.0,4722387.0,4820909.0,4919351.0,5017781.0,5116427.0,5215515.0,5313810.0,5411818.0,5509428.0,5609600.0,5707350.0
1,339.0,1.0,hamilton,6.0,1.0,Finished,114646.0,218668.0,321363.0,424008.0,527098.0,630815.0,734447.0,836977.0,938699.0,1041572.0,1144480.0,1246964.0,1348240.0,1449689.0,1550588.0,1651402.0,1753345.0,1854471.0,1955045.0,2055461.0,2155964.0,2256495.0,2357040.0,2458378.0,2558936.0,2659073.0,2759215.0,2859773.0,2959545.0,3062404.0,3179838.0,3277583.0,3375811.0,3474836.0,3574983.0,3674408.0,3773487.0,3873498.0,3972730.0,4071836.0,4171121.0,4270111.0,4368944.0,4467426.0,4566259.0,4664652.0,4763986.0,4862526.0,4961091.0,5059517.0,5157832.0,5256708.0,5355298.0,5453809.0,5552154.0,5651883.0
7,339.0,13.0,massa,7.0,1.0,Finished,115272.0,220474.0,323850.0,427521.0,531111.0,634752.0,737822.0,841744.0,945070.0,1047896.0,1150744.0,1253321.0,1355397.0,1457571.0,1558819.0,1660113.0,1762430.0,1864895.0,1966813.0,2067833.0,2168858.0,2270157.0,2371136.0,2471627.0,2572129.0,2675561.0,2792585.0,2890587.0,2988832.0,3087076.0,3185531.0,3284070.0,3382548.0,3481541.0,3580518.0,3680108.0,3779182.0,3878793.0,3978328.0,4077540.0,4177186.0,4276370.0,4375480.0,4473754.0,4571709.0,4669599.0,4767626.0,4865410.0,4963430.0,5061641.0,5159487.0,5258392.0,5356939.0,5455582.0,5554190.0,5655480.0
11,339.0,18.0,button,8.0,1.0,Finished,115718.0,221469.0,324964.0,428697.0,532287.0,635986.0,739123.0,842958.0,949201.0,1068797.0,1170488.0,1271643.0,1372979.0,1474074.0,1575065.0,1675912.0,1776636.0,1877368.0,1978079.0,2079265.0,2180158.0,2280433.0,2380741.0,2480890.0,2580931.0,2681479.0,2781453.0,2881218.0,2981039.0,3080667.0,3181921.0,3281665.0,3381259.0,3480660.0,3580194.0,3679573.0,3778873.0,3878478.0,3977907.0,4077298.0,4176843.0,4276062.0,4375380.0,4475704.0,4574969.0,4674806.0,4773808.0,4872548.0,4971049.0,5069566.0,5168220.0,5267240.0,5365932.0,5465014.0,5564873.0,5666330.0
3,339.0,4.0,alonso,13.0,5.0,Engine,116088.0,221203.0,324280.0,428096.0,531760.0,635531.0,738520.0,842717.0,946782.0,1049174.0,1151765.0,1254478.0,1356938.0,1458979.0,1560610.0,1662264.0,1763685.0,1865694.0,1967688.0,2069461.0,2170314.0,2271249.0,2372241.0,2473057.0,2573837.0,2674475.0,2774688.0,2874443.0,2974090.0,3073912.0,3173453.0,3273232.0,3373260.0,3472867.0,3573040.0,3675546.0,3790913.0,3888546.0,3985961.0,4083589.0,4180820.0,4278489.0,4376569.0,4475948.0,4575109.0,4675293.0,4774537.0,4873072.0,4971497.0,5069929.0,5168609.0,5267605.0,5366531.0,5465241.0,,
8,339.0,15.0,trulli,17.0,15.0,+5 Laps,117523.0,224753.0,341269.0,448324.0,554473.0,661057.0,766772.0,872411.0,978714.0,1084875.0,1191520.0,1298153.0,1404470.0,1510800.0,1621293.0,1750714.0,1857477.0,1963486.0,2072422.0,2181689.0,2287648.0,2398657.0,2508236.0,2613796.0,2718916.0,2823791.0,2928690.0,3033647.0,3138230.0,3242714.0,3346467.0,3450689.0,3556374.0,3663129.0,3770582.0,3877989.0,3985486.0,4091815.0,4198462.0,4309796.0,4423478.0,4539265.0,4657055.0,4778150.0,4894785.0,5016091.0,5136363.0,5263579.0,5387246.0,5518294.0,5655642.0,,,,,
6,339.0,10.0,glock,23.0,20.0,Spun off,118423.0,224811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,339.0,810.0,grassi,14.0,13.0,+3 Laps,119277.0,226252.0,333593.0,439625.0,545539.0,651472.0,757262.0,863783.0,970411.0,1076707.0,1185268.0,1290716.0,1396251.0,1501599.0,1606631.0,1712202.0,1817687.0,1923078.0,2028583.0,2137696.0,2243493.0,2349630.0,2455699.0,2568452.0,2682154.0,2791734.0,2916562.0,3019786.0,3124384.0,3228637.0,3332802.0,3437201.0,3541121.0,3645451.0,3752047.0,3862121.0,3974094.0,4085072.0,4190067.0,4294083.0,4400688.0,4507731.0,4613380.0,4719414.0,4826176.0,4933778.0,5042383.0,5152654.0,5265448.0,5376142.0,5482605.0,5591200.0,5703483.0,,,
22,339.0,811.0,bruno_senna,16.0,14.0,+4 Laps,119562.0,229952.0,339456.0,448001.0,556996.0,666641.0,774352.0,881865.0,989598.0,1097086.0,1206406.0,1314012.0,1421037.0,1527977.0,1638207.0,1753436.0,1887127.0,1993843.0,2102025.0,2208673.0,2317300.0,2423550.0,2530566.0,2636176.0,2741633.0,2847486.0,2953034.0,3063431.0,3171737.0,3283561.0,3390399.0,3496129.0,3605583.0,3712219.0,3817844.0,3924332.0,4031012.0,4137291.0,4242625.0,4351280.0,4457153.0,4573293.0,4681358.0,4786931.0,4892894.0,5003137.0,5109660.0,5219019.0,5325525.0,5433379.0,5542738.0,5657980.0,,,,
4,339.0,5.0,kovalainen,18.0,88.0,+10 Laps,119606.0,226948.0,334336.0,440560.0,546700.0,652503.0,758202.0,864099.0,971023.0,1077043.0,1224341.0,1367749.0,1472580.0,1580997.0,1687263.0,1793926.0,1906867.0,2707422.0,2815525.0,2920389.0,3024750.0,3128820.0,3232745.0,3336531.0,3440378.0,3543948.0,3647723.0,3752652.0,3857980.0,3961614.0,4066941.0,4174512.0,4281974.0,4385361.0,4488820.0,4591663.0,4694828.0,4800153.0,4903646.0,5008874.0,5111797.0,5216456.0,5319338.0,5422039.0,,,,,,,,,,,,
13,339.0,22.0,barrichello,12.0,11.0,+1 Lap,119816.0,224336.0,327685.0,430830.0,534025.0,637868.0,744488.0,864632.0,969758.0,1072608.0,1175437.0,1278571.0,1380937.0,1483431.0,1586002.0,1688510.0,1791379.0,1893611.0,1995523.0,2097572.0,2199469.0,2301845.0,2404013.0,2506273.0,2607969.0,2709596.0,2811485.0,2913247.0,3014530.0,3115860.0,3217421.0,3318301.0,3419295.0,3519981.0,3620768.0,3721512.0,3822250.0,3923215.0,4024459.0,4125082.0,4225244.0,4325271.0,4427755.0,4531827.0,4649382.0,4748810.0,4848686.0,4948444.0,5048373.0,5151883.0,5258221.0,5362731.0,5468390.0,5569811.0,5670307.0,
23,339.0,812.0,chandhok,15.0,13.0,+3 Laps,120653.0,229515.0,337643.0,444944.0,552420.0,661607.0,769540.0,876982.0,984152.0,1091033.0,1198312.0,1305306.0,1412351.0,1518919.0,1629940.0,1758545.0,1867978.0,1974511.0,2082340.0,2191075.0,2301359.0,2409211.0,2515365.0,2621481.0,2727445.0,2833328.0,2938719.0,3044156.0,3150033.0,3256621.0,3363361.0,3469831.0,3578328.0,3685574.0,3790926.0,3897374.0,4003990.0,4110550.0,4215608.0,4320398.0,4427787.0,4535792.0,4642298.0,4747867.0,4854903.0,4962400.0,5069312.0,5176065.0,5281450.0,5390820.0,5503096.0,5611549.0,5721231.0,,,
