,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
7,182.0,35.0,villeneuve,19.0,86.0,Halfshaft,104781.0,247446.0,340419.0,432650.0,524324.0,615876.0,707751.0,799761.0,892008.0,983736.0,1075592.0,1167507.0,1259577.0,1351464.0,1443063.0,1534435.0,1625878.0,1717220.0,1808563.0,1900099.0,1991834.0,2083897.0,2175998.0,2267620.0,2359404.0,2450966.0,2543305.0,2634787.0,2733631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,182.0,70.0,zanardi,11.0,1.0,Finished,105278.0,247855.0,341195.0,433313.0,525168.0,617135.0,708767.0,800698.0,892569.0,984823.0,1076809.0,1168557.0,1260777.0,1353039.0,1444761.0,1536502.0,1627781.0,1718902.0,1810075.0,1901474.0,1993187.0,2091981.0,2202034.0,2293068.0,2384096.0,2475316.0,2567655.0,2659133.0,2750659.0,2842251.0,2934809.0,3034488.0,3127507.0,3220106.0,3311648.0,3402693.0,3493967.0,3585147.0,3682208.0,3793404.0,3883926.0,3976194.0,4067773.0,4159732.0,4251103.0,4342703.0,4434982.0,4526699.0,4618536.0,4710404.0,4801963.0,4892964.0,4984036.0,5075226.0,5167306.0,5260118.0,5352193.0,5444647.0,5536340.0,5627268.0
2,182.0,15.0,trulli,9.0,1.0,Finished,106098.0,248496.0,341900.0,434141.0,525932.0,618008.0,709864.0,801606.0,893674.0,985569.0,1077654.0,1169522.0,1261554.0,1353602.0,1445502.0,1537410.0,1628956.0,1720367.0,1811839.0,1903461.0,1995581.0,2087401.0,2178714.0,2275958.0,2385028.0,2476018.0,2568056.0,2659889.0,2751643.0,2844384.0,2942191.0,3054766.0,3147142.0,3239045.0,3330901.0,3422628.0,3514538.0,3606443.0,3698347.0,3790185.0,3881621.0,3973228.0,4065414.0,4157354.0,4248783.0,4340443.0,4432170.0,4523586.0,4615022.0,4706676.0,4798097.0,4889061.0,4980887.0,5071863.0,5163298.0,5254845.0,5346310.0,5437997.0,5530612.0,5622189.0
3,182.0,21.0,fisichella,7.0,1.0,Finished,106619.0,249037.0,342264.0,434527.0,526311.0,618464.0,710423.0,802178.0,894182.0,985898.0,1077996.0,1169832.0,1262020.0,1354118.0,1445871.0,1537782.0,1629772.0,1720779.0,1812157.0,1908811.0,2018311.0,2109112.0,2200314.0,2291173.0,2382414.0,2473638.0,2565500.0,2657327.0,2748825.0,2840467.0,2932690.0,3034121.0,3126594.0,3219549.0,3310659.0,3401941.0,3493240.0,3584468.0,3675720.0,3766645.0,3857306.0,3953398.0,4063678.0,4154277.0,4244759.0,4335548.0,4426459.0,4517453.0,4608194.0,4699207.0,4790067.0,4880698.0,4971053.0,5061349.0,5151820.0,5242183.0,5332931.0,5423479.0,5514312.0,5604758.0
6,182.0,25.0,wurz,10.0,1.0,Finished,107484.0,249614.0,343249.0,435536.0,527645.0,619693.0,712029.0,804096.0,896184.0,988078.0,1080295.0,1172309.0,1263888.0,1355930.0,1447767.0,1539582.0,1631187.0,1723011.0,1814485.0,1906090.0,2002843.0,2112831.0,2203607.0,2294249.0,2385883.0,2477029.0,2568673.0,2660567.0,2752272.0,2845121.0,2937500.0,3034780.0,3128037.0,3220929.0,3312915.0,3404146.0,3495748.0,3587102.0,3678084.0,3768709.0,3864593.0,3974659.0,4065828.0,4157634.0,4249153.0,4340735.0,4432411.0,4523988.0,4615286.0,4706896.0,4798549.0,4889533.0,4981120.0,5072221.0,5163640.0,5255221.0,5346691.0,5438954.0,5530975.0,5622267.0
8,182.0,41.0,zonta,17.0,22.0,Suspension,108308.0,250371.0,342609.0,434875.0,526746.0,618916.0,711305.0,803220.0,895021.0,987317.0,1079487.0,1171109.0,1263236.0,1355284.0,1447090.0,1538622.0,1630452.0,1722194.0,1813616.0,1905175.0,1997080.0,2088973.0,2180590.0,2272299.0,2369512.0,2478901.0,2569512.0,2661342.0,2753087.0,2846027.0,2946174.0,3059793.0,3151389.0,3243262.0,3335504.0,3428771.0,3521609.0,3614293.0,3707570.0,3800975.0,3919054.0,,,,,,,,,,,,,,,,,,,
9,182.0,44.0,panis,13.0,1.0,Finished,109438.0,251280.0,344082.0,436422.0,528543.0,620486.0,712802.0,805260.0,897516.0,989618.0,1081659.0,1173403.0,1265225.0,1356976.0,1448799.0,1540587.0,1632062.0,1723666.0,1815520.0,1907476.0,1999933.0,2091750.0,2184829.0,2276306.0,2367737.0,2465084.0,2574044.0,2665544.0,2756857.0,2851013.0,2943547.0,3036155.0,3128833.0,3221665.0,3314196.0,3405534.0,3497577.0,3594716.0,3704090.0,3795261.0,3886054.0,3977098.0,4068694.0,4160431.0,4251755.0,4343326.0,4435358.0,4527232.0,4619423.0,4711231.0,4802662.0,4894056.0,4985440.0,5077929.0,5169537.0,5260955.0,5352609.0,5445435.0,5538379.0,5630636.0
17,182.0,68.0,takagi,16.0,12.0,+2 Laps,109950.0,251926.0,344980.0,437747.0,530347.0,623530.0,716450.0,809942.0,903810.0,998099.0,1091850.0,1185569.0,1279265.0,1372606.0,1466038.0,1559414.0,1652252.0,1745318.0,1838583.0,1937935.0,2049478.0,2141920.0,2234388.0,2327101.0,2420069.0,2513715.0,2606684.0,2699746.0,2793312.0,2890792.0,3027921.0,3122539.0,3220670.0,3315171.0,3408538.0,3501413.0,3594460.0,3687783.0,3780713.0,3873179.0,3971182.0,4086637.0,4179423.0,4272508.0,4366021.0,4459561.0,4553514.0,4647055.0,4740953.0,4836058.0,4930470.0,5023756.0,5116932.0,5210279.0,5303833.0,5402323.0,5497828.0,5595047.0,,
10,182.0,48.0,gene,15.0,12.0,+2 Laps,110454.0,252817.0,346025.0,438955.0,531424.0,624131.0,717556.0,810803.0,904242.0,998549.0,1092363.0,1186006.0,1279967.0,1373548.0,1466908.0,1560199.0,1652939.0,1746123.0,1845473.0,1957159.0,2050446.0,2143386.0,2235799.0,2328171.0,2421845.0,2515666.0,2608549.0,2701291.0,2794413.0,2891248.0,3028485.0,3123777.0,3221409.0,3315852.0,3409205.0,3502180.0,3595227.0,3688389.0,3781462.0,3879646.0,3989499.0,4081226.0,4173208.0,4264820.0,4356579.0,4448455.0,4540470.0,4633252.0,4725741.0,4818029.0,4910235.0,5002578.0,5094823.0,5187511.0,5280431.0,5375395.0,5468242.0,5561812.0,,
18,182.0,69.0,badoer,20.0,6.0,Gearbox,111741.0,254677.0,347086.0,439873.0,532591.0,631457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
