,0,1,2
0,8,1,1:11.670
1,22,6,1:11.794
2,44,7,1:11.920
3,31,3,1:11.948
4,23,3,1:12.078
5,4,4,1:12.087
6,30,6,1:12.194
7,14,1,1:12.297
8,43,7,1:12.326
9,15,4,1:12.566
10,18,16,1:12.695
11,35,16,1:13.050
12,2,15,1:13.083
13,17,19,1:13.269
14,49,15,1:13.447
15,51,19,1:13.585
16,21,17,1:13.798
17,52,17,1:14.027
18,50,18,1:15.360
19,53,18,1:15.644
